@relation segment

@attribute Region-centroid-row numeric
@attribute Rawgreen-mean numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Value-mean numeric
@attribute Saturatoin-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
124,2.666667,4.666666,-7.333334,6.777778,0.608466,1
130,3.333333,4.444445,-7.555555,7.666666,0.570106,1
101,15.888889,-0.222222,-16.222221,26.777779,0.404792,1
70,19.666668,-4.777778,-19.11111,34,0.421281,1
130,4.222222,5.444445,-7.222222,8.444445,0.501014,1
56,16.88889,-4.888889,-17.555555,30.222221,0.440708,1
116,16.333334,-1.444444,-16.11111,27.555555,0.407364,1
124,3.666667,4,-7.666666,8,0.542108,1
122,3,4.333334,-7.666666,7.222222,0.581349,1
137,3.333333,5.777778,-7.555555,7.777778,0.573633,1
71,16.777779,-2.666667,-18,29.666666,0.43357,1
113,15.333333,-0.777778,-14.777778,25.444445,0.396589,1
88,15.666667,-5.444445,-14.777778,27.333334,0.424904,1
116,3.555556,3,-7.666666,7.777778,0.544733,1
131,2.888889,4.444445,-6.888889,6.666666,0.566138,1
124,3.444444,3.666667,-7.333334,7.555555,0.545855,1
89,18.11111,-2.333333,-17.333334,30.444445,0.405022,1
116,11.555555,2.444444,-13.888889,21.222221,0.447187,1
134,3.333333,5.333334,-7.666666,7.888889,0.577601,1
51,19.444445,-9.222222,-18.88889,35.11111,0.446118,1
92,13.555555,0.222222,-15.444445,23.777779,0.42886,1
57,20.222221,-8.444445,-19.777779,36.22222,0.440509,1
77,18.444445,-3.111111,-18.11111,31.555555,0.415737,1
121,3.777778,4.777778,-7.888889,8,0.528219,1
130,4.666667,3.777778,-7.888889,9,0.481594,1
103,11.666667,4.555555,-13.444445,19.444445,0.398903,1
59,18.555555,-8.222222,-19.555555,34.333336,0.459427,1
42,16.666668,-7.777778,-17.777779,31.11111,0.462752,1
128,3.111111,4,-7.333334,7.111111,0.561508,1
118,2.555556,3.666667,-7.333334,6.666666,0.617063,1
108,12.444445,5.666666,-14,20,0.378839,1
136,3.333333,4.444445,-6.888889,7.222222,0.535714,1
139,3,3.666667,-7,6.888889,0.566799,1
124,3.555556,4.444445,-7.888889,7.888889,0.550044,1
83,14.333333,0.333333,-15.333333,24.444445,0.410073,1
135,2.666667,5.666666,-7,6.888889,0.613757,1
58,15.444445,-2.777778,-16.444445,27.333334,0.434743,1
100,16.444445,-1.333333,-17.333334,28.444445,0.421994,1
101,13.888889,1.888889,-15.444445,23.555555,0.410267,1
56,14.666667,-1.222222,-15.555555,25.444445,0.422689,1
111,3.222222,3.555556,-7.444445,7.333334,0.566138,1
81,14.555555,1.444444,-15.888889,24.666666,0.41031,1
75,16.88889,-2.222222,-17.555555,29.333334,0.423501,1
65,15.555555,-2.111111,-15.777778,26.777779,0.419418,1
80,19.555555,-6,-19.333334,34.444447,0.432471,1
120,18.444445,-4.666666,-15.666667,30.444445,0.394863,1
75,15.777778,-0.666667,-16.666666,27.11111,0.417046,1
63,15.333333,-3.777778,-16.777779,27.777779,0.44725,1
114,14.888889,0.444444,-14.888889,24.666666,0.394964,1
118,3.555556,3.888889,-8.111111,7.777778,0.543871,1
142,2.333334,6.333334,-7,6.777778,0.662037,1
128,3.444444,5.888889,-7.444445,7.888889,0.563713,1
146,2.888889,1.666667,-6.666666,6.888889,0.571429,1
126,4.888889,4.444445,-7.222222,8.888889,0.450309,1
104,16.11111,-2.666667,-17,28.333334,0.430399,1
118,15.777778,-2.666667,-16,27.333334,0.416884,1
60,20.333334,-6.222222,-19.222221,35.22222,0.4223,1
128,3,5.333334,-8,7.444445,0.597443,1
114,3.666667,4,-7.666666,7.888889,0.537919,1
115,16.777779,-2.111111,-15.777778,28,0.397362,1
136,3.777778,4.555555,-7.444445,8,0.529541,1
122,3.444444,3.666667,-7.666666,7.666666,0.551808,1
59,15.888889,-3.111111,-17.777779,28.777779,0.445142,1
73,13.888889,0.444444,-15.555555,24.11111,0.421504,1
64,17.666668,-4.222222,-19.222221,31.88889,0.446354,1
133,3.888889,5,-8.333333,8.444445,0.53858,1
121,17.555555,-4.333334,-16.666666,30.11111,0.415524,1
134,2.555556,5.111111,-6.555555,6.444445,0.603704,1
72,19.444445,-7.333334,-20.333334,35.444447,0.450926,1
142,2.333334,4.888889,-6.777778,6.333334,0.630159,1
79,12.111111,1.555556,-14.111111,21,0.422337,1
64,14,-4,-14.666667,25.11111,0.441092,1
110,13.444445,2.888889,-13.444445,21.444445,0.368848,1
123,3.555556,5.666666,-7.666666,8,0.555776,1
120,3.333333,5.444445,-7.888889,7.777778,0.569444,1
116,2.888889,3.444444,-7.555555,6.888889,0.580026,1
53,16.333334,-2,-15.666667,27.444445,0.404138,1
86,13.666667,-0.111111,-14.777778,23.555555,0.417916,1
122,3.222222,4.111111,-7.222222,7.222222,0.551587,1
104,15.444445,0.111111,-14.222222,24.88889,0.380367,1
96,16.222223,0.666667,-17,27.333334,0.406451,1
103,13.222222,2.666667,-15.333333,22.555555,0.410306,1
143,2.777778,4,-8,7,0.601852,1
45,16.444445,-4.111111,-16.444445,28.777779,0.428167,1
88,16.666668,-2.444444,-16.444445,28.444445,0.413308,1
56,20,-9.333333,-19.333334,36,0.442788,1
100,15.444445,0.777778,-15.555555,25.555555,0.394331,1
145,1.888889,3.777778,-6.555555,5.444445,0.655556,1
144,2.666667,3.555556,-6.444445,6.222222,0.574603,1
67,16.333334,0.888889,-17.777779,27.88889,0.414836,1
51,14.333333,-2.444444,-15.777778,25.666666,0.442861,1
116,3.111111,3.444444,-7.555555,7.333334,0.575397,1
118,3.222222,3.222222,-6.777778,7.111111,0.545855,1
116,3.111111,3.444444,-7.555555,7.333334,0.575397,1
59,18,-3.555556,-17.555555,30.88889,0.415301,1
117,3.777778,2.666667,-8,8.222222,0.53858,1
145,2.222222,4.888889,-5.111111,5.555555,0.600529,1
138,3.333333,4.777778,-7.222222,7.333334,0.543871,1
75,18.88889,-2.555556,-17.88889,31.666666,0.40212,1
57,19.777779,-4.888889,-19.555555,34.444447,0.425691,1
104,13.666667,1.555556,-15.111111,23.222221,0.410009,1
102,13.333333,1.888889,-13.777778,21.88889,0.390329,1
129,4,5.333334,-8,8.444445,0.530556,1
147,2.222222,-1.444444,-7.111111,7.666666,0.698445,1
128,2.777778,5.555555,-6.777778,6.888889,0.593915,1
80,18.555555,-1.444444,-18.777779,31.555555,0.412094,1
74,17.666668,-3.111111,-17.777779,30.555555,0.420252,1
68,15.888889,-3.444444,-17.11111,28.444445,0.440354,1
101,12.555555,4.222222,-13.111111,20.222221,0.376852,1
61,16.11111,-4.222222,-16.88889,28.777779,0.437042,1
112,3.444444,3.555556,-7.444445,7.555555,0.544092,1
128,3.333333,4.111111,-7.888889,7.666666,0.563713,1
102,15.444445,0.222222,-14.444445,25,0.381059,1
