@relation segment

@attribute Region-centroid-row numeric
@attribute Vedge-mean numeric
@attribute Rawred-mean numeric
@attribute Rawgreen-mean numeric
@attribute Exgreen-mean numeric
@attribute Saturatoin-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
81,1.833333,20.333334,14.555555,-15.888889,0.41031,1
69,2.055556,23.444445,19.11111,-19.666666,0.44486,1
96,2.111111,20.777779,16.666668,-15.222222,0.399499,1
66,1.555555,18.555555,13.444445,-15.666667,0.437855,1
60,0.5,19.333334,14.666667,-15.777778,0.430484,1
118,0.388889,7.666666,3.555556,-7.555555,0.537698,1
80,3.555555,24.333334,18.555555,-18.777779,0.412094,1
122,0.277778,7,3.222222,-7.222222,0.551587,1
138,0.5,6.777778,2.666667,-6.888889,0.603836,1
126,0.444444,7.666666,2.888889,-7.555555,0.623016,1
89,1.722222,21.333334,16.555555,-16,0.400445,1
64,1.444444,17.555555,14,-14.666667,0.441092,1
128,0.5,6.888889,3.111111,-7.333334,0.561508,1
40,1.333334,15.666667,12.555555,-13.888889,0.46306,1
56,2.666666,26.11111,22.11111,-19.555555,0.41394,1
124,0.222222,7.555555,3.666667,-7.666666,0.542108,1
101,1.333333,21.222221,15.888889,-16.222221,0.404792,1
130,0.611111,7.444445,3.222222,-7.666666,0.575397,1
45,2.277778,20.555555,16.444445,-16.444445,0.428167,1
91,2.222222,22,16.666668,-17.444445,0.420716,1
56,1.333333,23.333334,20,-19.333334,0.442788,1
66,2.611111,25.333334,21.666666,-20.222221,0.430558,1
130,0.944445,8.444445,4.222222,-7.222222,0.501014,1
116,0.722222,7.555555,3.888889,-8.222222,0.546517,1
143,0.444445,6.777778,2.777778,-8,0.601852,1
70,1.277778,23,17.88889,-17.333334,0.406015,1
85,3.111111,20.444445,15.777778,-17,0.437404,1
139,0.277778,7.555555,3.555556,-7.666666,0.532628,1
60,1.555556,21.333334,16.555555,-18.222221,0.446636,1
134,0.555556,7.444445,3.666667,-7.222222,0.529982,1
107,1.555556,19.444445,13.444445,-15.555555,0.413785,1
118,0.277778,6.555555,3.222222,-6.777778,0.545855,1
60,0.555555,18.88889,14.333333,-15,0.419248,1
130,0.555555,8.555555,4.666667,-7.888889,0.481594,1
57,1.722222,24,20.222221,-19.777779,0.440509,1
114,0.277778,6.111111,2.888889,-7.666666,0.603175,1
50,1.055556,21.666666,17.444445,-16.777779,0.418746,1
111,0.444445,7.666666,3.222222,-8.111111,0.581349,1
101,0.555555,21.555555,16.555555,-17.666666,0.432819,1
102,0.888889,22.11111,17.333334,-17.222221,0.417763,1
135,0.611111,7.444445,3.222222,-7.444445,0.565476,1
143,0.388889,7.555555,3,-8,0.60119,1
113,0.5,7.222222,3.444444,-8.111111,0.563492,1
137,0.5,7.777778,3.333333,-7.555555,0.573633,1
71,2.111112,21.88889,16.777779,-18,0.43357,1
95,1.222222,21.333334,16.222223,-15.555555,0.390436,1
92,1.333333,18.777779,13.555555,-15.444445,0.42886,1
109,1,19.222221,12.555555,-14.111111,0.384997,1
117,0.444445,7.666666,3.888889,-7.333334,0.510362,1
92,1.222222,23.11111,17.555555,-18.333334,0.420973,1
110,1.722222,18.88889,13.444445,-13.444445,0.368848,1
77,1.888889,24.555555,20.222221,-18.555555,0.413217,1
89,1.222222,18.777779,14.222222,-14.222222,0.402507,1
113,0.722222,17.11111,10.111111,-13.777778,0.451359,1
64,1.5,22.666666,17.666668,-19.222221,0.446354,1
