@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2-3,12,14-15,20'

@attribute Region-centroid-row numeric
@attribute Region-pixel-count numeric
@attribute Rawblue-mean numeric
@attribute Exred-mean numeric
@attribute Exblue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
185,9,59.555557,-12,30.666666,6
85,9,28.11111,-3,20,1
83,9,22.666666,-16.11111,24.88889,3
11,9,150.11111,-19.333334,25.666666,2
94,9,127.55556,-18.88889,43.11111,2
42,9,47.77778,-14,31,4
182,9,56.333332,-11.111111,29.88889,6
167,9,13.777778,-5.111111,-2.444444,7
19,9,58.77778,-21.555555,40.77778,4
89,9,13,-6.333334,13.666667,5
81,9,26.11111,-1.111111,16.88889,1
194,9,50.444443,-12.555555,27.444445,6
208,9,17.666668,-11.111111,-4.777778,7
46,9,141,-30.11111,44.88889,2
52,9,129.22223,-31.88889,52.77778,2
194,9,16.666668,-10.666667,-0.333333,7
169,9,15.666667,-11.444445,-2.777778,7
200,9,72.66667,-19.11111,42.22222,6
146,9,15.666667,-7.777778,15.222222,4
122,9,1,-1,2,3
46,9,132.88889,-41.22222,54.77778,2
17,9,86.55556,-24.222221,48.11111,4
192,9,7.444445,-3.888889,-7.555555,7
182,9,72.55556,-17.555555,42.444443,6
207,9,10.333334,-7.777778,-5.444445,7
244,9,11.666667,-9.777778,-3.444444,7
149,9,0,0,0,5
63,9,23.666666,-2.555556,16.777779,1
57,9,139,-33,50,2
163,9,48,-16.333334,24,6
201,9,74,-20.333334,44,6
14,9,130.66667,-41.22222,53.77778,2
90,9,10,-7.111111,14.555555,5
186,9,11.777778,-5.111111,-11.444445,7
19,9,132.33334,-39.77778,54.22222,2
88,9,127.55556,-27.11111,50.88889,2
195,9,76.55556,-19.88889,44.444443,6
128,9,6.666666,4,3.333333,1
182,9,35.444447,-7.666666,17,6
96,9,61,-3.111111,17.555555,4
128,9,5.444445,5.555555,1.222222,1
143,9,64.77778,-22.11111,43.22222,4
100,9,66.88889,-15.111111,34.555557,4
147,9,0,0,0,5
117,9,39,-11.444445,23.222221,4
131,9,1.888889,-1.444444,3.222222,5
191,9,78.111115,-22.777779,48.22222,6
197,9,9.555555,-9.222222,-7.222222,7
62,9,139.33334,-33.444443,47.555557,2
193,9,76.55556,-23.222221,45.444443,6
76,9,19.444445,-15.222222,17.777779,3
86,9,124.111115,-38.666668,55,2
116,9,27.555555,-1.444444,17.555555,1
152,9,0,0,0,5
132,9,4.222222,-3.888889,6.777778,3
92,9,12.666667,-12.666667,15.666667,3
208,9,14.888889,-9.333333,-11,7
138,9,66.77778,-16.555555,36.444443,4
85,9,6.777778,-5.888889,8.111111,3
152,9,0,0,0,5
41,9,29.777779,-5.111111,21.88889,1
91,9,52.666668,-17.555555,25.11111,3
111,9,23.777779,-11.666667,23,5
188,9,76.55556,-21.666666,44.666668,6
100,9,25.555555,0.777778,14.777778,1
186,9,59.88889,-14,34.333332,6
66,9,61.22222,-11.444445,28.88889,4
130,9,7.222222,5.444445,1.777778,1
180,9,36.333336,-8.777778,17.88889,6
39,9,140.33334,-30.88889,48.444443,2
159,9,22.333334,-0.555556,5.444445,4
239,9,9.666667,-8.111111,-2.111111,7
134,9,15.888889,-15.111111,21.555555,3
116,9,20,2.444444,11.444445,1
149,9,8.666667,-4,9.666667,1
79,9,10.555555,-10.888889,15.444445,3
107,9,23,2.444444,13.111111,1
177,9,18.444445,-11.444445,-3.444444,7
161,9,49.666668,-15.333333,27.666666,6
104,9,23.444445,-11.222222,14.444445,3
154,9,39.555557,-19.777779,34.22222,4
101,9,29.222221,-2.666667,20.333334,1
62,9,11.444445,-6.888889,15.111111,5
44,9,75.55556,-25.666666,50.666668,4
42,9,36.22222,-11.444445,23.88889,4
68,9,60.11111,-25.88889,38.77778,3
54,9,127.111115,-36.333332,51.333332,2
172,9,16.333334,-7.666666,-8,7
124,9,64.44444,-14.333333,32,4
195,9,6.888889,-6.555555,-4.888889,7
100,9,9.444445,-9.444445,14.555555,3
187,9,69.66667,-18.777779,40.555557,6
189,9,40.666668,-11.333333,23.666666,6
124,9,8.777778,3.444444,5.111111,1
180,9,18.11111,-9.444445,-9.444445,7
33,9,132,-40.666668,62,2
123,9,2,-2.111111,3.888889,3
238,9,16.555555,-8.333333,-3.666667,7
68,9,126.333336,-39.444443,56.88889,2
137,9,42.333336,-6.111111,16.222221,4
110,9,7.444445,-4.333334,9.666667,5
105,9,19.777779,-7.555555,13.777778,5
26,9,146.77777,-16.777779,29.222221,2
89,9,27.777779,-1.666667,17.666666,1
125,9,30.666666,-22.333334,36.333332,3
129,9,1.555556,-1.555556,3.111111,3
185,9,9.777778,-4.222222,-9.555555,7
194,9,55.444443,-14.555555,31.11111,6
111,9,38.22222,-12.444445,25.88889,4
86,9,20.444445,-13.333333,25.333334,5
70,9,26.666666,-14.444445,16.88889,3
127,9,6.777778,-7.444445,8.888889,3
162,9,15.888889,-10.666667,-4.333334,7
180,9,22,-15.333333,-1.666667,7
100,9,66.88889,-15.111111,34.555557,4
135,9,3,-1.444444,5.222222,5
145,9,0,0,0,5
236,9,16.666668,-8.888889,1.777778,7
86,9,28.555555,-13.666667,24.333334,5
66,9,38.22222,-9.222222,29.444445,1
144,9,0,0,0,5
166,9,16.333334,-13.888889,-1.888889,7
205,9,61.77778,-16.11111,34.555557,6
90,9,15,-7.444445,14.888889,5
153,9,0,0,0,5
43,9,82.55556,-29.444445,53.555557,4
124,9,12.888889,-10.444445,15.888889,3
199,9,71,-19.333334,42,6
116,9,23.222221,-9.888889,19.11111,5
108,9,21.11111,4,10.333333,1
172,9,15,-11.222222,-3.222222,7
102,9,29.777779,-2.888889,20.11111,1
154,9,1.222222,-0.555556,1.777778,5
75,9,31.666666,-2.555556,20.444445,1
37,9,121.111115,-47.444443,75.55556,2
126,9,3.666667,-4.222222,6.777778,3
129,9,1.555556,-1.555556,3.111111,3
41,9,131.22223,-28.555555,53.444443,2
