@relation segment

@attribute Vegde-sd numeric
@attribute Rawblue-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
0.162963,6,-0.877707,1
0.207407,25.444445,-1.622211,1
3.674073,31.11111,-1.771163,1
0.133333,7.444445,-1.561754,1
1.911109,31.666666,-1.652768,1
1.555556,28.88889,-1.646671,1
0.4,36,-1.863182,1
2.029629,28.777779,-1.630409,1
5.351851,21.444445,-1.345096,1
0.477778,7.666666,-1.163245,1
2.21111,24.666666,-1.472378,1
0.433333,6.222222,-0.843732,1
2.977778,29.777779,-1.682651,1
0.118519,5.444445,-0.692028,1
0.596296,29.88889,-1.695804,1
0.344444,6.222222,-0.914813,1
0.077778,6.666666,-0.985811,1
0.385186,27.333334,-1.620749,1
1.633333,27.555555,-1.632243,1
1.52963,25.444445,-1.585609,1
1.674073,32.555557,-1.760752,1
0.42963,6.666666,-0.804846,1
0.251852,7.444445,-0.912766,1
0.033333,7.888889,-0.965144,1
0.151852,8.222222,-1.19107,1
0.311111,34,-1.74518,1
0.3,7.222222,-1.005054,1
1.574073,27.777779,-1.72683,1
0.251852,7.111111,-0.966318,1
1.674073,28.777779,-1.606794,1
0.518519,27.222221,-1.620398,1
0.788889,17.11111,-1.179347,1
0.018518,6.666666,-0.960827,1
0.151852,6.777778,-1.093148,1
0.507407,6.888889,-0.963048,1
0.166667,7.333334,-1.02473,1
0.122222,8,-0.963931,1
0.211111,26.777779,-1.730306,1
0.651853,23.555555,-1.541502,1
1.277777,30,-1.598867,1
0.340741,8.666667,-1.056659,1
0.374074,7.666666,-1.175773,1
0.074074,6,-0.874641,1
0.02963,7.444445,-1.011484,1
2.311111,19.88889,-1.21111,1
0.385185,28.444445,-1.625587,1
0.062963,6.111111,-0.91061,1
0.118519,29.222221,-1.674318,1
1.218519,31.333334,-1.650844,1
0.077778,7.777778,-1.175454,1
0.607408,29.777779,-1.68544,1
3.733334,26.222221,-1.555549,1
0.062963,6.888889,-0.944272,1
0.018518,4,-0.57094,1
0.207407,6.666666,-0.989308,1
3.411113,28,-1.634396,1
0.240741,6.333334,-0.897859,1
0.044444,5.444445,-0.688601,1
2.285185,21,-1.453114,1
0.32963,22.555555,-1.397414,1
0.074074,6.888889,-0.872666,1
1.940741,22.88889,-1.357871,1
0.785185,28.555555,-1.636863,1
0.166667,7.333334,-1.02473,1
0.388889,7.888889,-1.175454,1
0.122222,5.444445,-0.722894,1
3.040739,23,-1.563972,1
3.674073,31.11111,-1.771163,1
1.129629,24.666666,-1.508658,1
0.018518,4,-0.57094,1
0.207407,4.777778,-0.807848,1
0.72963,30.11111,-1.649603,1
0.255556,26.333334,-1.574477,1
0.151852,20,-1.162844,1
0.118518,7.666666,-1.076198,1
0.255556,6.666666,-0.942558,1
0.577778,32.22222,-1.705942,1
0.151852,7,-1.041434,1
0.477778,28.444445,-1.653787,1
0.596296,19.11111,-1.219211,1
5.496297,31.222221,-1.756712,1
1.022222,27.333334,-1.530686,1
0.8,27.333334,-1.627145,1
1.52963,22.777779,-1.334127,1
0.162963,6.555555,-1.068968,1
0.240741,6.666666,-0.871495,1
0.077778,6.666666,-0.985811,1
2.388889,21.777779,-1.54801,1
0.074074,6.333334,-0.880521,1
1.885185,26.333334,-1.512555,1
1.007408,26.666666,-1.567327,1
1.440742,24.11111,-1.440963,1
0.122222,5.666666,-0.752669,1
0.444444,7.888889,-1.077659,1
2.107407,28.666666,-1.72879,1
1.762964,26.777779,-1.665853,1
0.107407,7.222222,-0.965946,1
0.151852,7,-0.87829,1
0.429629,31.333334,-1.748835,1
3.940742,31.555555,-1.68954,1
0.462963,30,-1.741254,1
0.488889,23.777779,-1.548296,1
0.062963,7.333334,-1.314533,1
2.177777,24.555555,-1.55225,1
0.72963,24.11111,-1.524253,1
3.751853,26.11111,-1.566335,1
0.266666,28.444445,-1.623301,1
0.562963,23.666666,-1.683847,1
1.674074,29.777779,-1.77166,1
3.5,28.777779,-1.680812,1
0.607408,29.777779,-1.68544,1
0.107408,26,-1.477019,1
0.833334,27.222221,-1.650123,1
3.411111,34.444447,-1.739017,1
0.907407,24.88889,-1.58144,1
0.207407,6.777778,-1.048222,1
1.485186,28.444445,-1.700324,1
1.007408,26.666666,-1.567327,1
1.051853,21.88889,-1.386867,1
0.8,21.11111,-1.302133,1
0.462963,7.333334,-0.909267,1
0.122222,4.888889,-0.604864,1
2.518518,25.11111,-1.55762,1
0.655556,20.666668,-1.312499,1
1.718519,38.333336,-1.937482,1
0.077778,6.111111,-0.808383,1
3.688889,27.88889,-1.823148,1
0.844445,30.444445,-1.76489,1
2.029629,23,-1.370369,1
0.374074,7.666666,-1.175773,1
0.951851,30.222221,-1.759414,1
0.344445,19.444445,-1.131973,1
0.162963,5.555555,-1.43724,1
0.418519,7.222222,-0.924607,1
2.907407,27.777779,-1.611365,1
0.340741,6.444445,-0.7213,1
0.518519,27.11111,-1.603957,1
0.151852,6.444445,-0.787376,1
3.040741,38.22222,-1.844993,1
0.951851,30.88889,-1.699326,1
2.018517,20.11111,-1.176662,1
2.82963,26.666666,-1.634416,1
0.151851,31.11111,-1.842494,1
1.051853,21.88889,-1.386867,1
2.162962,29.88889,-1.733544,1
0.196296,8.444445,-1.233945,1
1.007408,36.88889,-1.848523,1
3.362964,30.777779,-1.670171,1
0.062963,5.222222,-0.675123,1
1.496295,34.444447,-1.768872,1
0.72963,23.666666,-1.48458,1
1.618517,36.22222,-1.837675,1
0.800001,30.11111,-1.740736,1
0.062963,5.777778,-0.969119,1
0.118519,5.666666,-0.612886,1
2.711112,23.333334,-1.783602,1
0.122222,6.333334,-1.539762,1
3.644444,37.666668,-1.819915,1
