@relation segment

@attribute Region-centroid-row numeric
@attribute Short-line-density-2 numeric
@attribute Hedge-sd numeric
@attribute Saturatoin-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
122,0,0.118519,0.549603,1
145,0,0.122222,0.655556,1
120,0,0.118518,0.569444,1
137,0,0.474074,0.573633,1
96,0,3.855554,0.399499,1
45,0,1.44074,0.428167,1
101,0,0.651852,0.410267,1
92,0,0.877778,0.401025,1
111,0,0.507407,0.566138,1
92,0,1.277778,0.42886,1
89,0,3.688889,0.405022,1
55,0,0.862964,0.404791,1
146,0,0.266667,0.571429,1
122,0,0.118519,0.551587,1
130,0,0.151852,0.587963,1
124,0,0.340741,0.545855,1
116,0,0.074074,0.580026,1
129,0,0.177778,0.540123,1
128,0,0.151852,0.593915,1
69,0,2.562964,0.44486,1
117,0,2.151851,0.381277,1
109,0,2.729629,0.384997,1
136,0,0.088889,0.526235,1
100,0,0.907407,0.421994,1
129,0,0.874074,0.530556,1
61,0,7.185185,0.419522,1
94,0,2.888891,0.427811,1
126,0,0.418519,0.623016,1
130,0,0.566666,0.481594,1
111,0,0.151852,0.564153,1
60,0,2.874074,0.4223,1
68,0,1.218517,0.462002,1
116,0,0.207407,0.559171,1
63,0,0.700001,0.435021,1
103,0,1.096296,0.388385,1
57,0,1.718517,0.425691,1
56,0,1.574072,0.41394,1
111,0,0.122222,0.60119,1
102,0,1.485186,0.417763,1
57,0,1.718517,0.425691,1
135,0,0.122222,0.613757,1
121,0,2.444443,0.415524,1
113,0,0.151852,0.580026,1
115,0,0.177778,0.53858,1
145,0,0.062963,0.564153,1
131,0,0.207407,0.515873,1
126,0,0.251852,0.581349,1
129,0,0.177778,0.540123,1
111,0,0.151852,0.581349,1
95,0,0.551851,0.390436,1
59,0,0.862963,0.445142,1
122,0,0.3,0.551808,1
113,0,0.151852,0.563492,1
51,0,2.107407,0.442861,1
73,0,3.129627,0.421504,1
54,0,4.329629,0.432167,1
110,0,1.022223,0.368848,1
62,0,1.051853,0.423121,1
134,0,0.062963,0.577601,1
55,0,0.785185,0.43507,1
124,0,0.388889,0.542108,1
118,0,0.196296,0.537698,1
98,0,3.229632,0.389147,1
135,0,0.355555,0.647222,1
138,0,0.3,0.543871,1
88,0,1.040741,0.424904,1
116,0,3.096297,0.447187,1
62,0,6.374074,0.450305,1
140,0,0.577778,0.537017,1
122,0,0.166667,0.520062,1
149,0,0.151852,0.578339,1
41,0,1.777778,0.432047,1
114,0,0.533333,0.537919,1
111,0,0.818518,0.391701,1
115,0,4.96296,0.425538,1
107,0,1.92963,0.395253,1
101,0,1.885187,0.404038,1
108,0,0.951852,0.388756,1
69,0,1.44074,0.431547,1
64,0,3.440744,0.426923,1
149,0,0.151852,0.578339,1
134,0,0.062963,0.587302,1
55,0,0.785185,0.43507,1
80,0,3.866667,0.412094,1
70,0,1.144442,0.406015,1
140,0,0.388889,0.513889,1
44,0,1.529629,0.457681,1
126,0,0.074074,0.611111,1
115,0,4.211112,0.397362,1
117,0,0.074074,0.543651,1
108,0,0.151852,0.412134,1
104,0,5.040743,0.380367,1
92,0,3.822222,0.420973,1
111,0,0.385187,0.715608,1
131,0,0.207407,0.566138,1
101,0,1.218518,0.404792,1
111,0,0.429629,0.562919,1
103,0,2.166668,0.416239,1
113,0,0.207407,0.579365,1
145,0,0.062963,0.564153,1
104,0,3.555556,0.430399,1
90,0,3.274074,0.420486,1
101,0,0.596295,0.432819,1
91,0,1.277778,0.420716,1
117,0,0.062963,0.510362,1
92,0,2.240742,0.414356,1
106,0,2.72963,0.423346,1
68,0,5.096297,0.440354,1
128,0,0.311111,0.561508,1
128,0,0.044444,0.563713,1
126,0,0.355555,0.450309,1
86,0,2.577779,0.424597,1
110,0,1.022223,0.368848,1
53,0,3.011111,0.474773,1
60,0,2.874074,0.4223,1
126,0,0.844445,0.551587,1
67,0,1.229631,0.429308,1
125,0,0.177778,0.529762,1
89,0,4.862958,0.400445,1
86,0,2.162964,0.405541,1
124,0,0.340741,0.545855,1
138,0,0.3,0.543871,1
50,0,0.488889,0.418746,1
111,0,1.022222,0.374312,1
111,0,0.429629,0.562919,1
95,0,7.188887,0.388363,1
123,0,0.118519,0.61164,1
117,0,0.211111,0.553571,1
103,0,2.151852,0.398903,1
92,0,1.022222,0.376574,1
92,0,0.651851,0.422223,1
42,0,0.507407,0.462752,1
66,0,3.885185,0.430558,1
111,0,0.118519,0.59127,1
114,0,0.074074,0.603175,1
53,0,0.433333,0.404138,1
111,0,0.151852,0.564153,1
136,0,0.074074,0.535714,1
74,0,0.907407,0.419204,1
64,0,0.462963,0.446354,1
130,0,0.666667,0.501014,1
142,0,0.151852,0.646164,1
60,0,0.062963,0.419248,1
83,0,2.374072,0.399927,1
142,0,0.151852,0.630159,1
81,0,1.01111,0.41031,1
102,0,1.485186,0.417763,1
118,0,0.107407,0.545635,1
66,0,5.144446,0.438246,1
116,0,0.133333,0.575397,1
107,0,1.540741,0.399311,1
119,0,5.585183,0.408211,1
114,0,1.274074,0.408644,1
85,0,0.962963,0.399751,1
64,0,1.422222,0.441092,1
74,0,0.133333,0.422206,1
147,0,0.562963,0.643678,1
134,0,0.296296,0.529982,1
56,0,1.277777,0.43596,1
116,0,0.133333,0.575397,1
