@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2-3,6,10,14,16,20'

@attribute Region-centroid-row numeric
@attribute Region-pixel-count numeric
@attribute Vedge-mean numeric
@attribute Intensity-mean numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
185,9,1.555555,49.333332,-12,-18.666666,6
85,9,3.111111,21.444445,-3,-17,1
83,9,6.166666,14.37037,-16.11111,-8.777778,3
11,9,0.833333,141.55556,-19.333334,-6.333334,2
94,9,0.611111,113.18519,-18.88889,-24.222221,2
42,9,2.333334,37.444443,-14,-17,4
182,9,2.388889,46.37037,-11.111111,-18.777779,6
167,9,0.888889,14.592592,-5.111111,7.555555,7
19,9,2.444445,45.185184,-21.555555,-19.222221,4
89,9,3,8.444445,-6.333334,-7.333334,5
81,9,2.611111,20.481482,-1.111111,-15.777778,1
194,9,1.611111,41.296295,-12.555555,-14.888889,6
208,9,1.722222,19.25926,-11.111111,15.888889,7
46,9,2.111112,126.03704,-30.11111,-14.777778,2
52,9,0.722223,111.62963,-31.88889,-20.88889,2
194,9,1.777778,16.777779,-10.666667,11,7
169,9,0.833333,16.592592,-11.444445,14.222222,7
200,9,4.5,58.592594,-19.11111,-23.11111,6
146,9,0.888889,10.592592,-7.777778,-7.444445,4
122,9,0,0.333333,-1,-1,3
46,9,1.166665,114.62963,-41.22222,-13.555555,2
17,9,1.277776,70.51852,-24.222221,-23.88889,4
192,9,1.222222,9.962963,-3.888889,11.444445,7
182,9,3.055555,58.407406,-17.555555,-24.88889,6
207,9,2.722223,12.148149,-7.777778,13.222222,7
244,9,1.111111,12.814815,-9.777778,13.222222,7
149,9,0,0,0,0,5
63,9,1.222222,18.074074,-2.555556,-14.222222,1
57,9,1.055557,122.333336,-33,-17,2
163,9,2.055556,40,-16.333334,-7.666666,6
201,9,2.111111,59.333332,-20.333334,-23.666666,6
14,9,0.944445,112.74074,-41.22222,-12.555555,2
90,9,2.888889,5.148148,-7.111111,-7.444445,5
186,9,1.166667,15.592592,-5.111111,16.555555,7
19,9,0.944444,114.25926,-39.77778,-14.444445,2
88,9,0.722221,110.59259,-27.11111,-23.777779,2
195,9,2.722223,61.74074,-19.88889,-24.555555,6
128,9,0.5,5.555555,4,-7.333334,1
182,9,2.500001,29.777779,-7.666666,-9.333333,6
96,9,2.222223,55.148148,-3.111111,-14.444445,4
128,9,0.333333,5.037037,5.555555,-6.777778,1
143,9,1.277777,50.37037,-22.11111,-21.11111,4
100,9,1.944444,55.37037,-15.111111,-19.444445,4
147,9,0,0,0,0,5
117,9,1.222222,31.25926,-11.444445,-11.777778,4
131,9,0.333333,0.814815,-1.444444,-1.777778,5
191,9,3.722222,62.037037,-22.777779,-25.444445,6
197,9,3.055555,11.962963,-9.222222,16.444445,7
62,9,1.888887,123.48148,-33.444443,-14.111111,2
193,9,3.277779,61.407406,-23.222221,-22.222221,6
76,9,7.777778,13.518518,-15.222222,-2.555556,3
86,9,0.833335,105.77778,-38.666668,-16.333334,2
116,9,1.5,21.703703,-1.444444,-16.11111,1
152,9,0,0,0,0,5
132,9,1.055556,1.962963,-3.888889,-2.888889,3
92,9,1.888889,7.444445,-12.666667,-3,3
208,9,1.944444,18.555555,-9.333333,20.333334,7
138,9,1.111111,54.62963,-16.555555,-19.88889,4
85,9,2.833333,4.074074,-5.888889,-2.222222,3
152,9,0,0,0,0,5
41,9,1.777778,22.481482,-5.111111,-16.777779,1
91,9,27.277779,44.296295,-17.555555,-7.555555,3
111,9,0.5,16.11111,-11.666667,-11.333333,5
188,9,2,61.666668,-21.666666,-23,6
100,9,2.222223,20.62963,0.777778,-15.555555,1
186,9,3.666666,48.444443,-14,-20.333334,6
66,9,2.000001,51.592594,-11.444445,-17.444445,4
130,9,0.944445,6.62963,5.444445,-7.222222,1
180,9,1.777778,30.37037,-8.777778,-9.111111,6
39,9,1.055555,124.18519,-30.88889,-17.555555,2
159,9,2.277778,20.518518,-0.555556,-4.888889,4
239,9,1.944444,10.37037,-8.111111,10.222222,7
134,9,1.111111,8.703704,-15.111111,-6.444445,3
116,9,0.944445,16.185184,2.444444,-13.888889,1
149,9,0.555556,5.444445,-4,-5.666666,1
79,9,1.777778,5.407407,-10.888889,-4.555555,3
107,9,1.555556,18.62963,2.444444,-15.555555,1
177,9,0.944445,19.592592,-11.444445,14.888889,7
161,9,3.722222,40.444443,-15.333333,-12.333333,6
104,9,7.833333,18.62963,-11.222222,-3.222222,3
154,9,1.722222,28.148148,-19.777779,-14.444445,4
101,9,0.555555,22.444445,-2.666667,-17.666666,1
62,9,0.277778,6.407407,-6.888889,-8.222222,5
44,9,4.888889,58.666668,-25.666666,-25,4
42,9,3.277777,28.25926,-11.444445,-12.444445,4
68,9,27.944443,47.185184,-25.88889,-12.888889,3
54,9,0.833333,110,-36.333332,-15,2
172,9,1,19,-7.666666,15.666667,7
124,9,8.999999,53.77778,-14.333333,-17.666666,4
195,9,2.055556,8.518518,-6.555555,11.444445,7
100,9,1.555555,4.592593,-9.444445,-5.111111,3
187,9,1.944444,56.148148,-18.777779,-21.777779,6
189,9,1,32.77778,-11.333333,-12.333333,6
124,9,0.277778,7.074074,3.444444,-8.555555,1
180,9,1.555556,21.25926,-9.444445,18.88889,7
33,9,0.611111,111.333336,-40.666668,-21.333334,2
123,9,0.166667,0.703704,-2.111111,-1.777778,3
238,9,2.055556,17.777779,-8.333333,12,7
68,9,0.944444,107.37037,-39.444443,-17.444445,2
137,9,8.944446,36.925926,-6.111111,-10.111111,4
110,9,0.777778,4.222222,-4.333334,-5.333334,5
105,9,6.277777,15.185185,-7.555555,-6.222222,5
26,9,1.222219,137.03703,-16.777779,-12.444445,2
89,9,1.722222,21.88889,-1.666667,-16,1
125,9,2.166667,18.555555,-22.333334,-14,3
129,9,0.222222,0.518518,-1.555556,-1.555556,3
185,9,0.5,12.962963,-4.222222,13.777778,7
194,9,1.222222,45.074074,-14.555555,-16.555555,6
111,9,2.555555,29.592592,-12.444445,-13.444445,4
86,9,0.444444,12,-13.333333,-12,5
70,9,9.444444,21.037037,-14.444445,-2.444444,3
127,9,1.111111,3.814815,-7.444445,-1.444444,3
162,9,1.666667,17.333334,-10.666667,15,7
180,9,1.166667,22.555555,-15.333333,17,7
100,9,1.944444,55.37037,-15.111111,-19.444445,4
135,9,0.055556,1.259259,-1.444444,-3.777778,5
145,9,0,0,0,0,5
236,9,2.444444,16.074074,-8.888889,7.111111,7
86,9,2.277778,20.444445,-13.666667,-10.666667,5
66,9,2.611111,28.407408,-9.222222,-20.222221,1
144,9,0,0,0,0,5
166,9,1.777778,16.962963,-13.888889,15.777778,7
205,9,1.944445,50.25926,-16.11111,-18.444445,6
90,9,4.444444,10.037037,-7.444445,-7.444445,5
153,9,0,0,0,0,5
43,9,1.888889,64.703705,-29.444445,-24.11111,4
124,9,5.333334,7.592593,-10.444445,-5.444445,3
199,9,2.666668,57,-19.333334,-22.666666,6
116,9,0.833333,16.851852,-9.888889,-9.222222,5
108,9,1.333333,17.666666,4,-14.333333,1
172,9,0.944444,16.074074,-11.222222,14.444445,7
102,9,0.888889,23.074074,-2.888889,-17.222221,1
154,9,0.944444,0.62963,-0.555556,-1.222222,5
75,9,2,24.851852,-2.555556,-17.88889,1
37,9,0.611111,95.92593,-47.444443,-28.11111,2
126,9,0.666667,1.407407,-4.222222,-2.555556,3
129,9,0.222222,0.518518,-1.555556,-1.555556,3
41,9,1,113.40741,-28.555555,-24.88889,2
96,9,0.944445,61.925926,-22.444445,-22.777779,4
200,9,2.555555,45.296295,-13.888889,-17.555555,6
180,9,1.444444,31.444445,-8.333333,-10.666667,6
137,9,0.888889,0.740741,-1.222222,-1.888889,5
112,9,0.222222,0.148148,-0.444444,-0.444444,3
104,9,2.388889,21.777779,-2.666667,-17,1
45,9,1.222222,53.074074,-14.888889,-17.222221,4
139,9,0.333333,0.666667,-2,-1.333333,3
180,9,4.055556,62.074074,-21.555555,-24.88889,6
154,9,4.222222,6.481482,-6.444445,-6.444445,5
85,9,0.888889,1.777778,-4,-1,3
86,9,1.388889,24.296297,-2.222222,-18.88889,1
181,9,1.666667,19.62963,-7.555555,12.777778,7
155,9,0.5,23.333334,-10,18,7
99,9,1.611111,4.148148,-9.111111,-5.444445,3
99,9,0.888891,93.40741,-43.22222,-30.555555,2
124,9,0.222222,6.222222,4,-7.666666,1
138,9,0.111111,1.37037,-1.111111,-4.111111,5
164,9,0.5,13.666667,-6,2,7
180,9,1.499999,50.407406,-15.555555,-20.222221,6
50,9,0.444443,121.18519,-35.88889,-17.222221,2
101,9,9.611111,31.185184,-11.888889,-12.888889,4
81,9,1.5,38.25926,-11.111111,-15.777778,4
126,9,0.833333,7.296296,4.444445,-7.222222,1
44,9,1.277779,106,-39,-23.333334,2
69,9,1.5,24.333334,-7,-17.666666,1
48,9,1.055553,107.888885,-39.333332,-24.333334,2
103,9,1.277777,18.333334,2.666667,-15.333333,1
103,9,0.666667,2.148148,-6.111111,-4.444445,3
139,9,1.055556,4.185185,-6.888889,-6.222222,5
64,9,1.000001,92.81481,-46.77778,-30.777779,2
56,9,1.333333,26.444445,-9.333333,-19.333334,1
65,9,1.222223,20.814816,-2.111111,-15.777778,1
102,9,0.722222,2.888889,-6.666666,-3.666667,3
89,9,1.055556,16.814816,-11.777778,-11.111111,5
70,9,0.833333,55.037037,-10.444445,-19.11111,4
136,9,6.722223,15.518518,-19.555555,-9.888889,3
106,9,0.777778,17.481482,-10.111111,-9.444445,5
36,9,0.944443,66.37037,-29.444445,-25.777779,4
162,9,2.611111,40.962963,-18.222221,-9.222222,6
60,9,0.444447,109.77778,-30.666666,-24.666666,2
