@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,5,7,9-10,18-20'

@attribute Region-centroid-row numeric
@attribute Short-line-density-2 numeric
@attribute Vegde-sd numeric
@attribute Hedge-sd numeric
@attribute Intensity-mean numeric
@attribute Saturatoin-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
185,0,1.068055,1.925463,49.333332,0.275889,-1.95277,6
85,0,8.207409,9.440739,21.444445,0.437404,-1.659879,1
83,0.111111,9.988892,28.785189,14.37037,0.664785,-2.274205,3
11,0,0.255559,3.855552,141.55556,0.099836,-2.401587,2
94,0,0.551852,0.666664,113.18519,0.176789,-2.015307,2
42,0,0.869226,0.699206,37.444443,0.334662,-2.029552,4
182,0,1.794023,1.558727,46.37037,0.287646,-1.930048,6
167,0,0.518518,0.996296,14.592592,0.248449,2.305729,7
19,0,1.18634,0.886106,45.185184,0.355227,-2.133676,4
89,0,1.605546,1.068055,8.444445,0.548545,-2.043884,5
81,0,3.751853,3.751853,20.481482,0.412662,-1.566335,1
194,0,1.200309,3.04351,41.296295,0.28056,-2.037568,6
208,0,1.396296,3.055554,19.25926,0.368866,2.396771,7
46,0,1.629631,1.807408,126.03704,0.177195,-2.304436,2
52,0,0.596301,0.740744,111.62963,0.218379,-2.229685,2
194,0,1.274074,0.385185,16.777779,0.352132,2.593107,7
169,0,0.388889,0.418518,16.592592,0.400756,2.44578,7
200,0,4.324349,4.327775,58.592594,0.300181,-2.02885,6
146,0,0.474074,0.740741,10.592592,0.487864,-2.108911,4
122,0,0,0,0.333333,1,-2.094395,3
46,0,0.62361,0.596282,114.62963,0.240722,-2.395028,2
17,0,0.95258,1.108886,70.51852,0.286238,-2.098521,4
192,0,1.007407,4.82963,9.962963,0.476236,1.908457,7
182,0,4.213295,2.366432,58.407406,0.3112,-1.978495,6
207,0,0.928957,0.272165,12.148149,0.432389,2.217263,7
244,0,1.470702,1.259041,12.814815,0.446035,2.391736,7
149,0,0,0,0,0,0,5
63,0,0.562963,0.700001,18.074074,0.435021,-1.683847,1
57,0,0.196297,0.340743,122.333336,0.198924,-2.297173,2
163,0,2.285186,41.988934,40,0.263846,-2.51749,6
201,0,2.018434,4.723464,59.333332,0.306609,-2.042514,6
14,0,0.53403,0.712327,112.74074,0.242294,-2.408968,2
90,0,2.562966,0.062963,5.148148,0.797212,-2.073429,5
186,0,0.691215,1.00554,15.592592,0.442661,1.863654,7
19,0,0.443052,0.58373,114.25926,0.236733,-2.375985,2
88,0,0.329632,0.211111,110.59259,0.204675,-2.139239,2
195,0,1.866865,1.822697,61.74074,0.300235,-2.020938,6
128,0,0.077778,0.311111,5.555555,0.561508,-0.985811,1
182,0,5.455552,71.24447,29.777779,0.256078,-2.217735,6
96,0,0.68853,0.879816,55.148148,0.174579,-1.720468,4
128,0,0.044444,0.151852,5.037037,0.593915,-0.688601,1
143,0,1.103866,0.544331,50.37037,0.341229,-2.108995,4
100,0,0.774075,0.651851,55.37037,0.268621,-2.00619,4
147,0,0,0,0,0,0,5
117,0,0.620632,1.29386,31.25926,0.30715,-2.088914,4
131,0,0.177778,0.551852,0.814815,0.925926,-2.056155,5
191,0,2.999382,2.786209,62.037037,0.314683,-2.05611,6
197,0,3.255195,2.746042,11.962963,0.515187,2.164262,7
62,0,1.310924,0.720082,123.48148,0.193691,-2.343404,2
