@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,6,12,14,16-17,20'

@attribute Region-centroid-row numeric
@attribute Vedge-mean numeric
@attribute Rawblue-mean numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Value-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
229,1.388888,17.88889,-10.888889,10.444445,21.222221,7
120,0.333333,3.888889,-4.777778,-2.111111,3.888889,3
62,0.555556,127.111115,-28.555555,-22.222221,127.111115,2
146,1.888889,29.666666,-13.777778,-11.111111,29.666666,4
92,0.888889,20.555555,-13.555555,-11.888889,20.555555,5
136,6.722223,25.333334,-19.555555,-9.888889,25.333334,3
13,0.833331,144.77777,-29,-10,144.77777,2
138,0.5,5.444445,5.444445,-6.888889,6.777778,1
75,0.666668,115.888885,-49.666668,-32.333332,115.888885,2
68,1,124.888885,-32,-25.333334,124.888885,2
100,0.722222,2.777778,-3.333333,-1.333333,2.777778,3
75,2.833334,34.77778,-7.888889,-18.555555,34.77778,1
173,2.166667,71.55556,-20.666666,-23.666666,71.55556,6
155,4.944444,17.555555,-10.555555,-8.222222,17.555555,5
184,1.666666,62.333332,-14.111111,-21.11111,62.333332,6
13,1.277776,135.77779,-36.333332,-15,135.77779,2
233,1.444444,11.888889,-11.111111,13.222222,17,7
196,1.444445,57.11111,-16.88889,-16.222221,57.11111,6
140,0.722222,1.888889,-0.777778,-1.777778,1.888889,5
181,1.666667,17.88889,-7.555555,12.777778,23.88889,7
187,2,16.222223,-12,19.333334,25.11111,7
236,1.833333,9.444445,-4.888889,9.777778,14.333333,7
186,2.944445,60.444443,-14.111111,-20.777779,60.444443,6
75,15.388889,65.44444,-22.666666,-8.666667,65.44444,3
111,0.722222,7.666666,2.888889,-7.777778,7.888889,1
81,22.388887,55.555557,-26.444445,-14.444445,55.555557,3
108,0.777777,55.444443,-13.111111,-16.444445,55.444443,4
147,3.111111,62.444443,-18,-20,62.444443,4
66,2.555555,29.88889,-4.222222,-17.555555,29.88889,1
57,0.722223,90.111115,-31.11111,-28.11111,90.111115,4
54,0.777776,127.44444,-37.22222,-15.222222,127.44444,2
131,0.166667,3.666667,-2,-4.333334,3.666667,5
94,0.722223,28.777779,-12.666667,-13,28.777779,5
190,3.777777,71.111115,-19.333334,-19.666666,71.111115,6
85,0.833333,118,-43,-30.333334,118,2
161,0.555555,10.888889,-4.777778,-6.444445,10.888889,4
223,2.5,4.666667,-5.333334,11.333333,10.444445,7
105,5.944445,29.555555,-10.777778,-9.777778,29.555555,5
52,0.388889,140.22223,-30.666666,-12.666667,140.22223,2
118,1.722222,29,-3.555556,-15.222222,29,1
201,2.833333,20.333334,-13.888889,16.777779,26.88889,7
203,3.055555,17.666668,-12.222222,17.777779,25.444445,7
134,0.388889,6.222222,4.444445,-7.222222,7,1
71,1.666667,140.88889,-31.222221,-13.555555,140.88889,2
148,0.777778,16.88889,-11.888889,9.111111,19.444445,7
89,1.999999,74.44444,-23.777779,-22.777779,74.44444,4
158,2.166667,12.222222,-4.333334,-7,12.222222,4
58,0.777777,128.11111,-38.11111,-15.111111,128.11111,2
193,6.611113,63,-15.555555,-18.222221,63,6
65,2.222222,74.55556,-20.88889,-20.88889,74.55556,4
140,5.444444,15.111111,-11.777778,-3.777778,15.111111,3
44,2.166667,25.222221,-4.222222,-15.222222,25.222221,1
160,1.833333,58.333332,-21.777779,-17.777779,58.333332,6
152,0.111111,2.333334,-1.111111,-1.777778,2.333334,5
139,0.277778,7.222222,4.333334,-7.666666,7.555555,1
