@relation segment

@attribute Region-centroid-row numeric
@attribute Vegde-sd numeric
@attribute Hedge-mean numeric
@attribute Intensity-mean numeric
@attribute Exred-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
65,1.762964,2.333334,20.814816,-2.111111,1
104,3.629631,1.5,18.703703,1.555556,1
72,4.744444,1.777778,26.481482,-8.777778,1
74,1.555556,0.666667,22.407408,-2.222222,1
84,1.277777,1.611111,23.851852,-0.888889,1
128,0.118518,0.666667,5.666666,5.333334,1
124,0.074074,0.888889,5.888889,3.666667,1
107,0.344445,1.777778,16.703703,6.222222,1
44,2.388888,2.38889,18.74074,-4.222222,1
53,1.718519,2.833333,27.074074,-12.888889,1
68,1.007408,2.166667,27.185184,-8.888889,1
62,2.118518,3.388889,27.37037,-10.777778,1
128,0.044444,0.388889,5.037037,5.555555,1
117,0.151852,0.5,5.888889,3,1
124,0.02963,0.833333,6.222222,4,1
116,0.151852,0.444445,6.481482,3.222222,1
118,0.151852,0.722222,6.074074,4.777778,1
68,1.485186,1.777778,21.592592,-3.444444,1
64,1.362962,1.666666,18.88889,-4,1
145,0.018518,0.611111,3.925926,4.888889,1
149,0.251852,0.722222,5.444445,-4,1
85,1.051853,1.777778,17.962963,2.777778,1
106,0.72963,0.722222,19.11111,1.333333,1
135,0.118519,0.833333,5,5.666666,1
139,0.107407,0.833333,6.111111,4.333334,1
137,0.166667,1.111111,5.851852,5.777778,1
124,0.107407,0.611111,6,4.333334,1
116,1.633333,1.555556,21.703703,-1.444444,1
108,0.8,1.388889,17.666666,4,1
75,0.32963,0.722222,21.333334,-0.666667,1
116,0.196296,0.555555,6.62963,2.777778,1
142,0.107407,0.944444,5.037037,4.555555,1
130,0.340741,0.833333,7.296296,3.777778,1
115,1.822221,4.166667,22.037037,-2.111111,1
111,0.074074,0.611111,5.925926,5.222222,1
114,0.788889,2.111111,14.518518,4.777778,1
75,1.407408,1.5,22.74074,-2.222222,1
64,1.144445,1.388889,24.074074,-4.222222,1
116,0.151852,4.777777,16.185184,2.444444,1
77,1.851852,4.444445,25.185184,-3.222222,1
113,0.077778,0.277778,6.148148,3.222222,1
57,1.618517,1.944445,26.814816,-8.444445,1
133,0.266667,0.5,6.666666,5,1
91,2.029629,2.166666,22.481482,-1.444444,1
55,3.674073,1.777777,23.444445,-5.333334,1
111,0.151852,0.5,5.444445,3,1
81,2.21111,1.833333,19.851852,1.444444,1
118,0.062963,0.555556,5.481482,3.222222,1
57,3.411111,2.111111,26.296297,-4.888889,1
56,0.4,1.277777,26.444445,-9.333333,1
85,8.207409,3.944444,21.444445,-3,1
56,0.951851,1.333333,22.74074,-4.888889,1
111,1.466666,1.333333,18.62963,3.444444,1
110,5.351851,2.666667,17.925926,2.888889,1
123,0.240741,0.666667,6.740741,4.444445,1
54,1.674073,2.722222,24.592592,-5.444445,1
