@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,5,9,18,20'

@attribute Region-centroid-row numeric
@attribute Short-line-density-2 numeric
@attribute Hedge-sd numeric
@attribute Saturatoin-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
220,0,4.151854,0.427354,7
28,0,0.455421,0.241511,2
58,0,0.344265,0.622222,5
125,0,0.344265,1,3
85,0,6.818519,0.774121,3
209,0,0.998146,0.407904,7
107,0,20.196299,0.230455,4
58,0,0.344265,0.622222,5
88,0,3.396294,0.405118,1
120,0,4.029627,0.394863,1
130,0,0.685185,0.570106,1
84,0,0.45542,0.380483,4
210,0,2.184966,0.314278,6
72,0,6.296294,0.436895,1
13,0,0.400002,0.177191,2
143,0,0.074074,0.595238,1
42,0,2.231094,0.271572,4
125,0,103.751854,0.270638,4
229,0,1.408965,0.347692,7
154,0,0.074074,1,5
107,0,17.12963,0.697226,3
189,0,33.3185,0.271208,6
202,0,1.130388,0.29788,6
118,0,0.074074,0.617063,1
36,0,0,0,5
232,0,0.894427,0.500966,7
113,0,0.421636,0.327385,5
120,0,0.077778,1,3
196,0,2.277099,0.289997,6
185,0,1.047042,0.435185,7
30,0.111111,2.796824,0.613718,5
46,0,0.862948,0.110653,2
182,0,1.772214,0.280764,6
109,0,0.655462,0.325138,4
114,0,0.408248,0.400536,5
70,0,2.754121,0.274051,4
227,0,8.611113,0.425501,7
30,0,0.772201,0.242337,2
102,0,90.91857,0.575126,3
182,0,1.42595,0.281875,6
76,0,1.811111,0.723011,3
138,0,1.185185,0.092593,3
25,0,1.241264,0.284582,4
89,0,0.772203,0.257746,2
127,0,59.54075,0.248999,4
114,0,3.762962,0.393691,1
119,0,1.721326,0.635624,3
117,0,0.490653,0.402203,5
27,0,0.577774,0.10447,2
96,0,1.218523,0.254595,4
181,0,1.611303,0.409551,7
154,0.111111,0.685184,0.771517,5
145,0,0,0,5
93,0,11.674076,0.760191,3
97,0,0.45542,0.447494,5
216,0,2.984528,0.441675,7
131,0,0.088889,0.581349,1
105,0.111111,650.42957,0.37578,3
181,0,2.786875,0.317345,6
181,0,1.32916,0.300006,6
67,0,1.185185,0.429897,1
35,0,0.285183,0.103336,2
104,0,2.041242,0.375532,5
208,0,3.552778,0.320595,6
96,0,0.240741,0.197734,2
62,0,0.966668,0.419469,1
110,0,2.374073,0.708333,1
79,0,0.403686,0.258079,2
42,0,0.774073,0.174634,2
194,0,3.416733,0.275415,6
25,0,0.827759,0.224975,2
133,0,3.158176,0.860606,5
183,0,3.072581,0.305472,6
130,0,0.655461,0.931217,3
170,0,0.389683,0.349112,7
162,0,219.57411,0.307814,6
25,0,0.327731,0.25541,2
175,0,2.167949,0.387412,7
162,0,5.929622,0.289652,6
112,0,1.718518,0.867665,3
85,0,0.655555,0.428735,1
190,0,1.123816,0.290788,6
198,0,1.356739,0.415772,7
74,0,2.477778,0.420252,1
203,0,1.526312,0.514445,7
45,0,0.455419,0.210174,2
191,0,3.429718,0.31901,6
16,0,0.385184,0.244021,2
173,0,1.985185,0.396433,7
126,0.111111,0.285185,0.935706,3
245,0.111111,1.242757,0.572767,7
36,0,1.455557,0.284654,2
72,0,1.44074,0.84169,3
103,0,0.433334,0.271568,4
172,0,5.455545,0.249836,6
62,0,0.365146,0.329364,4
88,0,0.459468,0.378615,5
77,0,0.774074,0.762049,3
107,0,2.740741,0.394656,1
17,0,1.140735,0.172628,2
195,0,1.722401,0.517717,7
196,0,1.996292,0.297689,6
97,0,0.182574,0.199351,4
246,0,5.866666,0.395955,7
192,0,3.523992,0.302675,6
71,0,0.45542,0.166047,4
94,0,1.64204,0.609788,3
76,0,3.065339,0.27031,4
20,0,4.479171,0.261958,4
95,0,0.685186,0.874917,3
20,0,0.928959,0.181475,2
112,0,0.088889,0.559171,1
13,0,0.250924,0.632739,5
186,0,0.207407,0.301883,7
82,0,0.443054,0.262093,2
210,0,0.655555,0.435769,7
134,0,0.240741,0.829233,5
243,0,0.71111,0.452229,7
102,0,0.566667,0.899735,3
12,0,1.966384,0.687302,5
234,0,0.285185,0.621324,7
199,0,0.712325,0.408885,7
184,0,1.929306,0.2956,6
67,0,1.94079,0.26644,2
60,0,1.366668,0.420823,1
101,0,1.555158,0.289362,4
145,0,2.062963,0.251852,3
90,0,2.018434,0.665344,3
105,0,0.651852,0.264986,4
