@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R1-2,7-8,11-12,15,17,20'

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Vegde-sd numeric
@attribute Hedge-mean numeric
@attribute Rawred-mean numeric
@attribute Rawblue-mean numeric
@attribute Exblue-mean numeric
@attribute Value-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
126,237,0.240741,1,4.222222,4.222222,-4.666666,8.888889,7
5,210,1.669998,4.444444,45.444443,64.333336,39.11111,64.333336,6
94,140,0.033333,0.333333,1.777778,6.111111,9.222222,6.111111,5
93,236,2.696296,2,9.555555,10.777778,-5.222222,17.222223,7
111,246,2.094968,5.833334,21.11111,22.444445,-10.333333,34.11111,7
155,40,2.072751,0.055556,1.222222,1.555556,0.888889,1.555556,5
192,157,0.507408,0.777778,13.888889,17.222223,-3.333333,23.88889,7
142,140,1.293859,1.5,23.444445,32.333336,17.666666,32.333336,4
108,146,0,0,0,0,0,0,3
221,107,0.211111,0.833333,0.333333,5.333334,9.333333,5.333334,3
23,85,1.051853,1.777778,18.88889,21.88889,11.777778,21.88889,1
108,128,4.368658,1.666666,46.333332,67.111115,41.555557,67.111115,4
197,121,17.3628,0.944444,37.444443,49.444443,25.222221,49.444443,4
95,71,1.085182,2.222221,96.666664,122.44444,50.333332,122.44444,2
153,192,1.781593,7.444444,47.333332,65,34.666668,65,6
98,119,0.518519,2.555556,21.333334,27.333334,17.222221,27.333334,1
116,35,0.781735,0.888888,113.77778,141.33334,48.444443,141.33334,2
152,220,0.685185,1.444445,11.555555,13.111111,-4.555555,19.222221,7
123,183,0.651852,6.333334,29.444445,39.11111,20.555555,39.11111,6
95,109,0.488889,1.944444,19.222221,20,8.222222,20.444445,1
21,123,0.385186,1,15.666667,26.333334,21.11111,26.333334,4
95,57,3.411111,2.111111,24.666666,34.444447,24.444445,34.444447,1
182,39,5.737789,0.611111,7.333334,14.333333,14.444445,14.333333,5
23,92,4.63641,7,8.777778,18.666668,18,18.666668,3
32,95,1.040741,2.222222,0.777778,7.444445,12.888889,7.444445,3
142,182,1.099999,2.277777,31.555555,42.22222,23.11111,42.22222,6
198,183,1.18165,3.388888,48.88889,66.55556,37.555557,66.55556,6
103,226,1.707407,1.611111,10.222222,11.888889,-4.777778,18.333334,7
43,137,0.077778,1.388889,0.666667,3.777778,6.333334,3.777778,5
58,111,3.451851,2.055556,15.555555,26.222221,20.666666,26.222221,5
23,85,1.051853,1.777778,18.88889,21.88889,11.777778,21.88889,1
85,225,1.00554,1.611111,14.444445,12.777778,-10.222222,21.333334,7
62,144,0.062963,0.722222,6,5.777778,2.888889,6.222222,1
222,189,1.00554,1.000001,14.555555,14.111111,-9.555555,23.222221,7
156,49,0.574134,1.222221,35.666668,44.11111,18.222221,44.11111,4
185,188,1.128748,1.999999,45,62.11111,35.77778,62.11111,6
190,162,3.985182,13.944444,35,51.11111,29.333334,51.333332,6
46,235,1.840741,1.722222,7.555555,9.333334,-4.666666,15.777778,7
172,138,10.074077,7.833334,8.222222,19.222221,21.11111,19.222221,5
23,219,1.00554,1.722222,10.888889,12,-4.111111,17.222223,7
170,189,1.323576,2.444445,45.77778,63.333332,36.666668,63.333332,6
166,65,0.785188,0.722221,82.77778,121.111115,71.333336,121.111115,2
192,51,0.389683,0.944443,95.22222,127,54.77778,127,2
45,89,0.340741,0.777778,0.111111,6.444445,12.444445,6.444445,3
83,81,0.344265,0.722221,51.88889,74.44444,45,74.44444,4
123,94,0.077778,0.833333,16.88889,30.444445,27,30.444445,5
131,208,0.418519,0.611111,12.777778,15,-3.555556,20.777779,7
75,113,4.122656,6.166666,17.11111,44.22222,49,44.22222,3
57,89,1.306678,6.166666,13,24.555555,22.666666,24.555555,5
196,134,0.251852,0.777778,7.444445,7.111111,3.111111,7.777778,1
18,209,0.712326,4.555556,43,60.77778,36,60.77778,6
4,201,1.678846,5.222221,47.11111,67.22222,40.555557,67.22222,6
190,81,0.651852,1.833333,39.444443,51.555557,25.88889,51.555557,4
245,93,3.896308,1.944444,70.66667,112.111115,77.44444,112.111115,2
87,146,0.611616,5.111111,36.88889,55.88889,38.22222,55.88889,4
17,108,0.64693,1.166667,0.555556,3.333333,4.444445,3.333333,3
53,53,0.444444,1.111109,104.333336,130.22223,51.22222,130.22223,2
78,107,0.655556,1.611111,18.333334,20.666668,10.444445,20.777779,1
188,133,0.266667,0.5,8.333334,7.777778,3.333333,8.444445,1
185,84,0.490653,0.499999,18.666668,31.333334,24.222221,31.333334,5
102,179,1.531158,2.444445,44.88889,59.77778,31.777779,59.77778,6
45,89,0.340741,0.777778,0.111111,6.444445,12.444445,6.444445,3
161,138,0.172133,0.222222,0.444444,3.222222,6,3.222222,5
170,113,0.623608,1.222222,24.333334,34.88889,19.666666,34.88889,5
252,82,0.41852,0.777778,34.555557,48.444443,28.666666,48.444443,4
180,116,1.611303,1.333333,29.11111,41.666668,25.444445,41.666668,4
97,116,0.196296,0.555555,7.555555,8.444445,5.444445,8.555555,1
97,21,0.611615,1.333332,115,142.88889,48.22222,142.88889,2
208,65,1.23678,26.444445,52.666668,64.44444,23.222221,64.44444,4
96,123,0.151852,1.833333,14.777778,34.22222,37.77778,34.22222,4
118,180,1.481991,3.111111,44.11111,59,31.333334,59,6
76,138,3.879672,5.5,9.888889,24.777779,24.777779,24.777779,3
24,93,0.772203,2.055555,54.77778,79.22222,49.11111,79.22222,4
160,41,0.809664,0.222222,0.555556,1.222222,1.555556,1.222222,5
18,87,1.962613,1.888889,1.222222,5.666666,8.222222,5.666666,3
252,201,5.495115,5.555555,35.77778,49,26.11111,49,6
93,190,1.822697,2.611111,47.333332,66.88889,39.88889,66.88889,6
243,120,4.359749,1.555555,44.77778,56.333332,25.444445,56.333332,4
69,17,0.107405,0.666667,120.77778,143.88889,40.77778,143.88889,2
121,102,1.854923,1.222222,47.11111,62.333332,32,62.333332,4
162,159,0.960324,2.222222,25.222221,29.555555,10.333333,29.555555,4
8,39,1.129629,1.833333,102.55556,132,55.88889,132,2
53,28,0.403686,1.777779,96.44444,130.66667,57.22222,130.66667,2
140,19,0.551851,1.888888,97.666664,130.22223,59.77778,130.22223,2
142,183,0.869228,1.555555,40.22222,52,26.444445,52,6
120,51,0.712324,2.055553,113.22222,141.11111,50.11111,141.11111,2
197,105,15.662961,3.666666,1.666667,8.333334,12.555555,8.333334,3
101,121,0.843274,1.5,1.111111,6,7.777778,6,3
200,215,0.958394,4.722222,17.11111,22.555555,-1.444444,29.444445,7
46,131,0.062963,1.777778,0.777778,2.777778,4.111111,2.777778,5
19,28,1.278022,1.111112,96.111115,131.22223,59.11111,131.22223,2
35,189,2.87407,4.5,29,38.555557,19.88889,38.555557,6
75,65,1.110556,1.555555,50.444443,72.66667,44.77778,72.66667,4
187,86,1.06284,3.055555,4.666667,10.888889,12.555555,10.888889,5
92,46,0.240742,1.111112,93.888885,128.88889,64.111115,128.88889,2
116,192,2.82384,4.333334,50.333332,72.111115,45.11111,72.111115,6
19,90,1.885185,1.111111,0.888889,7.888889,13.444445,7.888889,3
105,193,1.90516,2.888889,53.11111,75.111115,45,75.111115,6
122,11,0.311116,2.888891,136.88889,150.88889,22.333334,150.88889,2
18,145,0.018518,0.611111,5.555555,4,0.222222,5.555555,1
159,105,0.501849,4,22.555555,34,21.777779,34,5
241,218,3.496296,1.666666,5.444445,7.333334,-3.333333,12.555555,7
46,238,0.827759,2.166667,9.666667,12.666667,-1.777778,17.444445,7
68,107,3.14074,1.111111,0.222222,4.555555,8.333333,4.555555,3
116,238,0.877777,1.055556,7.444445,5.666666,-8.555555,12.444445,7
28,162,0.62361,1.444444,19.666668,26.11111,3,29.555555,7
104,103,0.534027,0.666667,52.22222,72.66667,41.333332,72.66667,4
178,185,1.806368,3.111111,44,60.666668,34.88889,60.666668,6
234,177,0.474073,0.888889,12.555555,15.444445,-2.444444,20.777779,7
97,77,1.851852,4.444445,24.11111,32.333336,21.444445,32.333336,1
139,109,0.834444,0.277778,24.777779,37.11111,23.11111,37.11111,5
170,143,0,0,0,0,0,0,5
59,99,0.82963,1,0.111111,5.555555,10.555555,5.555555,3
30,251,1.881686,8,21.444445,17.777779,-8.666667,22.777779,7
66,109,0.809666,1.000001,89.44444,122.22222,59.22222,122.22222,2
36,189,2.462961,5.833334,28.444445,38,19.88889,38,6
223,150,0,0,0,0,0,0,5
130,189,0.340741,1.166667,9.444445,10.111111,-5.666666,16.444445,7
228,20,0.490655,0.833333,114,140.55556,46.666668,140.55556,2
41,93,0.151851,1.055555,103.888885,128,47.11111,128,2
76,106,3.544443,2.222222,1,7.888889,12.666667,7.888889,3
27,106,0.418518,1.277778,0.333333,4.888889,8.111111,4.888889,3
201,135,0.296296,0.888889,7.111111,6.444445,2.777778,7.444445,1
124,183,0.429629,2.277777,14.222222,17.11111,-3.222222,23.222221,7
244,193,2.225275,3.888889,13.333333,14.222222,-5.888889,21,7
252,36,0.1963,1,128.55556,146.11111,32.444443,146.11111,2
