@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R8,13-14,19-20'

@attribute Hedge-mean numeric
@attribute Rawgreen-mean numeric
@attribute Exred-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
1.111109,51.22222,-21.555555,-2.040554,6
0.611111,3,4.444445,-0.897859,1
9.222222,19.444445,-22,-2.438409,3
0.166667,0.333333,-2.333333,-2.065536,5
2.999999,22.88889,-9.888889,2.232849,7
1.5,18.11111,-11.888889,2.743555,7
2.888889,20.333334,-6.222222,-1.776113,1
1.722222,14.888889,0.777778,-1.520125,1
3.611111,20.555555,-10.555555,2.298255,7
1.277777,58.11111,-22.555555,-2.108813,4
1.055556,1.111111,-5.111111,-2.298085,3
1.777778,7.222222,-13.666667,-2.442323,3
0.888891,104.22222,-21.777779,-2.033487,2
2.222222,41.444443,-16.444445,-2.074616,6
1.555557,37.22222,-16.333334,-2.050388,4
2.055556,12.666667,-14.888889,-2.159464,5
1.222221,102.44444,-37.77778,-2.238865,2
0.777778,2.888889,4.444445,-0.874641,1
0.944443,122.888885,-32.88889,-2.344188,2
5,53,-18.444445,-1.997746,6
1.166667,56,-24.777779,-2.105073,4
0.833333,130.33334,-19.666666,-2.217488,2
2.166666,19.11111,-11,2.447547,7
1.222222,11.444445,-15.222222,-2.159466,5
2.388889,48.666668,-18.88889,-2.038263,6
0.277778,0,-1.222222,-2.094395,3
2.666666,8.333334,-14.222222,-2.445012,3
4.333334,31,-14.333333,-2.053834,4
0,0,0,0,5
3.388888,36.555557,-11.444445,-1.992997,6
1.166666,28.777779,-15.222222,2.630157,7
6.777779,6.333334,-10.222222,-2.291762,3
1.388889,1.888889,-6.444445,-2.358386,3
0.611111,6.222222,-9.666667,-2.12934,5
1.111111,119.888885,-28.777779,-2.270653,2
0.888889,25.11111,-12.111111,2.420823,7
5.111111,42.88889,-14.444445,-1.990627,6
9.777778,10.333334,-9.444445,-2.137371,4
0.444445,6.666666,-10.888889,-2.138743,5
1.166667,3.555556,3,-1.163245,1
0.888887,97.888885,-42.77778,-2.286636,2
5.611111,16.222223,-7.555555,-2.113918,5
1.166667,17.777779,-9.111111,2.382684,7
7.5,10.333334,-10.666667,-2.06232,3
4.777777,36.444443,-10.444445,-1.998368,6
0.555556,119.55556,-32.77778,-2.2949,2
1.499999,120.44444,-29.555555,-2.263738,2
1.222223,109.22222,-41.11111,-2.391113,2
2.722222,20.666668,-22.777779,-2.090649,3
2.166666,16.666668,-1.444444,-1.630409,1
2.055555,15.888889,-3.111111,-1.680812,1
6.888888,45.555557,-16.777779,-2.022599,6
3.222222,19.11111,-8.666667,2.0861,7
1.11111,24.666666,-13.333333,2.504391,7
0.611109,92.55556,-42.333332,-2.247816,2
1.388888,42.88889,-21.777779,-2.102441,4
5.055556,45.11111,-18.555555,-2.11269,6
3.666666,25.222221,-19.11111,-2.218655,5
0.666667,24.555555,-8.333333,-2.05389,4
1.499999,108.333336,-40.22222,-2.385001,2
0.444445,3,4,-1.041434,1
0.722224,58.22222,-28,-2.124459,4
1.166667,6.222222,-3.777778,-1.904651,4
0.833333,0.555556,-3.666667,-2.178769,3
5.666666,29,-12,-2.091209,6
0,0,0,0,5
2.055556,27.333334,-15.666667,2.420791,7
0.833333,0.555556,-2.777778,-2.200588,3
1.611111,17.222223,-3.111111,-1.695804,1
1,3.777778,3.555556,-1.118131,1
0.333333,0,-2,-2.094395,3
1.944444,57.444443,-26.222221,-2.133031,4
11.500001,38.22222,-18.11111,-2.338974,6
3,17.11111,-5.777778,1.987902,7
5.111111,26.555555,-9.222222,-2.083566,6
2.777778,18.777779,-13.888889,-2.138726,4
0.666667,1.333333,-3.555556,-2.4238,3
3.722222,41.77778,-15.666667,-2.051671,6
0,0,0,0,5
0.555553,107.666664,-35.11111,-2.278452,2
1.388889,16.444445,-1.333333,-1.623301,1
2.055555,18,-3.555556,-1.699326,1
1.111111,1.222222,-6.555555,-2.225735,3
0.388889,3.444444,3.888889,-0.988413,1
1.111108,105.77778,-25.555555,-2.17166,2
2.777778,18.777779,-13.888889,-2.138726,4
1.444445,16.444445,-16.777779,-2.134924,4
0.388889,19.555555,-18.88889,-2.202425,5
0.555556,3.222222,3.222222,-1.053347,1
0.722222,3,4.888889,-0.851202,1
0.833333,0.666667,-4.222222,-2.094395,5
0.611111,7.222222,-13.444445,-2.138617,5
0.222222,13.444445,-12.555555,-2.143761,5
0.722221,98.666664,-37,-2.300486,2
1.166665,103.77778,-41.22222,-2.42468,2
3.055555,33.333336,-20.777779,2.827106,7
7.944445,18.222221,-14.777778,-2.589111,3
0.888889,3.444444,3.666667,-1.037663,1
0.777778,1.444444,-6.222222,-2.269023,3
0.5,108.888885,-34.333332,-2.340839,2
2.111111,0.777778,-1.222222,-2.000272,5
1.555556,58.88889,-18.11111,-2.027771,4
1.333333,36.11111,-8.222222,-1.942698,4
1.666667,1.777778,-4.666666,-2.340801,3
0,0,0,0,5
1.944444,52.333332,-22.333334,-2.111941,4
0,0,0,0,5
2.833333,50,-16.333334,-1.966671,6
0.222222,0.111111,-1.888889,-1.880724,5
0,0,0,0,3
1.222223,122.111115,-29.11111,-2.310766,2
8.555555,25.88889,-10.555555,-2.160658,6
5.777778,6.444445,-10.444445,-2.289874,3
2.611111,18.777779,-6.444445,1.903686,7
0.722222,1.666667,-7.222222,-2.321865,3
10.222221,33.666668,-24.777779,-2.284187,3
2.111111,51.333332,-20.11111,-2.03348,6
0.666667,3,4.111111,-0.914813,1
6.000001,52.11111,-23.444445,-2.077651,6
2.777778,16.444445,-9.555555,2.437819,7
1.944445,32.555557,-14.333333,2.356024,7
0.722224,101,-42.11111,-2.382261,2
1.277778,59.11111,-19.666666,-2.072158,4
0.888889,16.555555,-12.777778,-2.086083,5
1.222223,108.888885,-37.444443,-2.385308,2
1.833333,52.88889,-20.333334,-2.058211,6
1.444444,24.88889,-18.777779,-2.187781,5
1.333333,132.33334,-18.11111,-2.255012,2
0.555556,46.22222,-24.11111,-2.09452,4
0.055556,0,-0.222222,-2.094395,5
14.166667,28.222221,-25.333334,-2.286295,3
0.833333,1.222222,-8.111111,-2.186723,3
0.333333,0.111111,-2.888889,-2.117548,3
1.388889,16.666668,-7.777778,-1.842494,1
2.111111,17.444445,-14.111111,-2.141787,4
5.833334,8.555555,-14.111111,-2.356793,3
0.888889,3.444444,3.666667,-1.037663,1
1.277778,14.444445,-6.333334,2.291118,7
1.111111,1,-2,-2.04515,5
1,4.333334,-11.222222,-2.383949,3
4.055555,25.11111,-15.222222,-2.066695,4
1,11.888889,-11.222222,-2.113273,5
2.5,30.88889,-9.888889,2.125416,7
0.777778,2.111111,-6.555555,-2.408939,3
4.5,49.77778,-20.11111,-2.033804,6
1.833335,107,-22,-2.09899,2
2.111111,10.333334,4.777778,-1.179347,1
2.611111,13.888889,0.444444,-1.524253,1
2.722221,28.666666,-8.666667,2.263538,7
1.777777,17.555555,-5.333334,-1.771163,1
1.611111,12.444445,5.666666,-1.169517,1
1.444444,116.55556,-36.555557,-2.325679,2
2.277777,41.88889,-15.333333,-2.045996,6
1.111112,103.55556,-46.11111,-2.37202,2
0.333333,1,-4.666666,-2.077816,5
1.166667,131.77779,-18.222221,-2.215046,2
0.222222,0,-3.333333,-2.056155,5
2.333333,118.888885,-31.777779,-2.384657,2
7.388889,37.555557,-11.777778,-1.980977,4
11.5,36.333336,-15.333333,-2.198939,6
1.055556,15.666667,-14.333333,-2.136215,5
5.722223,26.555555,-8.666667,-2.050282,6
0.388892,105.111115,-43.77778,-2.404745,2
0.777777,52.333332,-14.444445,-1.996907,4
3.111111,16.555555,-10.222222,-2.128231,5
1.055554,56.666668,-22.88889,-2.076662,4
2.833333,8.333334,-4.444445,2.148363,7
3.222223,25.555555,-14.111111,2.459806,7
1.111112,58.88889,-28.11111,-2.132027,4
1.666667,17.666668,-8.666667,2.341677,7
0.722222,15.777778,-0.666667,-1.590164,1
1.833333,16.333334,0.888889,-1.524771,1
1.777778,15.888889,-3.444444,-1.700324,1
0.222222,0,-1.444444,-2.094395,3
2.5,25.333334,-7.111111,2.001681,7
1.666667,95,-44.88889,-2.302468,2
2.833333,38.77778,-14.222222,-2.06786,6
2.333334,45.333332,-15.555555,-1.981911,6
0.833333,22.555555,-10.333333,2.209309,7
0,0,0,0,5
0.555556,4.111111,-7,-2.039459,5
3.055555,50.88889,-19.88889,-2.064888,6
13.388889,27.444445,-10.444445,-2.013382,4
2.833333,16.666668,-2.888889,-1.676921,1
1.333333,40,-10,-1.971781,4
4.111111,41.77778,-15.777778,-2.052705,6
1.055555,29.555555,-21.11111,2.84342,7
0.666667,16.666668,-2.222222,-1.646671,1
0.555556,3.444444,1.666667,-1.353896,1
3.555556,43.77778,-14.333333,-1.978657,6
3.333333,26,-12.222222,2.24441,7
44.722225,64.55556,-26,-2.422127,3
2.333334,19.222221,-4.222222,1.860191,7
0.666667,34.555557,-10.111111,-1.962646,4
1.5,11.222222,-6,2.122422,7
1.333333,126.333336,-27.555555,-2.364884,2
0.388889,3.888889,4,-0.983947,1
1.333333,26.88889,-12.666667,2.252231,7
3.555556,18.444445,-3.777778,1.910945,7
2.055555,14.666667,-10.444445,2.557458,7
0.111111,0,-0.111111,-2.094395,3
0.222222,0,-0.666667,-2.094395,3
6.111111,29,-14.888889,-2.074838,4
6.833334,26.88889,-9.666667,-2.046307,6
1.611111,18,-0.888889,-1.598867,1
2.166667,41.666668,-12.555555,-1.940423,6
9.833333,9,-6.555555,-2.492965,3
1.055556,16.333334,-6,1.909255,7
2.944444,11.777778,-9.444445,-2.138901,5
1.833333,14.555555,1.444444,-1.472378,1
0.722223,24.666666,-11.111111,-2.048461,4
2.111111,19.777779,-4.888889,-1.739017,1
0.444444,3,-5.555555,-2.075071,5
0.777779,131.88889,-22.555555,-2.312874,2
0.666666,27,-22.222221,-2.244772,5
5,49.22222,-15,-1.969456,6
3.444445,51.333332,-18.11111,-2.034642,6
1.777777,52.444443,-27.555555,-2.128423,4
0.944448,136.66667,-17.222221,-2.232895,2
2,7.555555,-6.111111,-2.029312,4
1.38889,24.88889,-11.888889,-2.094392,4
11.444446,31.88889,-10.555555,-2.035377,4
0,0,0,0,5
1.611111,20.11111,-9.888889,2.280922,7
1.388889,26.666666,-9.666667,-2.016443,6
1.222221,122.55556,-29.88889,-2.308766,2
0.888889,99.111115,-39.11111,-2.247952,2
0.77778,118.333336,-33,-2.28828,2
0.777778,15.888889,-6.222222,2.128646,7
1.777778,3.111111,-9,-2.305729,3
3.388888,46.666668,-15.444445,-1.974959,6
