@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,4-5,13-14,16-17,20'

@attribute Region-centroid-row numeric
@attribute Short-line-density-5 numeric
@attribute Short-line-density-2 numeric
@attribute Rawgreen-mean numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Value-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
173,0,0,38.333336,-12.111111,-15.777778,52.88889,6
51,0,0,14.333333,-2.444444,-15.777778,25.666666,1
115,0,0,20,-10.555555,-8.888889,29.444445,5
64,0,0,14,-4,-14.666667,25.11111,1
130,0,0,0.666667,-3.777778,-2.111111,3.333333,3
64,0,0,30.333334,-19,-2,38,3
123,0,0,4,4.444445,-8.222222,8.444445,1
96,0,0,2,-8,-4.666666,7.777778,3
184,0.111111,0,39.444443,-10.333333,-17.333334,54.444443,6
120,0,0,34.77778,-11.666667,-13.666667,47.77778,4
153,0,0,3.222222,-1.111111,-0.444444,3.888889,5
144,0,0,0.444444,-0.333333,-0.666667,1,5
139,0,0,0,-1.333333,-1.333333,1.333333,3
83,0,0,14.333333,0.333333,-15.333333,24.444445,1
57,0,0,122.111115,-31,-12,140.44444,2
109,0.111111,0,13.111111,4.333334,-14,21,1
51,0.111111,0,121.77778,-28,-13.666667,140.22223,2
78,0,0,38.444443,-8.111111,-16.11111,51.88889,4
195,0,0,53.444443,-20.777779,-24.444445,76.66667,6
189,0,0,51.444443,-21.222221,-20.88889,72.44444,6
191,0,0,54.333332,-23.666666,-26,79.55556,6
235,0,0,12.777778,-7.222222,10.777778,12.777778,7
47,0,0,99.333336,-41.666668,-23.333334,128.77779,2
13,0,0,62.333332,-29.11111,-24.11111,88.111115,4
242,0,0,15.777778,-9.222222,12.111111,15.777778,7
68,0,0,50.11111,-14.333333,-20,68.22222,4
117,0,0,3.777778,2.666667,-8,8.222222,1
83,0,0,14.444445,-14.666667,-11.333333,26.88889,5
133,0,0,0,0,0,0,3
45,0,0,16.444445,-4.111111,-16.444445,28.777779,1
129,0,0,0,-1.555556,-1.555556,1.555556,3
27,0,0,135.11111,-16.555555,-8.888889,146.55556,2
188,0,0,53.444443,-21.88889,-22.88889,76,6
92,0,0,17.555555,-2,-17.666666,30,1
79,0,0,36.555557,-10.222222,-14.555555,49.666668,4
192,0,0,41,-15.555555,-19.555555,59.22222,6
238,0,0,19.11111,-7.555555,16.444445,19.11111,7
63,0,0,3.666667,-6.222222,-7.222222,10.555555,5
137,0,0,0.111111,-2.333333,-2,2.222222,3
134,0,0,0,-1.555556,-1.555556,1.555556,5
134,0,0,0,-3.111111,-3.111111,3.111111,5
161,0,0,37.333336,-16.444445,-12.444445,51.22222,6
187,0,0,50.88889,-18.333334,-23.333334,72.55556,6
99,0,0,83.22222,-43.22222,-30.555555,118,2
234,0,0,8.777778,-5.222222,9.111111,8.777778,7
13,0,0,95.666664,-47.666668,-25.333334,128.44444,2
184,0,0,19.333334,-5.666666,15.333333,19.333334,7
34,0,0,11.555555,-11,-8.666667,21,5
66,0.111111,0,85.888885,-43.333332,-27.666666,118.77778,2
116,0,0,0.333333,-3.888889,-4.888889,4.888889,5
79,0,0,40.666668,-8.777778,-15.444445,53.88889,4
90,0,0,13.444445,2,-14,22.11111,1
187,0,0,47.333332,-17.333334,-22.333334,68,6
103,0,0,30.88889,-14.555555,-14.222222,45.22222,4
104,0,0,16.88889,-10.333333,-8.666667,26.11111,5
24,0,0,44,-20.555555,-15.555555,61.22222,4
119,0,0,0.111111,-4.333334,-4,4.222222,3
190,0,0,28.444445,-10.888889,-13.555555,41.11111,6
133,0,0,3.444444,-5.111111,-5.777778,9,5
116,0.111111,0,26.666666,-12.444445,-9.444445,37.11111,5
67,0,0,20.444445,-6.111111,-20.11111,35.88889,1
208,0,0,21.11111,-10.222222,15.111111,21.11111,7
220,0,0,11.555555,-4.888889,10.111111,11.555555,7
34,0,0,11.555555,-11,-8.666667,21,5
176,0,0,17.11111,-8.666667,12.333333,17.11111,7
196,0,0,41.444443,-16.444445,-17.444445,58.555557,6
128,0.111111,0,13.444445,-19.11111,-9.111111,25.88889,3
73,0.111111,0,15.333333,-2.555556,-15.888889,26.777779,1
194,0,0,53.666668,-20.333334,-23.666666,76.22222,6
17,0,0,62.88889,-23.555555,-24.88889,87.333336,4
154,0,0,15.666667,-14.444445,-12.111111,28.555555,4
62,0,0,0,0,0,0,5
12,0,0,123.666664,-35.666668,-11.333333,143.11111,2
123,0,0,0.555556,-3.777778,-2.777778,3.666667,3
24,0,0,116.333336,-32.555557,-15.888889,137.77779,2
