@relation segment

@attribute Region-centroid-row numeric
@attribute Exblue-mean numeric
@attribute Exgreen-mean numeric
@attribute Value-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
108,8.333333,-14,20,-1.169517,1
128,3.333333,-7.333334,7.111111,-0.985811,1
122,4,-7.666666,7.666666,-1.05144,1
101,16.444445,-16.222221,26.777779,-1.558599,1
63,20.555555,-16.777779,27.777779,-1.72683,1
143,2.333333,-8,7.555555,-0.796918,1
128,2.666667,-8,7.444445,-0.837598,1
147,7.555555,-6.777778,7,-1.475643,1
124,3.666667,-8,7.777778,-0.987873,1
140,3,-7.666666,8.222222,-0.909267,1
121,3.111111,-7.888889,8,-0.914324,1
53,17.666666,-15.666667,27.444445,-1.662177,1
69,24.666666,-17.666666,32.555557,-1.811203,1
111,2.777778,-7.222222,6.888889,-0.897859,1
109,9.666667,-14,21,-1.276562,1
104,19.666666,-17,28.333334,-1.669752,1
145,2.777778,-6.555555,5.444445,-0.959485,1
108,10.333333,-14.333333,21.11111,-1.302133,1
121,21,-16.666666,30.11111,-1.740736,1
128,1.222222,-6.777778,6.888889,-0.688601,1
134,1.444444,-6.555555,6.444445,-0.730465,1
142,0.666667,-7,6.777778,-0.604864,1
50,20.88889,-16.777779,30,-1.741254,1
136,2.444444,-6.888889,7.222222,-0.896533,1
102,11.888889,-13.777778,21.88889,-1.447037,1
84,18.444445,-17.555555,30,-1.598867,1
92,11.888889,-14.444445,23.333334,-1.408242,1
135,1.333333,-7,6.888889,-0.692028,1
75,17.333334,-16.666666,27.11111,-1.590164,1
149,9.666667,-5.666666,8.666667,-1.985703,1
60,25.444445,-19.222221,35.22222,-1.776113,1
66,16,-15.666667,24,-1.569253,1
123,2.333333,-6.666666,6,-0.853547,1
60,25.444445,-19.222221,35.22222,-1.776113,1
56,16.777779,-15.555555,25.444445,-1.622211,1
92,15.111111,-14.222222,24.11111,-1.570588,1
114,3.666667,-7.666666,7.888889,-1.0108,1
131,0.666667,-6.666666,7.222222,-0.621222,1
75,20.444445,-17.88889,31.666666,-1.652768,1
134,2.333333,-7.666666,7.888889,-0.806042,1
89,17.666666,-16,27.777779,-1.611365,1
89,19.666666,-17.333334,30.444445,-1.664008,1
111,5.222222,-6.111111,5.555555,-1.43724,1
90,12,-14,22.11111,-1.425885,1
59,20.88889,-17.777779,28.777779,-1.680812,1
92,20.666666,-17.333334,29.777779,-1.682651,1
145,0.222222,-5.111111,5.555555,-0.57094,1
107,13.111111,-15.555555,23.11111,-1.370369,1
111,3.888889,-7.444445,7.333334,-1.065066,1
95,15.777778,-15.555555,26.666666,-1.567327,1
71,18.666666,-17,28.555555,-1.636863,1
78,19.88889,-18.11111,31.222221,-1.610448,1
110,10.555555,-13.444445,21.444445,-1.345096,1
116,4.666666,-7.666666,7.777778,-1.163245,1
149,13.111111,-7.222222,11.888889,-2.018631,1
118,3.111111,-7.222222,7.111111,-0.960827,1
104,13.555555,-15.111111,23.222221,-1.446641,1
131,2.111111,-6.888889,7.555555,-0.804846,1
135,2.222222,-7.444445,7.444445,-0.787376,1
141,2.444444,-7.222222,7,-0.843732,1
77,24.11111,-18.555555,34.444447,-1.768872,1
34,22.666666,-16.333334,27.88889,-1.823148,1
126,2.555556,-7.111111,6.555555,-0.877707,1
66,29.444445,-20.222221,38.22222,-1.844993,1
64,19.222221,-17.777779,28.88889,-1.625668,1
104,14.111111,-14.222222,24.88889,-1.555376,1
85,11.777778,-14.555555,21.88889,-1.386867,1
128,1.555556,-7.444445,7.888889,-0.7213,1
114,8.666667,-14,20.555555,-1.176662,1
65,17.88889,-15.777778,26.777779,-1.665853,1
149,9.777778,-5.555555,8.777778,-2.009108,1
123,3.222222,-7.111111,7.333334,-0.988413,1
96,18.11111,-15.222222,27.777779,-1.676921,1
116,5.222222,-8.444445,8.333334,-1.19107,1
73,18.444445,-15.888889,26.777779,-1.675465,1
142,1.888889,-6.777778,6.333334,-0.776334,1
125,4.444445,-7.888889,7.777778,-1.121818,1
