@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,8,10,14,19-20'

@attribute Region-centroid-row numeric
@attribute Hedge-mean numeric
@attribute Intensity-mean numeric
@attribute Exred-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
237,1,5.777778,-4.666666,2.097231,7
210,4.444444,51.296295,-17.555555,-2.020895,6
140,0.333333,3.037037,-3.777778,-1.985769,5
236,2,12.518518,-8.888889,2.267197,7
246,5.833334,25.88889,-14.333333,2.214011,7
40,0.055556,1.259259,-0.111111,-1.570796,5
157,0.777778,18.333334,-13.333333,2.438615,7
140,1.5,26.444445,-9,-2.100487,4
146,0,0,0,0,3
107,0.833333,2.222222,-5.666666,-2.226355,3
85,1.777778,17.962963,2.777778,-1.386867,1
128,1.666666,53.25926,-20.777779,-2.091927,4
121,0.944444,41.037037,-10.777778,-1.995536,4
71,2.222221,105.666664,-27,-2.143159,2
192,7.444444,53.444443,-18.333334,-2.164195,6
119,2.555556,21.592592,-0.777778,-1.57896,1
35,0.888888,125.18519,-34.22222,-2.346636,2
220,1.444445,14.62963,-9.222222,2.306884,7
183,6.333334,32.25926,-8.444445,-1.970772,6
109,1.944444,17.25926,5.888889,-1.131204,1
123,1,19.296297,-10.888889,-2.115734,4
57,2.111111,26.296297,-4.888889,-1.739017,1
39,0.611111,9.518518,-6.555555,-2.036228,5
92,7,12.666667,-11.666667,-2.280561,3
95,2.222222,3.148148,-7.111111,-2.151958,3
182,2.277777,34.51852,-8.888889,-1.943038,6
183,3.388888,54.037037,-15.444445,-1.974959,6
226,1.611111,13.481482,-9.777778,2.303853,7
137,1.388889,1.666667,-3,-2.071242,5
111,2.055556,19.333334,-11.333333,-2.153719,5
85,1.777778,17.962963,2.777778,-1.386867,1
225,1.611111,16.185184,-5.222222,1.891015,7
144,0.722222,4.814815,3.555556,-0.969119,1
189,1.000001,17.296297,-8.222222,2.060443,7
49,1.222221,38.037037,-7.111111,-1.949745,4
188,1.999999,50.185184,-15.555555,-2.00738,6
162,13.944444,41.333332,-19,-2.494607,6
235,1.722222,10.888889,-10,2.316242,7
138,7.833334,12.185185,-11.888889,-2.172099,5
219,1.722222,13.37037,-7.444445,2.255333,7
189,2.444445,51.11111,-16,-2.008931,6
65,0.722221,97.333336,-43.666668,-2.239144,2
51,0.944443,108.74074,-40.555557,-2.383438,2
89,0.777778,2.296296,-6.555555,-2.123905,3
81,0.722221,59.444443,-22.666666,-2.09885,4
94,0.833333,21.444445,-13.666667,-2.100966,5
208,0.611111,16.185184,-10.222222,2.391996,7
113,6.166666,27.88889,-32.333332,-2.29665,3
89,6.166666,17,-12,-2.129746,5
134,0.777778,6.074074,4.111111,-0.966318,1
209,4.555556,48.77778,-17.333334,-2.06698,6
201,5.222221,53.703705,-19.777779,-2.075226,6
81,1.833333,42.925926,-10.444445,-1.970422,4
93,1.944444,86.296295,-46.88889,-2.231558,2
146,5.111111,43.148148,-18.777779,-2.081842,4
108,1.166667,1.851852,-3.888889,-2.463852,3
53,1.111109,113.14815,-26.444445,-2.117007,2
107,1.611111,17.185184,3.444444,-1.312499,1
133,0.5,6.666666,5,-0.924817,1
84,0.499999,23.25926,-13.777778,-2.184862,5
179,2.444445,49.185184,-12.888889,-1.970398,6
89,0.777778,2.296296,-6.555555,-2.123905,3
138,0.222222,1.222222,-2.333333,-1.949167,5
113,1.222222,28.333334,-12,-2.236251,5
82,0.777778,38.88889,-13,-2.028043,4
116,1.333333,33.185184,-12.222222,-2.068113,4
116,0.555555,6.62963,2.777778,-1.233945,1
21,1.333332,126.81481,-35.444443,-2.377814,2
65,26.444445,56.703705,-12.111111,-1.970812,4
123,1.833333,21.62963,-20.555555,-2.149759,4
180,3.111111,48.555557,-13.333333,-1.996042,6
138,5.5,16.518518,-19.88889,-2.439538,3
93,2.055555,62.851852,-24.222221,-2.083715,4
41,0.222222,0.703704,-0.444444,-1.84512,5
87,1.888889,2.925926,-5.111111,-2.229493,3
201,5.555555,40.296295,-13.555555,-2.175826,6
190,2.611111,53.592594,-18.777779,-2.052546,6
120,1.555555,47.851852,-9.222222,-1.910735,4
17,0.666667,130.2963,-28.555555,-2.339493,2
102,1.222222,51.666668,-13.666667,-1.99488,4
159,2.222222,26.11111,-2.666667,-1.802554,4
39,1.833333,113.37037,-32.444443,-2.198158,2
28,1.777779,111.59259,-45.444443,-2.438585,2
19,1.888888,110.296295,-37.88889,-2.264331,2
183,1.555555,43.185184,-8.888889,-1.887731,6
51,2.055553,124.40741,-33.555557,-2.30531,2
105,3.666666,4.148148,-7.444445,-2.205437,3
121,1.5,3.407408,-6.888889,-2.519165,3
215,4.722222,23.037037,-17.777779,2.561049,7
131,1.777778,1.407407,-1.888889,-2.051344,5
28,1.111112,111.51852,-46.22222,-2.425992,2
189,4.5,31.925926,-8.777778,-2.022227,6
65,1.555555,57.74074,-21.88889,-2.077647,4
86,3.055555,6.703704,-6.111111,-2.054475,5
46,1.111112,107.51852,-40.88889,-2.270851,2
192,4.333334,57.074074,-20.222221,-2.024748,6
90,1.111111,3.407408,-7.555555,-2.16608,3
193,2.888889,60.11111,-21,-2.047766,6
11,2.888891,143.44444,-19.666666,-2.521648,2
145,0.611111,3.925926,4.888889,-0.57094,1
105,4,26.74074,-12.555555,-2.192406,5
218,1.666666,8.444445,-9,2.361442,7
238,2.166667,13.259259,-10.777778,2.508226,7
107,1.111111,1.777778,-4.666666,-2.146531,3
238,1.055556,8.518518,-3.222222,1.844726,7
162,1.444444,25.11111,-16.333334,2.769038,7
103,0.666667,58.88889,-20,-2.071134,4
185,3.111111,49.037037,-15.111111,-2.006186,6
177,0.888889,16.25926,-11.111111,2.462118,7
77,4.444445,25.185184,-3.222222,-1.677308,1
109,0.277778,29.407408,-13.888889,-2.226161,5
143,0,0,0,0,5
99,1,2.037037,-5.777778,-2.149743,3
251,8,20.666666,2.333333,1.28706,7
109,1.000001,102.48148,-39.11111,-2.297546,2
189,5.833334,31.37037,-8.777778,-2.020345,6
150,0,0,0,0,5
189,1.166667,12,-7.666666,2.194143,7
20,0.833333,125,-33,-2.348006,2
93,1.055555,112.296295,-25.222221,-2.141419,2
106,2.222222,3.666667,-8,-2.255541,3
106,1.277778,2.185185,-5.555555,-2.274071,3
135,0.888889,5.518518,4.777778,-0.892179,1
183,2.277777,18.185184,-11.888889,2.428022,7
193,3.888889,16.185184,-8.555555,2.222103,7
36,1,135.2963,-20.222221,-2.247156,2
135,0.055556,0.481482,-1.444444,-2.094395,5
74,0.500001,101.85185,-38.22222,-2.220553,2
119,0.944446,39.851852,-10.888889,-2.006,4
107,1.777778,16.703703,6.222222,-1.131973,1
188,2.277777,49.703705,-15.111111,-1.984565,6
77,2.444445,24.481482,-3.111111,-1.68954,1
98,1.055556,28.777779,-11.666667,-2.04294,4
110,0.5,1.666667,-4.666666,-2.155984,3
122,1.333333,16.148148,-24.444445,-2.305989,3
187,2.666667,48.37037,-15.111111,-1.998547,6
60,2.888889,26.74074,-6.222222,-1.776113,1
148,0.055556,0.037037,-0.111111,-2.094395,5
25,1.111111,128,-30.666666,-2.354552,2
120,5.944445,6.962963,-10.888889,-2.240133,3
152,2.777777,25.037037,-16.11111,2.731134,7
154,1.722222,4.296296,-5.222222,-2.095813,5
211,1.666667,15.444445,-9,2.554965,7
106,2.111111,20,0,-1.55762,1
114,0.388889,27.185184,-12.555555,-2.196423,5
80,1.722224,111.07407,-24.555555,-2.098697,2
190,2.055556,46.88889,-14.666667,-2.025133,6
27,1.444445,137.51852,-14.888889,-2.146716,2
63,1.944444,22.37037,-6.111111,-1.813886,1
196,7.388889,63.51852,-22.555555,-2.070441,6
142,1.277778,4.592593,4.888889,-0.776334,1
96,1.111111,3.814815,-8.111111,-2.186234,3
197,4.944445,21.25926,-11.444445,2.243094,7
134,1.000001,44.703705,-22.777779,-2.175349,4
126,0.611111,5.407407,6.777778,-0.612886,1
80,2.777778,15.851851,-11.888889,-2.142269,5
136,1.166667,2.444444,-5.333334,-2.130339,5
69,1.833333,59.555557,-18.333334,-2.022861,4
138,0.333333,0.777778,-2.333333,-2.094395,3
189,1.444444,59.925926,-19.444445,-2.005956,6
122,0.833333,1.592593,-4.777778,-2.153599,3
133,0.222222,1.555556,-1.666667,-1.822563,5
145,0.5,4.074074,3.777778,-0.959485,1
131,0.333333,0.518518,-1.555556,-2.094395,3
111,2.555555,3.814815,0.888889,-1.43724,1
104,1.444444,57.333332,-13.666667,-1.985221,4
128,1.333334,35.592594,-10.444445,-1.981846,4
214,1.277778,6.814815,-5.444445,2.058329,7
158,1.888889,22.185184,-17.222221,2.624707,7
131,0.111111,0.222222,-0.666667,-2.094395,5
139,0.833333,6.111111,4.333334,-0.965946,1
140,1,6.333334,4.666666,-0.909267,1
90,0.555556,6.592593,-5.777778,-1.987466,5
43,0.833335,126.48148,-27.444445,-2.280207,2
113,0.277778,0.962963,-2.888889,-2.123254,3
82,2.111111,5.592593,-11.444445,-2.451983,3
56,1.333333,22.74074,-4.888889,-1.759414,1
18,0.944445,138.62962,-15.888889,-2.214612,2
93,1.055556,14.407408,-13.555555,-2.137493,5
184,5.833333,48.25926,-13.111111,-1.986776,6
185,1.944444,57.074074,-20.88889,-2.088855,6
148,1.055555,29.074074,-22.88889,-2.237972,4
176,5.055555,52.925926,-19.777779,-2.051636,6
189,3.166667,49.666668,-13.666667,-1.973221,6
138,0.722222,5.185185,-9.555555,-2.406809,3
23,1.166665,123,-36,-2.356262,2
143,0.444444,0.666667,-1.333333,-1.986938,5
215,1.611111,17.185184,-8.555555,2.105197,7
118,1.055556,5.62963,4.111111,-0.960827,1
133,0,0,0,0,3
145,0.722222,5.296296,3.111111,-1.068968,1
124,0.611111,5.111111,5.333334,-0.752669,1
107,1.055555,133.66667,-23.666666,-2.317384,2
104,4,21.925926,-4.111111,-1.72879,1
138,0.944444,1.148148,-3.111111,-2.219242,3
96,0.944445,90.81481,-44.444443,-2.219979,2
104,1.000001,55.74074,-20.555555,-2.08549,4
246,2.722222,22.814816,-11.777778,2.158915,7
207,3.111112,52.11111,-18.333334,-2.063353,6
15,0.777774,140.77777,-19.333334,-2.328472,2
176,1.5,49.74074,-13.555555,-1.965703,6
194,2.277778,20.185184,-10.888889,2.224382,7
116,0.333333,5.62963,3.444444,-1.099624,1
28,0.833333,62.407406,-26.88889,-2.144507,4
195,3.833334,47.925926,-16.11111,-2.056734,6
199,1.277778,14.518518,-10.222222,2.634176,7
221,1.444444,14.074074,-10.222222,2.317212,7
134,0.722222,5.888889,5.333334,-0.806042,1
154,2.611111,1.851852,-0.888889,-1.905927,5
236,3.777777,16.592592,-11.111111,2.306678,7
33,0.611109,109.888885,-39.333332,-2.266225,2
34,0.444445,13.740741,-11.888889,-2.162872,5
66,9.222221,42.592594,-4.777778,-1.83808,4
32,0.833332,112.03704,-38.444443,-2.255674,2
156,2,18.25926,-14.444445,2.47582,7
126,1.833334,20.555555,-13.333333,-2.158805,4
95,0.388889,20.185184,-13.888889,-2.146185,5
133,0.222222,0.740741,-2.222222,-2.094395,3
33,0.277778,35.814816,-13.444445,-2.030428,4
47,0.999997,134.77777,-22,-2.30244,2
101,1.111111,45.037037,-18.11111,-2.094303,4
125,0.444444,18.222221,-10,-2.104083,4
119,1.055555,45.62963,-14.888889,-2.064038,4
110,2.111111,29.296297,-18.88889,-2.182018,5
106,0.833333,2.407408,-5.888889,-2.133095,3
189,4.444445,61.407406,-19.222221,-2.035894,6
116,0.222222,5.407407,3.444444,-1.093148,1
98,1.333333,2.037037,-4.444445,-2.548898,3
93,2.111111,20.37037,-4.444445,-1.730306,1
24,0.888888,127.62963,-29.88889,-2.349252,2
133,0.388889,0.962963,-2.888889,-2.123254,3
