@relation segment

@attribute Region-centroid-row numeric
@attribute Region-pixel-count numeric
@attribute Rawblue-mean numeric
@attribute Saturatoin-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
118,9,8.111112,0.56433,1
60,9,35.22222,0.4223,1
136,9,7.222222,0.529541,1
89,9,28.444445,0.403687,1
129,9,7.333334,0.540123,1
132,9,6.111111,0.593254,1
45,9,28.777779,0.428167,1
67,9,25.88889,0.436939,1
128,9,6.666666,0.561508,1
56,9,30.222221,0.440708,1
145,9,6.555555,0.564153,1
110,9,21.444445,0.368848,1
137,9,6.444445,0.573633,1
138,9,6.555555,0.543871,1
93,9,26.777779,0.419233,1
114,9,20.11111,0.393691,1
124,9,7.111111,0.545855,1
55,9,31.11111,0.43507,1
143,9,6.222222,0.556437,1
122,9,7.333334,0.551808,1
77,9,34.444447,0.413217,1
56,9,31.333334,0.43596,1
143,9,5.888889,0.595238,1
90,9,22.11111,0.38846,1
133,9,7.777778,0.53858,1
107,9,19.444445,0.399311,1
114,9,7.444445,0.56746,1
110,9,21.444445,0.368848,1
117,9,7.555555,0.543651,1
129,9,7.444445,0.541887,1
135,9,5.444445,0.613757,1
121,9,30.11111,0.415524,1
138,9,6.333334,0.56746,1
111,9,7.666666,0.562919,1
100,9,26,0.401042,1
75,9,34.77778,0.429663,1
142,9,5.222222,0.646164,1
85,9,21.88889,0.399751,1
80,9,34.444447,0.432471,1
53,9,38.333336,0.474773,1
87,9,21,0.391731,1
116,9,27.555555,0.407364,1
114,9,24.666666,0.394964,1
118,9,6.222222,0.617063,1
95,9,26.222221,0.388363,1
71,9,28.555555,0.416299,1
128,9,6.666666,0.561508,1
77,9,31.555555,0.415737,1
139,9,7.222222,0.532628,1
138,9,6.555555,0.543871,1
123,9,5.333334,0.61164,1
139,9,6.444445,0.566799,1
134,9,6.222222,0.587302,1
67,9,35.88889,0.429308,1
113,9,6.666666,0.566138,1
55,9,26.666666,0.404791,1
104,9,28.666666,0.421395,1
103,9,22.777779,0.388385,1
144,9,5.777778,0.574603,1
92,9,29.777779,0.422223,1
57,9,34.444447,0.425691,1
83,9,24.444445,0.410073,1
59,9,28.777779,0.445142,1
98,9,20.777779,0.356724,1
102,9,29.777779,0.417763,1
111,9,7,0.59127,1
122,9,7.222222,0.520062,1
149,9,8.777778,0.588163,1
142,9,5.777778,0.574735,1
124,9,5.666666,0.595899,1
96,9,27.333334,0.406451,1
