@relation segment

@attribute Region-centroid-row numeric
@attribute Vegde-sd numeric
@attribute Rawred-mean numeric
@attribute Rawgreen-mean numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
111,0.151852,7,3,4,-8,1
116,1.633333,21.222221,16.333334,-1.444444,-16.11111,1
116,0.285185,21.333334,16.88889,-2.333333,-15.666667,1
122,0.133333,7.222222,3.444444,3.666667,-7.666666,1
104,3.629631,19.222221,13.666667,1.555556,-15.111111,1
89,0.385185,21.666666,16.88889,-2,-16.333334,1
62,2.118518,23.777779,20.666668,-10.777778,-20.11111,1
92,2.977778,21.777779,17.11111,-3.333333,-17.333334,1
128,0.340741,7.888889,3.444444,5.888889,-7.444445,1
113,1.52963,20,15.333333,-0.777778,-14.777778,1
95,3.733334,21.11111,16,0,-15.333333,1
80,4.162963,24,19.555555,-6,-19.333334,1
116,0.151852,17,11.555555,2.444444,-13.888889,1
117,0.255556,21.11111,16.222223,-0.333333,-15,1
130,0.507407,7.333334,3.333333,4.444445,-7.555555,1
103,0.32963,19.222221,13.222222,2.666667,-15.333333,1
88,0.477778,21.333334,16.666668,-2.444444,-16.444445,1
133,0.266667,8.333334,3.888889,5,-8.333333,1
64,1.362962,17.555555,14,-4,-14.666667,1
126,0.374074,7.666666,3.777778,3.555556,-8.111111,1
92,0.562964,23.11111,17.555555,-1.666667,-18.333334,1
124,0.107407,7.444445,3.333333,4.333334,-8,1
83,4.918518,19.11111,13.888889,1.111111,-14.555555,1
73,1.085185,19.777779,15.333333,-2.555556,-15.888889,1
118,0.177778,6.222222,2.555556,3.666667,-7.333334,1
106,0.596296,22,17.222223,-3.111111,-17.444445,1
149,0.785185,4.111111,3.666667,-4.222222,-5.555555,1
55,3.674073,21.666666,17.555555,-5.333334,-17.666666,1
67,0.88889,19.555555,14.555555,-1.333333,-16.333334,1
123,0.240741,8.222222,4,4.444445,-8.222222,1
124,0.166667,7.444445,3.333333,4.222222,-8.111111,1
136,0.418519,7.777778,3.777778,4.555555,-7.444445,1
103,1.52963,20.222221,13.888889,3.777778,-15.222222,1
96,1.007407,20.777779,16.666668,-2.888889,-15.222222,1
67,1.396297,25.11111,20.444445,-6.111111,-20.11111,1
113,1.52963,20,15.333333,-0.777778,-14.777778,1
130,0.240741,7.444445,3.222222,5,-7.666666,1
111,0.374074,7,3.444444,2.888889,-7.777778,1
126,0.062963,7.444445,3.111111,5,-8,1
120,0.844445,22.11111,18.444445,-4.666666,-15.666667,1
57,3.411111,24.666666,19.777779,-4.888889,-19.555555,1
100,0.107408,21.666666,15.555555,1.777778,-16.555555,1
147,0.42963,5.666666,3.222222,-1.111111,-8.444445,1
89,1.485185,23.11111,18.11111,-2.333333,-17.333334,1
124,0.151852,7.666666,3.555556,4.444445,-7.888889,1
59,0.774073,22.333334,18.555555,-8.222222,-19.555555,1
124,0.162963,6.666666,2.666667,4.666666,-7.333334,1
115,1.822221,21.333334,16.777779,-2.111111,-15.777778,1
124,0.02963,7.555555,3.666667,4,-7.666666,1
100,1.362964,20.88889,15.444445,0.777778,-15.555555,1
110,5.351851,18.88889,13.444445,2.888889,-13.444445,1
91,2.177777,19.777779,14.888889,0.111111,-14.555555,1
138,0.122222,6.777778,2.666667,5.444445,-6.888889,1
128,0.3,7.333334,3.333333,4.111111,-7.888889,1
85,8.207409,20.444445,15.777778,-3,-17,1
114,1.129629,20,14.888889,0.444444,-14.888889,1
88,1.885185,21.444445,15.666667,0.888889,-16.444445,1
74,0.577777,21,15.555555,-0.444444,-16.777779,1
70,0.72963,23,17.88889,-2,-17.333334,1
60,0.3,19.333334,14.666667,-1.777778,-15.777778,1
138,0.562963,7.333334,3.333333,4.777778,-7.222222,1
108,0.433333,19,12.444445,5.666666,-14,1
118,0.151852,7.666666,3.555556,4.777778,-7.555555,1
