@relation segment

@attribute Region-centroid-row numeric
@attribute Hedge-mean numeric
@attribute Rawgreen-mean numeric
@attribute Exred-mean numeric
@attribute Exblue-mean numeric
@attribute Value-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
135,1.055556,3.222222,5.222222,2.222222,7.444445,-0.787376,1
111,1.055556,3.222222,3.555556,3.888889,7.333334,-1.065066,1
74,1.388889,15.555555,-0.444444,17.222221,26.88889,-1.554234,1
121,0.611111,3.777778,4.777778,3.111111,8,-0.914324,1
68,2.388889,12.444445,-0.111111,15.888889,23,-1.563972,1
81,2.722222,15.222222,-1.111111,16.88889,26.11111,-1.566335,1
124,1,4.222222,3.444444,5.111111,9,-1.157082,1
64,2.388889,16.555555,-1.444444,19.222221,28.88889,-1.625668,1
89,1.666667,18.11111,-2.333333,19.666666,30.444445,-1.664008,1
116,0.333333,3.111111,3.444444,4.111111,7.333334,-1.099624,1
122,0.555556,3.222222,4.111111,3.111111,7.222222,-0.964797,1
113,0.444444,3,4.111111,3.444444,6.888889,-0.989308,1
81,1.833333,14.555555,1.444444,14.444445,24.666666,-1.472378,1
116,0.888889,16.88889,-2.333333,18,28.11111,-1.670314,1
129,1.111111,3.777778,4.777778,3.111111,8.222222,-0.912766,1
117,0.388889,3.888889,4,3.333333,8,-0.983947,1
116,0.444445,3.666667,3.222222,5.222222,8.333334,-1.19107,1
123,0.666667,4,4.444445,3.777778,8.444445,-0.985729,1
78,2,18.555555,-1.777778,19.88889,31.222221,-1.610448,1
112,0.555555,3.444444,3.555556,3.888889,7.555555,-1.058277,1
118,1.055556,3.222222,4.111111,3.111111,7.111111,-0.960827,1
108,0.944444,16.555555,-2.777778,18.88889,28.222221,-1.683529,1
95,0.944444,16.222223,-0.222222,15.777778,26.666666,-1.567327,1
111,0.611111,3,4.444445,2.777778,6.888889,-0.897859,1
115,0.333333,3.888889,4.666666,3.666667,8.444445,-0.965144,1
84,1.611111,18,-0.888889,18.444445,30,-1.598867,1
126,0.555556,2.555556,4.555555,2.555556,6.555555,-0.877707,1
130,0.388889,2.888889,4.666666,2.666667,7,-0.889024,1
146,0.666667,2.888889,1.666667,5,6.888889,-1.258358,1
113,2.944444,15.333333,-0.777778,15.555555,25.444445,-1.585609,1
60,2.888889,20.333334,-6.222222,25.444445,35.22222,-1.776113,1
40,1.111112,12.555555,-4.555555,18.444445,23.333334,-1.783602,1
75,0.722222,15.777778,-0.666667,17.333334,27.11111,-1.590164,1
57,1.944445,20.222221,-8.444445,28.222221,36.22222,-1.837675,1
118,0.722222,3.555556,4.777778,2.777778,7.666666,-0.87829,1
139,0.777778,3,3.666667,3.333333,6.888889,-1.004936,1
115,2.222223,12.222222,-2.666667,15.666667,21.88889,-1.54801,1
44,2.38889,13.666667,-4.222222,19.444445,25.222221,-1.753726,1
75,1.5,16.88889,-2.222222,19.777779,29.333334,-1.641882,1
68,1.777778,15.888889,-3.444444,20.555555,28.444445,-1.700324,1
92,2,14.555555,2.555556,11.888889,23.333334,-1.408242,1
96,2.833333,16.666668,-2.888889,18.11111,27.777779,-1.676921,1
55,1.277778,15.888889,-1.444444,16.88889,26.666666,-1.634416,1
140,1,3.777778,4.666666,3,8.222222,-0.909267,1
115,4.166667,16.777779,-2.111111,17.88889,28,-1.619549,1
103,2.277778,11.666667,4.555555,8.888889,19.444445,-1.219211,1
122,0.333333,3,4.333334,3.333333,7.222222,-0.953435,1
149,1.055556,5.111111,-5.888889,13.111111,11.888889,-2.018631,1
84,1.611111,18,-0.888889,18.444445,30,-1.598867,1
41,1.666667,16.88889,-5.111111,21.88889,29.777779,-1.77166,1
102,1.333333,15.444445,0.222222,14.222222,25,-1.555097,1
121,2,17.555555,-4.333334,21,30.11111,-1.740736,1
96,2.777778,16.222223,0.666667,16.333334,27.333334,-1.530686,1
142,0.944444,2.777778,4.555555,2.222222,6.555555,-0.829712,1
86,1.222222,20.222221,-6.777778,25.555555,35,-1.804829,1
138,0.833333,3.333333,4.777778,2.444444,7.333334,-0.862108,1
113,0.722222,3,4.888889,2.555556,7.111111,-0.851202,1
130,0.833333,4.666667,3.777778,4.111111,9,-1.056659,1
106,0.722222,14.111111,1.333333,13.666667,23.666666,-1.48458,1
145,0.611111,2.222222,4.888889,0.222222,5.555555,-0.57094,1
119,2.555556,16.11111,-0.777778,17.222221,27.333334,-1.57896,1
61,3.111111,14,-0.888889,15.777778,24.222221,-1.591206,1
147,0.722222,3.222222,-1.111111,9.555555,9.555555,-1.50837,1
117,1,3.777778,2.666667,5.333334,8.222222,-1.233256,1
118,0.555556,3.222222,3.222222,3.555556,7.111111,-1.053347,1
138,0.444444,3,4.666666,2.666667,7,-0.880521,1
114,1.944444,14.888889,0.444444,14.444445,24.666666,-1.508658,1
69,1.88889,19.11111,-6.666666,26.333334,34.444447,-1.79139,1
136,1,3.777778,4.555555,2.888889,8,-0.924607,1
92,2.333333,17.555555,-1.666667,20,30.333334,-1.637777,1
131,1.333333,3,4.666666,2.333333,7.222222,-0.850783,1
87,2.722222,12.777778,2.666667,11,21.11111,-1.318373,1
131,0.777778,2.888889,4.444445,2.444444,6.666666,-0.874641,1
116,1.555556,16.333334,-1.444444,17.555555,27.555555,-1.632243,1
142,1.5,2.333334,6.333334,0.666667,6.777778,-0.604864,1
70,1.722222,19.666668,-4.777778,23.88889,34,-1.74518,1
122,0.5,3.444444,3.666667,4,7.666666,-1.05144,1
63,1.944444,17.11111,-6.111111,21.88889,29.666666,-1.813886,1
145,0.611111,2.222222,4.888889,0.222222,5.555555,-0.57094,1
104,1.5,13.666667,1.555556,13.555555,23.222221,-1.446641,1
93,2.111111,15.444445,-4.444445,19.222221,26.777779,-1.730306,1
95,0.944444,16.222223,-0.222222,15.777778,26.666666,-1.567327,1
83,3.611111,13.888889,1.111111,13.444445,23.333334,-1.456819,1
122,0.777778,3.333333,4.444445,3.111111,7.444445,-0.942559,1
109,1.333334,13.111111,4.333334,9.666667,21,-1.276562,1
124,0.611111,2.777778,5.333334,1.666667,6.888889,-0.752669,1
108,1.611111,12.444445,5.666666,8.333333,20,-1.169517,1
114,0.666667,3.111111,3.888889,2.555556,6.666666,-0.91061,1
67,2.111111,20.444445,-6.111111,26.222221,35.88889,-1.768356,1
118,3.444444,17.666668,-3.555556,18.777779,29,-1.707392,1
53,2.833333,20.11111,-12.888889,33.77778,38.333336,-1.937482,1
128,0.388889,2.777778,5.555555,1.222222,6.888889,-0.688601,1
141,0.777778,3,4.777778,2.444444,7,-0.843732,1
149,0.722222,3.555556,-4,9.666667,8.666667,-1.985703,1
118,2.277778,15.777778,-2.666667,18.666666,27.333334,-1.620749,1
94,3.666667,15.666667,-1.666667,18.333334,27.333334,-1.627145,1
111,0.611111,3,4.444445,2.777778,6.888889,-0.897859,1
147,0.5,1.888889,-0.777778,7.555555,7,-1.475643,1
63,2.111111,15.333333,-3.777778,20.555555,27.777779,-1.72683,1
72,1.666666,19.444445,-7.333334,27.666666,35.444447,-1.807866,1
98,1.055555,13.333333,2.555556,9.888889,20.777779,-1.360437,1
62,3.388889,20.666668,-10.777778,30.88889,37.666668,-1.888408,1
101,1.722222,14.888889,0.777778,14.777778,25,-1.520125,1
115,0.777778,3.666667,3.111111,4.777778,8,-1.175454,1
89,3.666667,16.88889,-2,18.333334,28.444445,-1.625587,1
116,0.444445,3.666667,3.222222,5.222222,8.333334,-1.19107,1
124,0.833333,3.666667,4,3.666667,8,-1.011484,1
113,0.777778,3,4.555555,3.222222,7.111111,-0.942558,1
111,1.333333,13.888889,3.444444,10.777778,22.222221,-1.333792,1
110,2.666667,13.444445,2.888889,10.555555,21.444445,-1.345096,1
103,1.888889,13.888889,3.777778,11.444445,22.777779,-1.334127,1
