@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,13-15,19-20'

@attribute Region-centroid-row numeric
@attribute Rawgreen-mean numeric
@attribute Exred-mean numeric
@attribute Exblue-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
197,43,-16.11111,35.88889,-2.022274,6
120,42.444443,-9.222222,25.444445,-1.910735,4
97,43.555557,-5.888889,19.11111,-1.840735,4
152,0.666667,-1.555556,4.111111,-1.933239,5
89,16.88889,-2,18.333334,-1.625587,1
124,1.222222,-6.888889,10.777778,-2.267462,3
238,13.888889,-7.777778,-7.111111,2.126063,7
157,19.222221,-14.777778,26.555555,-2.169368,4
75,16.88889,-2.222222,19.777779,-1.641882,1
15,137.44444,-19.222221,27.777779,-2.330563,2
125,39.444443,-5.111111,16.88889,-1.840579,4
108,46.555557,-24.11111,33.88889,-2.360491,3
61,4.333334,-7.222222,15.444445,-2.048717,5
163,37.444443,-16.333334,24,-2.51749,6
154,0,0,0,0,5
172,37.77778,-13,26.666666,-2.126558,6
13,139.44444,-14.111111,21.222221,-2.276767,2
125,2.444444,-7.111111,11.555555,-2.234241,3
193,54,-23.222221,45.444443,-2.109375,6
25,61.666668,-29.333334,55.666668,-2.13042,4
131,0,0,0,0,5
187,19.222221,-6.222222,-10.222222,1.941465,7
191,22.444445,-5.222222,13.777778,-1.858264,6
87,56,-24.777779,48.88889,-2.105073,4
94,15.888889,-12.666667,25.666666,-2.084893,5
151,0,-0.333333,0.666667,-2.094395,5
142,2.666667,-6.555555,10.111111,-2.280603,3
44,13.666667,-4.222222,19.444445,-1.753726,1
20,107.111115,-39.77778,53.555557,-2.385213,2
167,13.777778,-7.222222,8.111111,-3.015081,7
134,1.333333,-5.555555,10.444445,-2.133095,5
113,3,4.111111,3.444444,-0.989308,1
68,20.444445,-8.888889,29.11111,-1.848523,1
126,3.111111,5,3,-0.895807,1
212,11.333333,-6.111111,-3.777778,2.242649,7
95,16.222223,-0.222222,15.777778,-1.567327,1
240,18.555555,-9.777778,-3.444444,2.392487,7
101,131.11111,-25.444445,36.88889,-2.328735,2
114,0.777778,-5.222222,8.444445,-2.222661,3
177,42.333336,-13.333333,34.666668,-1.942662,6
120,3.333333,5.444445,2.444444,-0.820403,1
223,22.88889,-9.888889,-9.222222,2.119546,7
113,3.444444,3.222222,4.888889,-1.175454,1
67,117.888885,-31.666666,46.666668,-2.317188,2
83,80.44444,-48.22222,78.77778,-2.239053,2
181,21.444445,-8.222222,-7.222222,2.141428,7
56,121.44444,-30.333334,44,-2.326783,2
58,119,-31.333334,43.333332,-2.365385,2
242,30.555555,-14.555555,-4.888889,2.395778,7
140,18.88889,-15.333333,27.666666,-2.167262,4
131,0,0,0,0,5
61,4.333334,-7.222222,15.444445,-2.048717,5
124,35.555557,-15.444445,31.555555,-2.076967,4
141,7,-11.555555,20.11111,-2.191662,5
106,14.111111,1.333333,13.666667,-1.48458,1
29,123.22222,-27.666666,43.333332,-2.271128,2
107,24.88889,-7,20,-1.877159,4
186,44.333332,-13.222222,30.444445,-2.028812,6
144,0.111111,-1,2,-2.094395,5
123,0.444444,-2.888889,4.777778,-2.16921,3
117,0,0,0,0,3
18,120.888885,-34.88889,49.11111,-2.352184,2
47,121.44444,-31.11111,45.88889,-2.315792,2
26,133.11111,-17.666666,29,-2.230725,2
215,30.666666,-17.11111,-3.444444,2.471757,7
125,3.444444,4.111111,3.111111,-0.944272,1
58,15.444445,-2.777778,19.222221,-1.685074,1
47,131.88889,-20.222221,31.777779,-2.262555,2
125,1,-4,6.333334,-2.237562,3
192,50.555557,-19,41.666668,-2.034048,6
120,0.333333,-4.222222,7.777778,-2.133095,3
103,0.666667,-6.111111,10.555555,-2.185466,3
179,31,-12.444445,25.88889,-2.0752,6
92,17.555555,-1.666667,20,-1.637777,1
115,15.111111,1.888889,12.555555,-1.440963,1
240,17.333334,-7.111111,-8.444445,2.043865,7
89,2.666667,-0.666667,2,-1.890484,5
197,47.666668,-19,42.333332,-2.024321,6
38,119.55556,-34.555557,50.444443,-2.322923,2
141,0.888889,-4.333334,6.333334,-2.285991,3
142,0,0,0,0,5
179,16.222223,-6.111111,-7.111111,2.04457,7
211,20.666668,-7.777778,-5.111111,2.239034,7
199,23.222221,-8.222222,-7.555555,2.129513,7
92,80.66667,-46.333332,75.333336,-2.242802,2
165,22.666666,-13.333333,-2.666667,2.471197,7
99,11.444445,-12.777778,24.88889,-2.112503,5
36,4.777778,-8.222222,16.444445,-2.097293,5
73,42.11111,-1.888889,14.444445,-1.681589,4
91,4.222222,-11.444445,17.555555,-2.282744,3
188,26.555555,-9.444445,21.555555,-2.014509,6
124,1.666667,-4.666666,8.666667,-2.118937,3
128,0,-2.222222,4.444445,-2.094395,3
185,42.444443,-15.111111,34.88889,-2.006186,6
68,35.11111,-0.777778,11.222222,-1.624846,4
143,3,5.666666,2.333333,-0.796918,1
115,16.777779,-2.111111,17.88889,-1.619549,1
88,1.555556,-7.888889,13.111111,-2.216544,3
162,29.88889,-14.888889,-1.222222,2.557389,7
57,58.22222,-18.777779,41.22222,-2.030703,4
103,11.666667,4.555555,8.888889,-1.219211,1
60,14.666667,-1.777778,17.555555,-1.650048,1
250,13.777778,-8,-5.666666,2.192935,7
195,20.11111,-9.222222,-6.888889,2.193764,7
48,130.88889,-21.88889,33.77778,-2.278428,2
159,23.555555,-2.666667,10.333333,-1.802554,4
93,10.555555,-13.111111,25.88889,-2.102707,5
211,26.222221,-13.222222,-3.888889,2.416354,7
58,104.44444,-38.22222,52.11111,-2.375207,2
124,3.333333,4.222222,3.888889,-1.02473,1
207,49.88889,-19.11111,39.88889,-2.062724,6
246,8.555555,0.444444,2.111111,-1.190561,7
152,0.666667,-1.555556,4.111111,-1.933239,5
184,28.333334,-8.777778,18.88889,-2.215464,6
232,12.666667,-6.777778,-4.777778,2.201318,7
111,3,4.444445,2.777778,-0.897859,1
133,41.88889,-21.333334,41.666668,-2.111789,4
90,6.555555,-12.666667,20,-2.266389,3
58,82.66667,-47.444443,77.55556,-2.239301,2
81,80.888885,-44.88889,78.77778,-2.187399,2
61,16.11111,-4.222222,21.11111,-1.737293,1
68,12.444445,-0.111111,15.888889,-1.563972,1
26,107.44444,-41.666668,56,-2.38614,2
180,18.777779,-12.555555,-2.222222,2.487917,7
143,2.222222,-9.888889,15.777778,-2.257412,3
141,11.555555,-14.333333,17.666666,-2.451571,3
123,0.333333,-4.555555,8.111111,-2.164094,3
133,3.666667,4,4.333334,-1.077659,1
126,16.88889,-13.333333,24.333334,-2.158805,4
114,12.111111,-14.222222,26.444445,-2.141659,5
185,39.22222,-12.888889,30.11111,-2.004988,6
64,17.88889,-5.555555,22.777779,-1.756712,1
72,120.77778,-30.666666,45,-2.32084,2
188,43.77778,-14.888889,34.77778,-1.995072,6
237,18.333334,-9.111111,-3.444444,2.37843,7
75,35.11111,-11.777778,25.555555,-2.036435,4
101,39,-18.11111,36.22222,-2.094303,4
130,0,-1.555556,5.111111,-1.861154,5
185,17.555555,-4.222222,-9.555555,1.83885,7
48,116.77778,-30.444445,47.22222,-2.278604,2
111,15.111111,-0.444444,14.888889,-1.58144,1
38,108.55556,-39.11111,53.88889,-2.370002,2
138,3,4.666666,2.666667,-0.880521,1
101,13.888889,1.888889,13.555555,-1.457591,1
124,33.666668,-8.111111,22.88889,-1.907502,4
126,8.444445,-15.888889,21.11111,-2.449839,3
191,51.555557,-20.555555,45.11111,-2.03548,6
83,44,-11.333333,27.666666,-1.973615,4
185,43.88889,-14.333333,33.333332,-2.007175,6
235,18.222221,-9.222222,-0.222222,2.586018,7
203,15.444445,-7,-10,1.984785,7
118,3.555556,3.888889,4.222222,-1.076198,1
156,17,-12.666667,24.666666,-2.109365,4
83,21.555555,-10.555555,15.777778,-2.321343,3
82,12.111111,-10,19.333334,-2.102722,5
45,116.111115,-31.222221,47.444443,-2.292668,2
131,0,0,0,0,5
171,40,-14.333333,31.666666,-2.032929,6
112,51.88889,-20.777779,42.555557,-2.078463,4
13,140,-20.11111,24.88889,-2.449265,2
55,95.111115,-39.22222,63.11111,-2.251012,2
102,2.666667,-9.111111,13.222222,-2.316112,3
15,97.55556,-46.88889,73.77778,-2.266452,2
62,4.777778,-7.888889,16.444445,-2.066953,5
143,2.777778,4,4,-1.048222,1
188,26.555555,-9.888889,22.11111,-2.03822,6
174,48.22222,-20.222221,44.11111,-2.037351,6
100,50.22222,-16.777779,37.555557,-2.024061,4
124,0,-2,4,-2.094395,3
249,14.777778,-3.444444,-0.777778,2.563437,7
90,5.111111,-7.333334,7,-2.639389,3
186,41.666668,-14,34.333332,-1.973056,6
136,3.111111,-5.888889,11.111111,-2.123905,4
245,18.444445,-9.333333,-3.333333,2.395431,7
183,47.22222,-16.555555,39.11111,-1.991701,6
62,15.666667,-1.333333,18,-1.620398,1
201,25.11111,-13.444445,-4.444445,2.389747,7
130,1,-2.222222,4.444445,-2.094395,5
71,79.111115,-49.11111,79.22222,-2.249475,2
183,47.88889,-18.222221,41.77778,-2.005196,6
126,2.555556,4.555555,2.555556,-0.877707,1
109,3,-8.555555,12.444445,-2.283787,3
105,44,-13.555555,32.11111,-1.991964,4
112,19.333334,-12.777778,25.88889,-2.085248,5
191,43.11111,-13.555555,31.777779,-1.998993,6
134,0.666667,-3.333333,7.666666,-2.013143,5
197,55.666668,-21,43.666668,-2.06802,6
147,22.444445,-20,34.333332,-2.204575,4
115,11.333333,-12.222222,22.444445,-2.151625,5
132,30.444445,-17,31.333334,-2.146969,4
240,28.555555,-12.444445,-9.777778,2.175522,7
63,104.44444,-38.11111,51.555557,-2.382438,2
80,34.555557,-10.111111,25.555555,-1.962646,4
176,51.88889,-20.88889,46.11111,-2.030648,6
102,1.888889,-8.444445,12.888889,-2.275159,3
166,22.222221,-13.888889,-1.888889,2.515826,7
142,0.222222,-1.333333,2.333333,-2.159563,3
108,11.666667,-9.555555,18.11111,-2.127161,5
102,36.88889,-17.333334,35,-2.088579,4
88,6.444445,-12.666667,16.666666,-2.394493,3
223,20,-6.222222,-9.555555,1.966536,7
137,3.333333,5.777778,1.777778,-0.744272,1
190,42.444443,-14,33.333332,-1.986307,6
78,76.77778,-26.666666,35.333332,-2.411645,3
55,107.77778,-38,55.666668,-2.319697,2
129,55,-24.555555,46.77778,-2.126989,4
49,122.111115,-31.222221,47.11111,-2.297839,2
68,48.666668,-21.222221,44.11111,-2.069541,4
144,0,-3.444444,6.888889,-2.094395,3
176,44,-14.333333,34.666668,-1.98088,6
101,9.222222,-13.222222,16.11111,-2.44804,3
40,119.77778,-33.333332,49.333332,-2.313685,2
192,51.333332,-21,45.666668,-2.038177,6
134,41.77778,-21.11111,42.555557,-2.086914,4
149,0,-0.111111,0.222222,-2.094395,5
18,108.666664,-44.666668,55,-2.45498,2
79,11.444445,-10.888889,19.11111,-2.175843,5
136,0.222222,-3,5.666666,-2.110974,3
185,51.77778,-20.777779,42.88889,-2.073869,6
85,15.333333,-13.111111,23.88889,-2.160912,5
89,26.777779,-13.111111,27.88889,-2.046542,4
185,24.222221,-12,-4.666666,2.361827,7
90,12.333333,-14.333333,27.333334,-2.125976,5
136,4.111111,4.555555,3.555556,-0.963931,1
237,29.444445,-14,-7.666666,2.280289,7
139,2.888889,-6,13,-2.04457,5
189,53.88889,-21.88889,46.444443,-2.054084,6
137,0,-0.777778,1.555556,-2.094395,3
141,0,-0.555556,1.111111,-2.094395,5
174,49.88889,-22.222221,46.11111,-2.069045,6
72,51.22222,-23,46.333332,-2.090221,4
