@relation segment

@attribute Region-centroid-row numeric
@attribute Short-line-density-2 numeric
@attribute Vegde-sd numeric
@attribute Hedge-sd numeric
@attribute Intensity-mean numeric
@attribute Saturatoin-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
56,0,0.429629,1.277777,23.703703,0.43596,-1.748835,1
113,0,1.52963,1.529629,20.25926,0.396589,-1.585609,1
136,0,0.418519,0.444444,6.259259,0.529541,-0.924607,1
77,0.111111,1.851852,6.56296,25.185184,0.407623,-1.677308,1
55,0,3.674073,0.785185,23.444445,0.43507,-1.771163,1
115,0,0.151852,0.177778,6.777778,0.53858,-1.210357,1
94,0,0.8,2.888891,21.222221,0.427811,-1.627145,1
130,0,0.240741,0.577778,5.777778,0.575397,-0.871495,1
101,0,2.311111,0.607407,16.925926,0.376852,-1.21111,1
45,0,3.174073,1.44074,21.925926,0.428167,-1.73537,1
111,0,0.074074,0.151852,5.925926,0.581349,-0.872666,1
93,0,0.211111,9.140738,20.37037,0.419233,-1.730306,1
79,0,2.285185,0.518519,16.814816,0.422337,-1.453114,1
120,0,0.844445,4.029627,23.666666,0.394863,-1.76489,1
116,0,0.151852,0.074074,5.407407,0.580026,-1.093148,1
134,0,0.062963,0.062963,5.296296,0.587302,-0.912631,1
120,0,0.02963,0.118518,5.962963,0.569444,-0.820403,1
114,0,0.062963,0.074074,5.444445,0.603175,-1.314533,1
60,0,0.3,0.729629,19.925926,0.430484,-1.650048,1
112,0,0.418518,0.162963,5.925926,0.544092,-1.058277,1
64,0,1.362962,1.422222,18.88889,0.441092,-1.755505,1
124,0,0.107407,0.107407,6,0.571649,-0.987873,1
123,0,0.207407,0.122222,5.814815,0.573413,-0.837598,1
131,0,0.074074,0.207407,5.185185,0.566138,-0.874641,1
51,0,1.629631,0.888889,25.74074,0.446118,-1.873032,1
114,0,0.196296,0.533333,6.222222,0.537919,-1.0108,1
122,0,0.118518,0.118519,5.851852,0.549603,-0.942559,1
119,0,0.518519,5.585183,21.592592,0.408211,-1.57896,1
60,0,1.396297,1.366668,23.777779,0.420823,-1.713134,1
44,0,2.388888,1.529629,18.74074,0.457681,-1.753726,1
108,0,0.433333,1.174074,17.11111,0.378839,-1.169517,1
116,0,0.151852,0.207407,6.481482,0.559171,-1.19107,1
106,0,0.72963,1.174074,19.11111,0.403224,-1.48458,1
91,0,2.029629,1.277778,22.481482,0.420716,-1.630409,1
100,0,0.107408,1.140741,21.074074,0.401042,-1.477019,1
68,0,3.040739,1.218517,17.703703,0.462002,-1.563972,1
59,0,3.5,0.862963,21.814816,0.445142,-1.680812,1
140,0,0.251852,0.388889,6,0.513889,-0.91962,1
145,0,0.162963,0.062963,5.296296,0.564153,-1.068968,1
143,0,0.344444,0.311111,5.296296,0.556437,-0.914813,1
123,0,0.151852,0.062963,6.111111,0.555776,-0.761648,1
111,0,0.907407,0.818518,19.925926,0.391701,-1.58144,1
88,0,0.477778,2.385183,22.148148,0.413308,-1.653787,1
101,0,0.385185,1.885187,20.074074,0.404038,-1.520125,1
102,0,1.851851,3.262961,17.925926,0.390329,-1.447037,1
137,0,0.166667,0.474074,5.851852,0.573633,-0.744272,1
59,0,0.951851,1.485185,23.851852,0.415301,-1.699326,1
88,0,3.2,1.040741,20.592592,0.424904,-1.785147,1
86,0,1.274074,1.318518,26.481482,0.421495,-1.804829,1
123,0,2.474074,1.096297,6.962963,0.475,-1.18068,1
118,0,0.177778,0.074074,5,0.617063,-1.047198,1
145,0,0.151852,0.122222,4.074074,0.655556,-0.959485,1
80,0,4.162963,1.9,26,0.432471,-1.773594,1
