@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,13-14,16-18,20'

@attribute Region-centroid-row numeric
@attribute Rawgreen-mean numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Value-mean numeric
@attribute Saturatoin-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
229,21.222221,-10.888889,10.444445,21.222221,0.335717,7
120,0.888889,-4.777778,-2.111111,3.888889,1,3
62,102.77778,-28.555555,-22.222221,127.111115,0.208013,2
146,17.666668,-13.777778,-11.111111,29.666666,0.432786,4
92,8.111112,-13.555555,-11.888889,20.555555,0.632127,5
136,12.222222,-19.555555,-9.888889,25.333334,0.660813,3
13,128.44444,-29,-10,144.77777,0.156568,2
138,2.666667,5.444445,-6.888889,6.777778,0.603836,1
75,77.77778,-49.666668,-32.333332,115.888885,0.378682,2
68,97.333336,-32,-25.333334,124.888885,0.239143,2
100,0.777778,-3.333333,-1.333333,2.777778,0.977778,3
75,19.777779,-7.888889,-18.555555,34.77778,0.429663,1
173,48.88889,-20.666666,-23.666666,71.55556,0.318366,6
155,8.555555,-10.555555,-8.222222,17.555555,0.747294,5
184,43.555557,-14.111111,-21.11111,62.333332,0.300945,6
13,113.666664,-36.333332,-15,135.77779,0.215088,2
233,17,-11.111111,13.222222,17,0.478222,7
196,40.666668,-16.88889,-16.222221,57.11111,0.294045,6
140,0.444444,-0.777778,-1.777778,1.888889,0.814815,5
181,23.88889,-7.555555,12.777778,23.88889,0.285691,7
187,25.11111,-12,19.333334,25.11111,0.431215,7
236,14.333333,-4.888889,9.777778,14.333333,0.376554,7
186,41.88889,-14.111111,-20.777779,60.444443,0.307027,6
75,52.11111,-22.666666,-8.666667,65.44444,0.297802,3
111,3.444444,2.888889,-7.777778,7.888889,0.562919,1
81,37.11111,-26.444445,-14.444445,55.555557,0.420176,3
108,40.11111,-13.111111,-16.444445,55.444443,0.275986,4
147,43.11111,-18,-20,62.444443,0.309106,4
66,16.777779,-4.222222,-17.555555,29.88889,0.438246,1
57,61,-31.11111,-28.11111,90.111115,0.335387,4
54,104.888885,-37.22222,-15.222222,127.44444,0.234504,2
131,0.111111,-2,-4.333334,3.666667,0.972222,5
94,15.888889,-12.666667,-13,28.777779,0.451546,5
190,51.555557,-19.333334,-19.666666,71.111115,0.285916,6
85,83.44444,-43,-30.333334,118,0.328603,2
161,5,-4.777778,-6.444445,10.888889,0.540918,4
223,10.444445,-5.333334,11.333333,10.444445,0.59315,7
105,19.444445,-10.777778,-9.777778,29.555555,0.364499,5
52,121.55556,-30.666666,-12.666667,140.22223,0.175849,2
118,17.666668,-3.555556,-15.222222,29,0.390398,1
201,26.88889,-13.888889,16.777779,26.88889,0.381912,7
203,25.444445,-12.222222,17.777779,25.444445,0.393868,7
134,2.888889,4.444445,-7.222222,7,0.587302,1
71,121.44444,-31.222221,-13.555555,140.88889,0.179672,2
148,19,-11.888889,9.111111,19.444445,0.403708,7
89,51.333332,-23.777779,-22.777779,74.44444,0.317871,4
158,6.111111,-4.333334,-7,12.222222,0.503086,4
58,105.333336,-38.11111,-15.111111,128.11111,0.237567,2
193,45.666668,-15.555555,-18.222221,63,0.275266,6
65,53.666668,-20.88889,-20.88889,74.55556,0.287325,4
140,8.666667,-11.777778,-3.777778,15.111111,0.627944,3
44,13.666667,-4.222222,-15.222222,25.222221,0.457681,1
160,39.22222,-21.777779,-17.777779,58.333332,0.352126,6
152,0.777778,-1.111111,-1.777778,2.333334,0.537037,5
139,3.555556,4.333334,-7.666666,7.555555,0.532628,1
116,3.666667,3.222222,-8.444445,8.333334,0.559171,1
122,13,-17.88889,-9.555555,25.333334,0.584744,3
86,17.88889,-1.444444,-17.777779,30.222221,0.405541,1
89,14.222222,-12,-11.333333,25.777779,0.459093,5
116,25,-13.333333,-13.333333,38.333336,0.355756,4
249,27.555555,-9.222222,14.111111,27.555555,0.28661,7
80,21.88889,-18.88889,-5.222222,31.666666,0.514254,3
168,31.444445,-12.666667,19,31.444445,0.335386,7
135,62.22222,-18.777779,-23.11111,83.888885,0.258303,4
133,0.111111,-1.222222,-1.888889,1.777778,0.962963,5
152,0,0,0,0,0,5
61,17.88889,-3.222222,-17.555555,30.666666,0.415751,1
120,53.88889,-9.444445,-18.444445,69.333336,0.222808,4
44,90.55556,-42,-25.333334,121.44444,0.300019,2
30,107,-40.666668,-12.666667,129,0.24285,2
110,28.333334,-13.222222,-9.888889,39.333336,0.307444,5
76,79.111115,-46.555557,-32.88889,116.55556,0.360194,2
88,1.444444,-7,-4,6.444445,0.938492,3
222,16.11111,-5.444445,16.88889,16.11111,0.58766,7
148,0,0,0,0,0,5
31,133,-16.88889,-10.222222,145.44444,0.10071,2
91,14.888889,0.111111,-14.555555,24.555555,0.394157,1
233,33.444447,-14.777778,19.88889,33.444447,0.345755,7
136,9,-16.555555,-9.555555,20.88889,0.695755,3
36,108.888885,-39.77778,-15.444445,132.44444,0.239085,2
119,6.333334,-8.222222,-6.888889,13.666667,0.589565,5
194,52.77778,-22,-24,76.111115,0.309253,6
77,53.11111,-16,-19.333334,71.333336,0.255329,4
133,0,-0.888889,-0.888889,0.888889,0.888889,5
127,36,-8.222222,-14.222222,48.22222,0.248999,4
30,108.888885,-37.444443,-13.111111,130.11111,0.225384,2
62,121.111115,-27.222221,-12.888889,138.77779,0.161658,2
98,15.777778,0.333333,-15.333333,25.88889,0.389147,1
93,10.444445,-13.555555,-11.888889,22.88889,0.577002,5
192,52.555557,-22.11111,-24.777779,76.44444,0.31261,6
159,32.333336,-15.888889,-12.888889,46.22222,0.294845,6
124,0,-3.222222,-3.222222,3.222222,1,3
62,121.55556,-26.777779,-14.777778,140.33334,0.162225,2
210,17.444445,-10.555555,13.444445,17.444445,0.460437,7
130,0,-2.333333,-2.333333,2.333334,1,3
124,3.333333,4.222222,-8.111111,7.666666,0.563492,1
65,120,-31,-17,141.66667,0.185658,2
93,3.666667,-9,-4,9.333334,0.80862,3
226,24.222221,-12,18.666666,24.222221,0.424404,7
98,82.77778,-45,-28.666666,116.888885,0.338288,2
195,42.555557,-16.666666,-17.333334,59.666668,0.290585,6
127,39,-17.444445,-18.777779,57.333332,0.317325,4
111,2.888889,3,-7.666666,7.222222,0.60119,1
54,18.444445,-5.444445,-18.444445,32.555557,0.432167,1
131,0,0,0,0,0,3
181,24,-11.555555,14.111111,24,0.357668,7
90,58.11111,-22.555555,-21.222221,79.77778,0.278345,4
98,29.88889,-8.888889,-12.222222,41,0.265698,4
248,32.333336,-11,16.333334,32.333336,0.291675,7
137,1.444444,-4.666666,-5,6.333334,0.772487,5
220,11.555555,-4.888889,10.111111,11.555555,0.486717,7
218,19.11111,-9.111111,12.555555,19.11111,0.386456,7
190,44.11111,-16.666666,-19,62.333332,0.292125,6
113,15.333333,-0.777778,-14.777778,25.444445,0.396589,1
21,35.77778,-10.888889,-14.888889,49.333332,0.274519,4
95,41.333336,-11.888889,-16.555555,56.333332,0.264571,4
131,3,4.666666,-7,7.222222,0.592813,1
126,50.666668,-16.444445,-21.444445,70.44444,0.280738,4
186,30.777779,-12.222222,-13.555555,43.88889,0.302286,6
187,41.555557,-13.222222,-20.88889,59.88889,0.305755,6
115,12.222222,-2.666667,-13,21.88889,0.425538,1
110,0.444444,-5.111111,-4.111111,4.888889,0.984127,3
110,4,-7.555555,0.111111,6.444445,0.806658,3
58,117.55556,-35.444443,-14.111111,138.77779,0.204147,2
