@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,8,13-15,17,19-20'

@attribute Region-centroid-row numeric
@attribute Hedge-mean numeric
@attribute Rawgreen-mean numeric
@attribute Exred-mean numeric
@attribute Exblue-mean numeric
@attribute Value-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
220,2.277778,8.333334,-2.333333,-3.333333,8.333334,1.984366,7
28,0.888887,108.333336,-40.555557,54.444443,131.11111,-2.387884,2
58,0.444445,5.333334,-8.333333,17.333334,14.111111,-2.068564,5
125,0.888889,0.333333,-3.444444,5.888889,3.111111,-2.175647,3
85,2.277778,6.111111,-13.888889,20.11111,14.888889,-2.329093,3
209,1.388889,16.88889,-6.555555,-6.555555,16.88889,2.09922,7
107,4.722223,44.88889,-10.777778,25.555555,58.333332,-1.991445,4
58,0.444445,5.333334,-8.333333,17.333334,14.111111,-2.068564,5
88,1.722222,15.666667,0.888889,15.555555,26.333334,-1.512555,1
120,3.222222,18.444445,-4.666666,20.333334,30.444445,-1.76489,1
130,1.055556,3.333333,4.444445,3.111111,7.666666,-0.963048,1
84,0.888889,7.555555,-4.666666,8.666667,11.777778,-2.13694,4
210,5.722222,42.77778,-16.555555,37.444443,62.22222,-2.014434,6
72,1.777778,20.11111,-8.777778,27.88889,35.77778,-1.846158,1
13,1.333333,126.111115,-32.22222,45.11111,145.44444,-2.355244,2
143,0.444445,2.666667,4.555555,2.555556,6.666666,-0.907416,1
42,4.333334,40,-15,28.666666,54.11111,-2.120131,4
125,9.944444,37.555557,-11.111111,26.88889,51.77778,-1.973025,4
229,3.444445,18.333334,-7.888889,-3.222222,18.333334,2.350437,7
154,0.444444,0,-1.444444,3.555556,1.888889,-2.01751,5
107,3.944445,6.666666,-11.444445,17.555555,14.555555,-2.280146,3
189,6.222223,25.666666,-8.222222,18.444445,35.22222,-2.049148,6
202,1.499999,52.88889,-20.444445,43.22222,74.888885,-2.060614,6
118,0.777778,2.555556,3.666667,3.666667,6.666666,-1.047198,1
36,0,0,0,0,0,0,5
232,1,18.11111,-5.111111,-11.111111,18.11111,1.875362,7
113,0.666667,26.11111,-13.333333,23,37,-2.199825,5
120,0.5,0.222222,-2.777778,5.555555,3,-2.057287,3
196,3.444445,43.88889,-16.666666,34.666668,61.444443,-2.063864,6
185,1.444445,14.333333,-7.888889,-2.888889,14.333333,2.36281,7
30,3,4.666667,-6.777778,13.888889,11.666667,-2.047276,5
46,1.05556,131.55556,-18.222221,30.11111,145.55556,-2.232616,2
182,2.111111,37.77778,-9.888889,27.11111,52.555557,-1.917349,6
109,1.222222,42.77778,-20.555555,40.444443,62.88889,-2.105478,4
114,1.166666,26.222221,-18.11111,30.88889,40.77778,-2.207158,5
70,4.111111,35.11111,-10.555555,25.11111,48.333332,-1.990412,4
227,3.166667,17.333334,-11.555555,1.444444,17.444445,2.707051,7
30,0.944444,108.44444,-40.88889,54.444443,131.11111,-2.395064,2
102,9.444444,12.777778,-12.777778,17.555555,20.222221,-2.378944,3
182,2.500002,39,-10,28,54.333332,-1.910677,6
76,1.833333,7.666666,-13.444445,15.222222,13.333333,-2.520215,3
138,0.444444,0.111111,-0.555556,1.111111,0.666667,-2.094395,3
25,1.555556,39.88889,-15.777778,30.555555,55,-2.11881,4
89,1.277779,99.666664,-38.88889,58.11111,125.44444,-2.306204,2
127,8.555555,36,-8.222222,22.444445,48.22222,-1.908348,4
114,3.888888,12.555555,5.333334,8.666667,20.555555,-1.176662,1
119,1.777778,15.888889,-25.11111,39.22222,33.666668,-2.268148,3
117,0.722222,13.777778,-7.666666,17.666666,23,-2.005139,5
27,0.999997,133,-17.88889,27.777779,145.55556,-2.264129,2
96,1.722222,59.88889,-18.11111,39.555557,80.22222,-2.036336,4
181,3.277777,28,-14.555555,-5.222222,28,2.378846,7
154,0.944444,6.333334,-8.444445,15.555555,13.888889,-2.066916,5
145,0,0,0,0,0,0,5
93,3.444444,5.222222,-10.666667,15.333333,11.888889,-2.332766,3
97,0.777777,15.666667,-12.777778,24.555555,27.777779,-2.121346,5
216,2.722223,20.555555,-10.888889,-5.555555,20.555555,2.284571,7
131,0.333333,3,6,0.666667,7.222222,-0.621222,1
105,31.222223,40.11111,-21.222221,29.444445,52.666668,-2.380238,3
181,4.166667,50.666668,-20.222221,45.444443,74.22222,-2.020865,6
181,1.833333,48.22222,-19,40.333332,68.77778,-2.053189,6
67,1.555556,17.555555,-2.555556,21.11111,30.777779,-1.670171,1
35,0.722221,132,-15.777778,29.222221,146.22223,-2.146845,2
104,2.833333,16.88889,-10.333333,19,26.11111,-2.150638,5
208,6.333334,48.333332,-22.222221,44.11111,70.333336,-2.094585,6
96,0.611112,103.22222,-24.444445,49.555557,128.11111,-2.085954,2
62,1.833333,15.777778,-1.888889,18.11111,27.222221,-1.650123,1
110,1.944444,2,0.333333,6.333334,6.333334,-1.539762,1
79,0.777779,102.77778,-41.555557,56.444443,126.55556,-2.377965,2
42,0.944444,122.333336,-30.11111,44.22222,141.77779,-2.31442,2
194,5.111111,36.333336,-12.111111,26.222221,49.77778,-2.045201,6
25,0.944447,111.333336,-37.77778,52.555557,133.77779,-2.360195,2
133,2.722222,1.888889,-4.444445,6.888889,5,-2.208419,5
183,4.055555,48.555557,-17.666666,41,70,-1.997577,6
130,1.222222,1.777778,-5.888889,7.777778,5,-2.366216,3
170,0.944444,30.88889,-16,-0.333333,30.88889,2.604013,7
162,14.944444,37.444443,-18,27,50.333332,-2.573635,6
25,0.388889,107.55556,-43.333332,57.333332,131.33334,-2.396894,2
175,2.833333,20.11111,-8.777778,-5.444445,20.11111,2.242196,7
162,14.055556,37,-16.88889,26.777779,49.22222,-2.341198,6
112,1.555556,3.111111,-8.111111,10.222222,7.222222,-2.435718,3
85,2.500001,15.444445,-1,18,27.11111,-1.603957,1
190,1.611111,43,-14.111111,33.555557,60.666668,-1.987599,6
198,1.944445,16.333334,-7.555555,-4.888889,16.333334,2.221276,7
74,2.166667,17.666668,-3.111111,20.88889,30.555555,-1.66658,1
203,1.944444,18.222221,-7.222222,-10.222222,18.222221,1.986748,7
45,1.111113,118,-36.88889,51.444443,140,-2.35936,2
191,5.222223,51.22222,-21.777779,46.88889,75.22222,-2.047053,6
16,0.888891,105.22222,-38.11111,57.88889,131.11111,-2.293933,2
173,2.111111,22.333334,-10.777778,-4.777778,22.333334,2.332739,7
126,1.055556,1.777778,-7.222222,10.777778,6.555555,-2.289097,3
245,2.166667,14.666667,-6.888889,-7.888889,14.666667,2.069452,7
36,1.833335,94.333336,-40.444443,66.55556,125.22222,-2.232346,2
72,1.388889,2.555556,-8.888889,14.777778,9.444445,-2.216721,3
103,0.833336,56.88889,-18.333334,41,78.111115,-2.022581,4
172,9.777778,37.77778,-12.111111,24.88889,50.333332,-2.143718,6
62,0.666667,54.666668,-27.11111,51.555557,80,-2.126207,4
88,0.833333,19.444445,-12.333333,21,29.333334,-2.20829,5
77,2.388889,6.777778,-13.444445,16.222221,13.111111,-2.467493,3
107,1.888889,13.888889,3,12,23,-1.357871,1
17,1.888889,126.333336,-32.333332,42,143.55556,-2.412968,2
195,2.833333,17.11111,-6.777778,-9.444445,17.11111,2.011228,7
196,4.444444,44.77778,-17.444445,36.555557,63.333332,-2.059262,6
97,0.5,43.333332,-5.444445,18.88889,54.11111,-1.836777,4
246,2.666666,20,-10.333333,-3.333333,20,2.395692,7
192,4.388889,40.333336,-15.777778,33.88889,57.666668,-2.047243,6
71,0.777777,35.11111,-1.444444,11.222222,42.11111,-1.675919,4
94,2.555556,6.666666,-8,5.666666,7.777778,-2.869948,3
76,3.277778,30.666666,-8.888889,21.444445,42,-1.981499,4
20,4.944444,31.666666,-10.444445,21.88889,42.77778,-2.045203,4
95,1.944444,3.111111,-9.666667,13.666667,9,-2.333804,3
20,1.27778,122.55556,-31.666666,46,142.66667,-2.326919,2
112,1,3.555556,2.333333,5.666666,8.111112,-1.273992,1
13,0.277778,5.888889,-9.555555,19.777779,15.888889,-2.074133,5
186,0.777778,22,-9.555555,-0.888889,22,2.587396,7
82,0.611111,100.77778,-40.88889,58.11111,125.888885,-2.344872,2
210,1.833333,19.88889,-11.666667,-2.666667,19.88889,2.461599,7
134,0.611111,1.333333,-5.555555,10.444445,6.444445,-2.133095,5
243,2,18,-10.333333,-3.666667,18,2.368311,7
102,0.833333,1.666667,-6.666666,10.333333,6.333334,-2.261719,3
12,2.333333,3.555556,-7.111111,15.222222,11.333333,-2.057978,5
234,1.055556,11.111111,-3.333333,-8.666667,11.111111,1.83826,7
199,1.388889,19.88889,-5,-9.666667,19.88889,1.905303,7
184,2.499999,48.555557,-15.111111,38.22222,69,-1.958014,6
67,3.833332,100.55556,-41.88889,58.444443,125.55556,-2.357338,2
60,2.166666,17.88889,-4,21.666666,31,-1.713134,1
101,2.055554,56.77778,-22.444445,45.22222,79.44444,-2.08957,4
145,1.277778,0.777778,-1.555556,1.777778,1.444444,-2.53095,3
90,2.444444,5.666666,-6.333334,3.333333,6.222222,-3.044175,3
105,0.777776,57.88889,-16.666666,39.666668,78.77778,-1.989475,4
227,1.888889,17.444445,-9.555555,-4.888889,17.444445,2.291847,7
49,0.666669,114.666664,-37.77778,55.88889,139.33334,-2.315477,2
186,1.944444,42.555557,-13.888889,35.11111,61.333332,-1.958085,6
190,2.277778,52.333332,-21,45.333332,75.55556,-2.043617,6
136,1,3.777778,4.555555,2.888889,8,-0.924607,1
191,3.111111,18.555555,-9.222222,-0.888889,18.555555,2.545329,7
114,0.833333,3.222222,3.333333,4.666666,7.444445,-1.151837,1
111,1.055556,52.444443,-20.88889,44.11111,74.888885,-2.058,4
68,1.555556,50.11111,-14.333333,34.333332,68.22222,-1.984308,4
25,0.833333,93.77778,-43.444443,69.55556,125.666664,-2.253408,2
187,3.055555,41.555557,-13.222222,34.11111,59.88889,-1.947472,6
51,2.666667,19.444445,-9.222222,28.11111,35.11111,-1.873032,1
54,1.222221,119.111115,-35.11111,50.88889,141.33334,-2.328661,2
71,4.5,16.666668,-1.666667,18.666666,28.555555,-1.636863,1
237,2.666667,18.777779,-7,-9.666667,18.777779,1.990381,7
111,0.388889,0,-4,8,4,-2.094395,3
105,2.166666,39.666668,-13.555555,31.777779,56.333332,-1.996082,4
125,0.833333,1,-4,6.333334,3.888889,-2.237562,3
202,1.888889,53.88889,-19.88889,43.11111,76,-2.043538,6
101,1.777778,12.555555,4.222222,8.888889,20.222221,-1.21111,1
77,1.666667,35.22222,-9,24,48.22222,-1.932066,4
226,1.611111,21.777779,-4.111111,-11.111111,21.777779,1.82234,7
62,0.444444,3.777778,-7,15,11.444445,-2.048717,5
193,3.388888,36.555557,-11.444445,26.88889,50.666668,-1.992997,6
125,2.055555,53.77778,-25.11111,46.555557,76.44444,-2.145045,4
84,0.444445,13.666667,-12.555555,23.11111,24.88889,-2.152852,5
27,0.5,135.11111,-16.555555,25.444445,146.55556,-2.264532,2
