@relation segment

@attribute Region-centroid-col numeric
@attribute Vedge-mean numeric
@attribute Hedge-mean numeric
@attribute Rawred-mean numeric
@attribute Saturatoin-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
148,0.5,1.166667,7.111111,0.544733,-1.163245,1
75,2.833334,2.222222,23.333334,0.429663,-1.8356,1
2,1.222222,2.555556,18.777779,0.402507,-1.544214,1
15,0.444444,0.444444,6,0.61164,-0.853547,1
115,0.555555,0.833333,8.555555,0.481594,-1.056659,1
75,1.444445,1.833333,22.555555,0.414836,-1.524771,1
16,0.5,0.666667,6.888889,0.561508,-0.985811,1
149,0.833333,1,21.11111,0.382629,-1.574477,1
140,0.277778,0.666667,7.333334,0.545635,-1.121818,1
67,1.055556,0.833333,22.666666,0.415751,-1.700913,1
137,1.666667,3.666667,20.666668,0.427811,-1.627145,1
19,1.277778,2.111111,19.666668,0.44725,-1.72683,1
80,1.5,1.555556,21.222221,0.407364,-1.632243,1
120,0.611111,1,7.777778,0.529541,-0.924607,1
98,0.611111,1.055556,7.444445,0.565476,-0.787376,1
182,0.611111,0.722222,7.666666,0.577601,-0.806042,1
62,0.444444,0.5,7.555555,0.573413,-0.837598,1
138,0.611111,0.444445,7.555555,0.559171,-1.19107,1
23,1.444444,1.777778,18.88889,0.399751,-1.386867,1
11,1.333333,1.388889,19,0.388756,-1.302133,1
231,0.666667,0.388889,7.111111,0.531746,-0.988413,1
229,0.888889,0.888889,7.111111,0.545855,-1.037663,1
109,0.833333,0.666667,8.777778,0.450309,-0.913675,1
228,0.388889,0.833333,7,0.56746,-1.151837,1
140,2.166666,1.833333,21.222221,0.416239,-1.634396,1
97,0.722222,0.555555,7.555555,0.546517,-1.233945,1
196,0.555556,0.777778,7.444445,0.529982,-0.966318,1
70,0.944445,2.166666,22.444445,0.420823,-1.713134,1
88,0.833333,2.888889,21.333334,0.413308,-1.653787,1
75,1.055555,2.944445,22.333334,0.459427,-1.836328,1
134,2.388889,2.666666,20.88889,0.430399,-1.669752,1
127,1.722222,3.444444,21.555555,0.390398,-1.707392,1
141,1.277778,1.666667,23.11111,0.405022,-1.664008,1
97,0.722222,1.055556,7.333334,0.570106,-0.963048,1
222,0.277778,0.444444,6.111111,0.603175,-1.314533,1
131,1.388889,1.666667,23.555555,0.424597,-1.650844,1
9,1.388889,2.5,18.777779,0.401025,-1.570588,1
142,0.666667,1.388889,21.777779,0.421994,-1.623301,1
120,0.611111,0.944444,21,0.412134,-1.683529,1
82,0.722223,1.333334,19.222221,0.376024,-1.276562,1
23,0.722222,2.777778,17.11111,0.451359,-0.9757,1
34,1.444445,2.444445,19.555555,0.410073,-1.507007,1
22,0.388889,0.333333,6.777778,0.575397,-1.099624,1
140,0.277778,0.666667,7.333334,0.545635,-1.121818,1
112,0.722222,0.666667,6.555555,0.534392,-0.91061,1
96,1.5,1.611111,23.555555,0.398791,-1.598867,1
57,0.444445,0.388889,7.666666,0.510362,-0.983947,1
159,0.444445,0.611111,7.666666,0.581349,-0.872666,1
7,1.166667,2.111111,16.11111,0.408644,-1.179347,1
97,1.222222,4.444445,24.11111,0.407623,-1.677308,1
217,0.333333,0.5,7.222222,0.551808,-1.05144,1
78,0.833333,1.611111,18.333334,0.395253,-1.312499,1
29,2.222223,2.666667,20.88889,0.394331,-1.519702,1
75,1.166667,1.777778,18.777779,0.399311,-1.131973,1
18,0.388889,0.611111,5.555555,0.600529,-0.57094,1
101,3.555555,3,24.333334,0.412094,-1.620451,1
11,1.333333,1.388889,19,0.388756,-1.302133,1
178,0.555555,0.777778,7.333334,0.549603,-0.942559,1
55,0.333333,0.388889,6.888889,0.593915,-0.688601,1
136,1.888889,3.055556,24.555555,0.413217,-1.768872,1
14,1.722222,2.666667,18.88889,0.368848,-1.345096,1
156,0.388889,0.388889,8,0.555776,-0.761648,1
14,0.388889,0.388889,6.777778,0.587302,-0.912631,1
98,2.222222,1.5,19.222221,0.410009,-1.446641,1
138,0.611111,0.444445,7.555555,0.559171,-1.19107,1
96,1.555556,2.5,24,0.432471,-1.773594,1
8,1.888889,1.944444,18.555555,0.390329,-1.447037,1
78,1.5,1.611111,22,0.431547,-1.811203,1
29,2.555555,2.166667,21.222221,0.438246,-1.733544,1
14,0.333333,0.555556,6.333334,0.543651,-1.353896,1
25,0.944445,4.777777,17,0.447187,-1.162844,1
136,1,1.722222,24.444445,0.421281,-1.74518,1
146,1.055556,1,7.888889,0.537017,-0.909267,1
90,1.666667,1.333333,19.777779,0.374312,-1.333792,1
39,0.722222,0.888889,7,0.562919,-1.175773,1
84,1.777778,2.666667,22.666666,0.446118,-1.873032,1
89,1.722222,2.944445,21.333334,0.400445,-1.611365,1
69,1.888889,2,20.222221,0.376574,-1.408242,1
176,0.388889,0.722222,7.666666,0.537698,-0.87829,1
140,0.944445,0.888889,21.333334,0.398448,-1.670314,1
133,1.388889,2.111111,25.11111,0.429308,-1.768356,1
26,2.499999,2.111111,18.88889,0.419233,-1.730306,1
30,1.222222,1.333333,20.333334,0.381059,-1.555097,1
28,0.722222,0.555555,7.111111,0.544092,-1.058277,1
108,0.555555,2.555555,4.111111,0.715608,-1.43724,1
76,1.888889,1.333333,22.333334,0.409201,-1.606794,1
69,1.833333,1.833333,20.333334,0.41031,-1.472378,1
10,2.222222,3.111111,18.666668,0.419522,-1.591206,1
219,0.277778,0.666667,6.444445,0.603704,-0.730465,1
95,1.833333,2.111111,24.666666,0.425691,-1.739017,1
38,2.222222,2.111111,20,0.408155,-1.55762,1
217,0.555556,0.722222,6.333334,0.564153,-1.068968,1
18,0.888889,0.833333,7.333334,0.543871,-0.862108,1
183,0.666667,1.055556,6.888889,0.566138,-1.065066,1
178,0.444444,0.888889,7.888889,0.563713,-0.7213,1
59,0.277778,0.5,6.444445,0.60119,-1.181388,1
145,0.555555,1.611111,21.555555,0.432819,-1.674318,1
83,1.388889,1.944444,20,0.394964,-1.508658,1
33,0.555556,0.722222,4.111111,0.578339,-1.985703,1
26,1,2.444445,19.555555,0.436939,-1.623202,1
23,1.444444,1.777778,18.88889,0.399751,-1.386867,1
33,0.555556,0.722222,4.111111,0.578339,-1.985703,1
147,2.055556,1.88889,23.444445,0.44486,-1.79139,1
89,1.444444,1.888889,19.88889,0.394656,-1.357871,1
149,2.111111,2.444445,23.444445,0.415737,-1.68954,1
151,0.611111,1,7.555555,0.537919,-1.0108,1
86,2.055556,1.722222,21.444445,0.405118,-1.512555,1
85,1.333333,1.277778,21.222221,0.404792,-1.558599,1
88,1.444445,4.5,21.777779,0.416299,-1.636863,1
13,0.388889,1.277778,6.222222,0.630159,-0.776334,1
65,1.777778,2.722222,22.777779,0.432167,-1.760752,1
100,0.277778,1,8.222222,0.531173,-1.157082,1
120,0.611111,1,7.777778,0.529541,-0.924607,1
199,0.444444,0.5,7.444445,0.513889,-0.91962,1
125,2.666666,2.722222,26.11111,0.41394,-1.819915,1
29,0.388889,0.611111,6.888889,0.564153,-0.897859,1
26,2,2.555556,19.777779,0.394157,-1.55225,1
23,0.333333,0.722222,4.111111,0.698445,-1.561754,1
30,0.611111,0.611111,7.444445,0.571649,-0.987873,1
80,1.5,1.555556,21.222221,0.407364,-1.632243,1
1,1.833333,2.222223,15.666667,0.425538,-1.54801,1
32,2.277778,3.277778,20.555555,0.428167,-1.73537,1
67,1.111111,2.277778,20.222221,0.416884,-1.620749,1
75,1.388889,1.888889,20.222221,0.388385,-1.334127,1
71,0.722222,0.722222,7.111111,0.580026,-0.851202,1
176,0.5,0.944444,7.444445,0.529982,-0.726018,1
145,1,2,23.666666,0.420598,-1.705942,1
22,0.388889,0.333333,6.777778,0.575397,-1.099624,1
29,2.611111,2.722222,20.11111,0.412662,-1.566335,1
42,1.833333,2.055555,20.777779,0.445142,-1.680812,1
89,2.111111,2.833333,22.777779,0.474773,-1.937482,1
65,0.611111,0.722222,21.11111,0.417046,-1.590164,1
97,2,3.777778,24,0.40212,-1.652768,1
12,1.222222,1.333334,19.444445,0.422689,-1.622211,1
78,0.833333,1.611111,19,0.378839,-1.169517,1
104,0.611111,0.666667,7.666666,0.550044,-0.95784,1
18,0.388889,0.611111,5.555555,0.600529,-0.57094,1
86,1.333334,0.666667,21.666666,0.422206,-1.646671,1
27,1.055556,1,21.666666,0.418746,-1.741254,1
177,0.444444,1.111111,8,0.541887,-0.912766,1
105,0.277778,0.833333,7.555555,0.532628,-0.965946,1
144,0.555556,0.666667,7.555555,0.56433,-1.134543,1
35,1.055556,1.388889,20,0.462752,-1.842494,1
108,0.944445,1,8.444445,0.501014,-0.764077,1
133,1,2.777778,22.11111,0.406451,-1.530686,1
35,2.111111,2.833333,20.777779,0.399499,-1.676921,1
188,0.333333,0.5,8.333334,0.53858,-0.924817,1
189,0.166667,0.333333,8.222222,0.53858,-0.965144,1
