@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,8,11,13,18-20'

@attribute Region-centroid-row numeric
@attribute Hedge-mean numeric
@attribute Rawred-mean numeric
@attribute Rawgreen-mean numeric
@attribute Saturatoin-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
197,2.611111,44.22222,43,0.302925,-2.022274,6
120,1.555555,44.77778,42.444443,0.245321,-1.910735,4
97,0.611111,46,43.555557,0.197115,-1.840735,4
152,1.222222,1,0.666667,0.648677,-1.933239,5
89,3.666667,21.666666,16.88889,0.403687,-1.625587,1
124,1.111111,0.222222,1.222222,0.973765,-2.267462,3
238,2.333333,6.333334,13.888889,0.597015,2.126063,7
157,2.222222,18.222221,19.222221,0.430239,-2.169368,4
75,1.5,22,16.88889,0.423501,-1.641882,1
15,1.444443,133.88889,137.44444,0.104639,-2.330563,2
125,8.555554,41.666668,39.444443,0.192484,-1.840579,4
108,27.277779,41.77778,46.555557,0.358975,-2.360491,3
61,0.5,4.666667,4.333334,0.645891,-2.048717,5
163,18.166666,34.555557,37.444443,0.263846,-2.51749,6
154,0,0,0,0,0,5
172,9.166667,38,37.77778,0.265454,-2.126558,6
13,0.944445,137.11111,139.44444,0.079806,-2.276767,2
125,2.666667,1.555556,2.444444,0.853199,-2.234241,3
193,2.222222,53.666668,54,0.299579,-2.109375,6
25,0.611111,60.666668,61.666668,0.318191,-2.13042,4
131,0,0,0,0,0,5
187,1.444444,11.666667,19.222221,0.463329,1.941465,7
191,7.777778,23.555555,22.444445,0.237113,-1.858264,6
87,1.166667,55.77778,56,0.3097,-2.105073,4
94,0.444445,16,15.888889,0.451546,-2.084893,5
151,0.111111,0,0,0.222222,-2.094395,5
142,0.888889,1.666667,2.666667,0.81358,-2.280603,3
44,2.38889,17.333334,13.666667,0.457681,-1.753726,1
20,0.611112,98.44444,107.111115,0.240108,-2.385213,2
167,7.555555,11.666667,13.777778,0.314507,-3.015081,7
134,0.611111,1.111111,1.333333,0.829233,-2.133095,5
113,0.444444,6.888889,3,0.566138,-0.989308,1
68,2.166667,24.222221,20.444445,0.445652,-1.848523,1
126,0.444445,7.444445,3.111111,0.581349,-0.895807,1
212,1.555556,6,11.333333,0.513395,2.242649,7
95,0.944444,21.333334,16.222223,0.390436,-1.567327,1
240,2.444444,10.888889,18.555555,0.421621,2.392487,7
101,0.611109,126.44444,131.11111,0.141107,-2.328735,2
114,1.166667,0.111111,0.777778,0.984127,-2.222661,3
177,1.666666,45,42.333336,0.305962,-1.942662,6
120,0.444445,7.777778,3.333333,0.569444,-0.820403,1
223,1.777778,13.222222,22.88889,0.433125,2.119546,7
113,0.277778,7.222222,3.444444,0.563492,-1.175454,1
67,0.888889,112.333336,117.888885,0.18855,-2.317188,2
83,1.055552,74.55556,80.44444,0.362062,-2.239053,2
181,2.055555,13.555555,21.444445,0.385555,2.141428,7
56,0.833333,115.888885,121.44444,0.176061,-2.326783,2
58,0.888891,112.55556,119,0.180972,-2.365385,2
242,4.666667,19.222221,30.555555,0.371695,2.395778,7
140,1.388889,17.88889,18.88889,0.444353,-2.167262,4
131,0,0,0,0,0,5
61,0.5,4.666667,4.333334,0.645891,-2.048717,5
124,2.055555,35.77778,35.555557,0.317097,-2.076967,4
141,0.777778,6,7,0.640224,-2.191662,5
106,0.722222,19.555555,14.111111,0.403224,-1.48458,1
29,1.055553,119.22222,123.22222,0.165616,-2.271128,2
107,10.333333,26.88889,24.88889,0.311552,-1.877159,4
186,6.055555,45.666668,44.333332,0.266195,-2.028812,6
144,0.333333,0.111111,0.111111,0.740741,-2.094395,5
123,0.611111,0.111111,0.444444,0.981482,-2.16921,3
117,0,0,0,0,0,3
18,1.277777,114,120.888885,0.197105,-2.352184,2
47,1.000001,116,121.44444,0.181012,-2.315792,2
26,0.888888,131,133.11111,0.106102,-2.230725,2
215,2.5,18.11111,30.666666,0.409837,2.471757,7
125,0.666667,7.222222,3.444444,0.529762,-0.944272,1
58,1.388889,20,15.444445,0.434743,-1.685074,1
47,1.111109,129,131.88889,0.118399,-2.262555,2
125,0.833333,0.444444,1,0.923809,-2.237562,3
192,4.944445,51.77778,50.555557,0.299308,-2.034048,6
120,0.722222,0.111111,0.333333,0.984127,-2.133095,3
103,1.111111,0.111111,0.666667,0.987654,-2.185466,3
179,4.555556,31.333334,31,0.301166,-2.0752,6
92,2.333333,23.11111,17.555555,0.420973,-1.637777,1
115,3.888889,20.555555,15.111111,0.375321,-1.440963,1
240,2.277778,9.777778,17.333334,0.470675,2.043865,7
89,0.166667,2.888889,2.666667,0.097643,-1.890484,5
