@relation segment

@attribute Region-centroid-row numeric
@attribute Region-pixel-count numeric
@attribute Vedge-mean numeric
@attribute Intensity-mean numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
145,9,0.555556,5.296296,3.111111,-6.888889,1
63,9,1.277778,20.925926,-3.777778,-16.777779,1
124,9,0.5,5.111111,5.333334,-7,1
106,9,1.611111,23.037037,-3.111111,-17.444445,1
68,9,4.055556,17.703703,-0.111111,-15.777778,1
92,9,1.222222,23.666666,-1.666667,-18.333334,1
86,9,1.5,23.814816,-1.444444,-17.777779,1
123,9,0.444444,5.814815,5.222222,-7.777778,1
74,9,1.333334,22.407408,-2.222222,-17.222221,1
71,9,1.444445,22.333334,-1.666667,-17,1
80,9,3.555555,24.814816,-1.444444,-18.777779,1
131,9,0.444444,5.962963,4.777778,-6.888889,1
98,9,1.222223,20.88889,0.333333,-15.333333,1
113,9,1.722222,20.25926,-0.777778,-14.777778,1
142,9,0.388889,4.814815,5.888889,-7.111111,1
85,9,1.111111,21.11111,-1,-17,1
64,9,2.111111,22.481482,-1.444444,-17.777779,1
130,9,0.5,5.333334,4.666666,-7.333334,1
111,9,0.388889,5.407407,4.444445,-7.222222,1
140,9,0.444444,5,4.666666,-6.333334,1
115,9,1.722222,19.925926,1.888889,-14.444445,1
59,9,1.055555,25.074074,-8.222222,-19.555555,1
136,9,0.611111,6.259259,4.555555,-7.444445,1
121,9,0.444444,6.407407,4.777778,-7.888889,1
115,9,0.5,6.296296,3.111111,-7.888889,1
116,9,1.5,21.703703,-1.444444,-16.11111,1
102,9,1.222222,20.25926,0.222222,-14.444445,1
71,9,2.111112,22.777779,-2.666667,-18,1
68,9,1.444444,27.185184,-8.888889,-20.222221,1
73,9,1.388889,19.074074,0.444444,-15.555555,1
81,9,1.888889,22.703703,-1.111111,-17.11111,1
60,9,2.277778,26.74074,-6.222222,-19.222221,1
120,9,1.666667,23.666666,-4.666666,-15.666667,1
132,9,0.5,5.37037,5.222222,-7.444445,1
116,9,0.722222,6.62963,2.777778,-8.222222,1
140,9,0.444444,6,4.333334,-7,1
121,9,1.666666,23.11111,-4.333334,-16.666666,1
134,9,0.611111,5.888889,5.333334,-7.666666,1
140,9,1.055556,6.333334,4.666666,-7.666666,1
118,9,0.555556,6.444445,3.333333,-8.333333,1
61,9,2.222222,18.962963,-0.888889,-14.888889,1
139,9,0.666667,5.333334,3.666667,-7,1
112,9,0.722222,5.925926,3.555556,-7.444445,1
107,9,0.833333,17.185184,3.444444,-13.888889,1
62,9,0.777779,21.222221,-1.333333,-16.666666,1
54,9,1.777778,24.592592,-5.444445,-18.444445,1
111,9,0.388889,5.407407,4.444445,-7.222222,1
60,9,1.555556,22.62963,-3.888889,-18.222221,1
116,9,0.944445,22.11111,-2.333333,-15.666667,1
126,9,0.555555,4.925926,4.555555,-7.111111,1
101,9,1.333333,21.296297,-0.222222,-16.222221,1
57,9,1.833333,26.296297,-4.888889,-19.555555,1
51,9,1.666667,19.592592,-2.444444,-15.777778,1
74,9,3.888889,23.592592,-3.111111,-17.777779,1
139,9,0.277778,6.111111,4.333334,-7.666666,1
138,9,0.5,4.962963,5.444445,-6.888889,1
129,9,0.444444,6.407407,4.777778,-7.888889,1
129,9,0.833333,6.333334,4.666666,-7.666666,1
89,9,0.777777,22.333334,-2,-16.333334,1
136,9,0.5,6.814815,4.555555,-8.111111,1
79,9,1.277778,16.814816,1.555556,-14.111111,1
143,9,0.444445,5.444445,4,-8,1
128,9,0.5,5.555555,4,-7.333334,1
118,9,1.722222,22.74074,-3.555556,-15.222222,1
85,9,1.444444,17.962963,2.777778,-14.555555,1
64,9,2.222222,23.62963,-5.555555,-17.222221,1
75,9,2.833334,25.962963,-7.888889,-18.555555,1
118,9,0.388889,6.074074,4.777778,-7.555555,1
117,9,0.444444,19.88889,2.333333,-15,1
118,9,0.444445,6.259259,3.888889,-8.111111,1
138,9,0.444444,5.444445,4.666666,-7.333334,1
142,9,0.5,4.666666,6.333334,-7,1
143,9,0.333333,5.037037,4.555555,-7.111111,1
92,9,1.333333,18.703703,0.222222,-15.444445,1
88,9,0.833333,22.148148,-2.444444,-16.444445,1
131,9,0.555555,5.333334,4.666666,-7,1
131,9,0.333333,5.222222,6,-6.666666,1
56,9,1.055555,22.74074,-4.888889,-17.555555,1
92,9,1.111111,23.444445,-2,-17.666666,1
110,9,1.722222,17.925926,2.888889,-13.444445,1
143,9,0.5,5.296296,4.111111,-6.888889,1
103,9,1.388889,18.962963,3.777778,-15.222222,1
142,9,0.388889,5.037037,4.555555,-6.777778,1
123,9,1.555555,6.962963,2.777778,-7.222222,1
62,9,1.833334,21.185184,-1.888889,-16.222221,1
117,9,0.833333,21.222221,-0.333333,-15,1
139,9,0.277778,6.111111,4.333334,-7.666666,1
95,9,1.666667,21.11111,0,-15.333333,1
100,9,0.666667,22.222221,-1.333333,-17.333334,1
67,9,1.444445,22.25926,0.888889,-17.777779,1
140,9,1.055556,6.333334,4.666666,-7.666666,1
122,9,0.444445,6.407407,5.111111,-7.555555,1
107,9,1.166667,16.703703,6.222222,-14.444445,1
111,9,0.444445,5.925926,5.222222,-8.111111,1
126,9,0.388889,5.777778,5,-8,1
133,9,0.333333,6.666666,5,-8.333333,1
149,9,0.5,7.518518,-5.888889,-7.222222,1
114,9,1.388889,17.222221,5.333334,-14,1
129,9,0.555556,6.666666,5.333334,-8,1
59,9,1.833333,21.814816,-3.111111,-17.777779,1
66,9,2.555555,22.62963,-4.222222,-17.555555,1
45,9,2.277778,21.925926,-4.111111,-16.444445,1
103,9,2.166666,21.851852,-1.888889,-16.555555,1
122,9,0.277778,5.555555,4.333334,-7.666666,1
115,9,0.166667,6.666666,4.666666,-8.333333,1
101,9,1.333333,21.296297,-0.222222,-16.222221,1
89,9,1.222222,18.962963,-0.555556,-14.222222,1
91,9,2.222222,22.481482,-1.444444,-17.444445,1
144,9,0.277778,4.814815,3.555556,-6.444445,1
90,9,1.944445,18.11111,2,-14,1
44,9,2.166667,18.74074,-4.222222,-15.222222,1
141,9,0.5,5.407407,4.777778,-7.222222,1
93,9,2.499999,20.37037,-4.444445,-14.777778,1
64,9,1.5,24.074074,-4.222222,-19.222221,1
67,9,1,20,-1.333333,-16.333334,1
111,9,0.666667,5.703704,3.555556,-7.444445,1
111,9,0.388889,5.666666,4,-8,1
124,9,0.555556,5.111111,4.666666,-7.333334,1
44,9,2.166667,18.74074,-4.222222,-15.222222,1
57,9,1.833333,26.296297,-4.888889,-19.555555,1
143,9,0.333333,4.518518,4.777778,-7.555555,1
77,9,1.222222,25.185184,-3.222222,-18.222221,1
123,9,0.611111,6.740741,4.444445,-8.222222,1
124,9,0.611111,6.185185,4.444445,-7.888889,1
117,9,0.277778,5.888889,3,-7.666666,1
104,9,2.277778,21.925926,-4.111111,-16.11111,1
108,9,1.333333,17.666666,4,-14.333333,1
58,9,0.888889,20.925926,-2.777778,-16.444445,1
136,9,0.611111,6.259259,4.555555,-7.444445,1
98,9,2,17.481482,2.555556,-12.444445,1
138,9,0.888889,5.740741,4.777778,-7.222222,1
91,9,2,19.74074,0.111111,-14.555555,1
104,9,1.555556,20.185184,0.111111,-14.222222,1
118,9,0.277778,5.481482,3.222222,-6.777778,1
92,9,3.333334,22.88889,-3.333333,-17.333334,1
116,9,0.5,6.111111,3,-7.666666,1
122,9,0.555555,5.851852,4.444445,-7.555555,1
60,9,0.5,19.925926,-1.777778,-15.777778,1
114,9,0.277778,5.444445,2,-7.666666,1
116,9,0.388889,5.407407,3.444444,-7.555555,1
60,9,2.277778,26.74074,-6.222222,-19.222221,1
72,9,0.944444,26.222221,-7.333334,-20.333334,1
117,9,0.333333,5.777778,1.666667,-7,1
115,9,1.833333,16.555555,-2.666667,-13,1
149,9,0.888889,5.518518,-4.222222,-5.555555,1
131,9,0.222222,5.185185,4.444445,-6.888889,1
90,9,2.777778,22.62963,-1.888889,-17.555555,1
122,9,0.333333,6,3.666667,-7.666666,1
112,9,0.555556,6.222222,2.333333,-8,1
51,9,1.777778,25.74074,-9.222222,-18.88889,1
101,9,0.888889,20.074074,0.777778,-15.555555,1
114,9,0.388889,5.888889,3.333333,-8,1
106,9,2.222222,20,0,-15.333333,1
111,9,0.277778,5.444445,3,-7.666666,1
90,9,1,24.851852,-3.555556,-18.555555,1
126,9,1.055556,6.481482,3.555556,-8.111111,1
109,9,1,17.25926,5.888889,-14.111111,1
129,9,0.833333,6.333334,4.666666,-7.666666,1
53,9,2.111111,27.074074,-12.888889,-20.88889,1
111,9,0.555555,3.814815,0.888889,-6.111111,1
77,9,2.111111,24.481482,-3.111111,-18.11111,1
78,9,2.222223,24.592592,-1.777778,-18.11111,1
94,9,1.666667,21.222221,-1.666667,-16.666666,1
81,9,1.833333,19.851852,1.444444,-15.888889,1
75,9,0.611111,21.333334,-0.666667,-16.666666,1
84,9,1.5,23.851852,-0.888889,-17.555555,1
56,9,1.222222,19.851852,-1.222222,-15.555555,1
113,9,1.722222,20.25926,-0.777778,-14.777778,1
70,9,1.277778,23.666666,-2,-17.333334,1
