@relation segment

@attribute Region-centroid-row numeric
@attribute Short-line-density-2 numeric
@attribute Intensity-mean numeric
@attribute Exgreen-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
59,0,25.074074,-19.555555,-1.836328,1
128,0,5.962963,-7.888889,-1.005054,1
140,0,5,-6.333334,-0.783647,1
95,0,21.407408,-15.555555,-1.567327,1
113,0,5.518518,-7.555555,-0.989308,1
109,0,17.777779,-14,-1.276562,1
40,0,17.185184,-13.888889,-1.783602,1
129,0,6.666666,-8,-0.843904,1
95,0,21.407408,-15.555555,-1.567327,1
116,0,5.407407,-7.555555,-1.093148,1
106,0,20,-15.333333,-1.55762,1
51,0,19.592592,-15.777778,-1.68129,1
114,0,6.222222,-7.666666,-1.0108,1
124,0,6.185185,-7.888889,-0.95784,1
86,0,18.592592,-14.777778,-1.541502,1
139,0,6.111111,-7.666666,-0.965946,1
112,0,5.925926,-7.444445,-1.058277,1
113,0,5.592593,-7.777778,-0.942558,1
104,0,20.185184,-14.222222,-1.555376,1
149,0,5.444445,-5.666666,-1.985703,1
126,0,4.925926,-7.111111,-0.877707,1
55,0,21.037037,-15.444445,-1.634416,1
79,0,16.814816,-14.111111,-1.453114,1
113,0,20.25926,-14.777778,-1.585609,1
118,0,21.11111,-16,-1.620749,1
64,0,22.481482,-17.777779,-1.625668,1
140,0,6,-7,-0.91962,1
117,0,5.888889,-7.666666,-1.179692,1
60,0,22.62963,-18.222221,-1.709389,1
60,0,19.925926,-15.777778,-1.650048,1
53,0,27.074074,-20.88889,-1.937482,1
63,0,18.074074,-14.222222,-1.683847,1
122,0,6,-7.666666,-1.05144,1
53,0,21.555555,-15.666667,-1.662177,1
130,0,7.296296,-7.888889,-1.056659,1
50,0,23.037037,-16.777779,-1.741254,1
60,0,26.74074,-19.222221,-1.776113,1
143,0,5.444445,-8,-1.048222,1
115,0,16.555555,-13,-1.54801,1
77,0.111111,25.185184,-18.222221,-1.677308,1
108,0,17.666666,-14.333333,-1.302133,1
124,0,5.111111,-7.333334,-0.877707,1
78,0,24.592592,-18.11111,-1.610448,1
