@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,6,11,13,16,18,20'

@attribute Region-centroid-row numeric
@attribute Vedge-mean numeric
@attribute Rawred-mean numeric
@attribute Rawgreen-mean numeric
@attribute Exgreen-mean numeric
@attribute Saturatoin-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
220,2.277778,5.666666,8.333334,5.666666,0.427354,7
28,0.388889,99.44444,108.333336,-13.888889,0.241511,2
58,0.333334,5.555555,5.333334,-9,0.622222,5
125,0.333333,0,0.333333,-2.444444,1,3
85,3.277778,3.555556,6.111111,-6.222222,0.774121,3
209,1.833333,10.333334,16.88889,13.111111,0.407904,7
107,1.111111,46.22222,44.88889,-14.777778,0.230455,4
58,0.333334,5.555555,5.333334,-9,0.622222,5
88,2.055556,21.444445,15.666667,-16.444445,0.405118,1
120,1.666667,22.11111,18.444445,-15.666667,0.394863,1
130,0.722222,7.333334,3.333333,-7.555555,0.570106,1
84,3,7.333334,7.555555,-4,0.380483,4
210,4.722223,44.22222,42.77778,-20.88889,0.314278,6
72,2.5,23.555555,20.11111,-19.11111,0.436895,1
13,1.333331,119.666664,126.111115,-12.888889,0.177191,2
143,0.333333,6.555555,2.666667,-7.111111,0.595238,1
42,2.055556,39.555557,40,-13.666667,0.271572,4
125,1,39.11111,37.555557,-15.777778,0.270638,4
229,2.722223,12,18.333334,11.111111,0.347692,7
154,0.111111,0.222222,0,-2.111111,1,5
107,4.666666,4.888889,6.666666,-6.111111,0.697226,3
189,1.000001,26.333334,25.666666,-10.222222,0.271208,6
202,2.555556,53.666668,52.88889,-22.777779,0.29788,6
118,0.333333,6.222222,2.555556,-7.333334,0.617063,1
36,0,0,0,0,0,5
232,1.277778,11,18.11111,16.222221,0.500966,7
113,0.944444,24.88889,26.11111,-9.666667,0.327385,5
120,0.333333,0.222222,0.222222,-2.777778,1,3
196,2.666667,44.333332,43.88889,-18,0.289997,6
185,0.611111,8.111112,14.333333,10.777778,0.435185,7
30,0.722222,4.777778,4.666667,-7.111111,0.613718,5
46,0.666664,129.44444,131.55556,-11.888889,0.110653,2
182,0.888889,40.22222,37.77778,-17.222221,0.280764,6
109,0.999999,42.555557,42.77778,-19.88889,0.325138,4
114,0.944444,24.444445,26.222221,-12.777778,0.400536,5
70,1.055556,36.444443,35.11111,-14.555555,0.274051,4
227,1.388889,10.111111,17.333334,10.111111,0.425501,7
30,0.666667,99.333336,108.44444,-13.555555,0.242337,2
102,7.277778,10.111111,12.777778,-4.777778,0.575126,3
182,1.777778,41.666668,39,-18,0.281875,6
76,1.777778,3.777778,7.666666,-1.777778,0.723011,3
138,0.444445,0.111111,0.111111,-0.555556,0.092593,3
25,0.722221,39.555557,39.88889,-14.777778,0.284582,4
89,0.555555,93.111115,99.666664,-19.222221,0.257746,2
127,2.444444,38,36,-14.222222,0.248999,4
114,1.388889,19,12.555555,-14,0.393691,1
119,2.277777,12.222222,15.888889,-14.111111,0.635624,3
117,1.833333,14.555555,13.777778,-10,0.402203,5
27,1.277776,130.33334,133,-9.888889,0.10447,2
96,2.38889,61,59.88889,-21.444445,0.254595,4
181,0.777777,16.555555,28,19.777779,0.409551,7
154,11.666667,5.888889,6.333334,-7.111111,0.771517,5
145,0,0,0,0,0,5
93,2.666667,3.222222,5.222222,-4.666666,0.760191,3
97,0.611111,15.333333,15.666667,-11.777778,0.447494,5
216,2.777777,11.444445,20.555555,16.444445,0.441675,7
131,0.333333,7.222222,3,-6.666666,0.581349,1
105,10.722224,35.77778,40.11111,-8.222222,0.37578,3
181,3.277779,52.333332,50.666668,-25.222221,0.317345,6
181,1.166667,49,48.22222,-21.333334,0.300006,6
67,2.555556,22.88889,17.555555,-18.555555,0.429897,1
35,0.277779,131.22223,132,-13.444445,0.103336,2
104,0.5,16.333334,16.88889,-8.666667,0.375532,5
208,5.722223,48.22222,48.333332,-21.88889,0.320595,6
96,0.611111,103.44444,103.22222,-25.11111,0.197734,2
62,1.833334,20.555555,15.777778,-16.222221,0.419469,1
110,0.5,4.333334,2,-6.666666,0.708333,1
79,0.444444,93.888885,102.77778,-14.888889,0.258079,2
42,1.277777,117,122.333336,-14.111111,0.174634,2
194,2.611111,37,36.333336,-14.111111,0.275415,6
25,0.388887,103.666664,111.333336,-14.777778,0.224975,2
133,1.166667,1.222222,1.888889,-2.444444,0.860606,5
183,2.888889,50.444443,48.555557,-23.333334,0.305472,6
130,0.555555,0.444444,1.777778,-1.888889,0.931217,3
170,0.555556,20.11111,30.88889,16.333334,0.349112,7
162,2.388889,34.444447,37.444443,-9,0.307814,6
25,0.77778,97.77778,107.55556,-14,0.25541,2
175,1.166667,12.444445,20.11111,14.222222,0.387412,7
162,1.944445,34.666668,37,-9.888889,0.289652,6
112,1.333333,1.111111,3.111111,-2.111111,0.867665,3
85,1.111111,20.777779,15.444445,-17,0.428735,1
190,1.277777,44.77778,43,-19.444445,0.290788,6
198,0.888889,9.666667,16.333334,12.444445,0.415772,7
74,3.888889,22.555555,17.666668,-17.777779,0.420252,1
203,1.388889,10,18.222221,17.444445,0.514445,7
45,0.888891,110.55556,118,-14.555555,0.210174,2
191,3.11111,52.333332,51.22222,-25.11111,0.31901,6
16,0.5,99.111115,105.22222,-19.777779,0.244021,2
173,1.444444,13.555555,22.333334,15.555555,0.396433,7
126,1.944444,0.555556,1.777778,-3.555556,0.935706,3
245,3.166667,7.444445,14.666667,14.777778,0.572767,7
36,1.111111,89.55556,94.333336,-26.11111,0.284654,2
72,1.277778,1.555556,2.555556,-5.888889,0.84169,3
103,1,58.333332,56.88889,-22.666666,0.271568,4
172,1.166667,38,37.77778,-12.777778,0.249836,6
62,11.222222,53.77778,54.666668,-24.444445,0.329364,4
88,0.722222,18.222221,19.444445,-8.666667,0.378615,5
77,1.833333,3.222222,6.777778,-2.777778,0.762049,3
107,1.444444,19.88889,13.888889,-15,0.394656,1
17,1.388887,118.77778,126.333336,-9.666667,0.172628,2
195,2.444444,9.444445,17.11111,16.222221,0.517717,7
196,1.444445,45.333332,44.77778,-19.11111,0.297689,6
97,2.722222,46,43.333332,-13.444445,0.199351,4
246,2.277778,12,20,13.666667,0.395955,7
192,0.833333,41.11111,40.333336,-18.11111,0.302675,6
71,0.944444,37.88889,35.11111,-9.777778,0.166047,4
94,1.333334,3.222222,6.666666,2.333333,0.609788,3
76,0.833333,31.88889,30.666666,-12.555555,0.27031,4
20,1.333333,32,31.666666,-11.444445,0.261958,4
95,2.166667,1.222222,3.111111,-4,0.874917,3
20,1.111116,116.77778,122.55556,-14.333333,0.181475,2
112,0.555556,7,3.555556,-8,0.559171,1
13,1.777778,6.111111,5.888889,-10.222222,0.632739,5
186,0.888888,15.333333,22,10.444445,0.301883,7
82,0.555556,92.888885,100.77778,-17.222221,0.262093,2
210,0.944445,11.222222,19.88889,14.333333,0.435769,7
134,0.666667,1.111111,1.333333,-4.888889,0.829233,5
243,1.888889,9.888889,18,14,0.452229,7
102,0.722222,0.666667,1.666667,-3.666667,0.899735,3
12,0.444444,3.888889,3.555556,-8.111111,0.687302,5
234,0.444445,6,11.111111,12,0.621324,7
199,1.666667,13.333333,19.88889,14.666667,0.408885,7
184,1.222223,51.22222,48.555557,-23.11111,0.2956,6
67,2.666665,92.111115,100.55556,-16.555555,0.26644,2
60,0.944445,22.444445,17.88889,-17.666666,0.420823,1
101,1.722221,56.88889,56.77778,-22.777779,0.289362,4
145,0.277778,0.333333,0.777778,-0.222222,0.251852,3
90,1.277778,2.555556,5.666666,3,0.665344,3
105,2.111109,60,57.88889,-23,0.264986,4
227,1.444444,9.444445,17.444445,14.444445,0.458364,7
49,0.555556,108.111115,114.666664,-18.11111,0.223879,2
186,1.500001,45,42.555557,-21.222221,0.306161,6
190,2.055556,53.444443,52.333332,-24.333334,0.308799,6
136,0.611111,7.777778,3.777778,-7.444445,0.529541,1
191,1.277778,12.111111,18.555555,10.111111,0.35037,7
114,0.388889,7,3.222222,-8,0.56746,1
111,0.388889,53.22222,52.444443,-23.222221,0.299664,4
68,1.833334,52,50.11111,-20,0.265053,4
25,0.611111,88,93.77778,-26.11111,0.299583,2
187,1.222223,44.11111,41.555557,-20.88889,0.305755,6
51,1.777778,22.666666,19.444445,-18.88889,0.446118,1
54,0.611112,112.666664,119.111115,-15.777778,0.202708,2
71,1.444445,21.777779,16.666668,-17,0.416299,1
237,2.277778,10.888889,18.777779,16.666666,0.472826,7
111,0.611111,0,0,-4,1,3
105,1.888889,41.22222,39.666668,-18.222221,0.295992,4
125,0.944445,0.444444,1,-2.333333,0.923809,3
202,2.277777,55,53.88889,-23.222221,0.293527,6
101,2.333333,18.333334,12.555555,-13.111111,0.376852,1
77,1.555555,37.22222,35.22222,-15,0.269192,4
226,2.222223,15.333333,21.777779,15.222222,0.404749,7
62,0.333333,4.111111,3.777778,-8,0.67037,5
193,1.111112,37.88889,36.555557,-15.444445,0.278387,6
125,2.833333,52.555557,53.77778,-21.444445,0.317206,4
84,0.222222,13,13.666667,-10.555555,0.477222,5
27,0.722221,132.55556,135.11111,-8.888889,0.096263,2
91,18.944445,35.88889,39.88889,-8.777778,0.398824,3
186,3.222223,48.22222,46.22222,-21.666666,0.298302,6
123,0.388889,8,3.555556,-7.666666,0.555776,1
