@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R1,6,8,11,18-20'

@attribute Region-centroid-col numeric
@attribute Vedge-mean numeric
@attribute Hedge-mean numeric
@attribute Rawred-mean numeric
@attribute Saturatoin-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
61,1.444444,2.611111,44.22222,0.302925,-2.022274,6
243,4.444445,1.555555,44.77778,0.245321,-1.910735,4
146,10.111111,0.611111,46,0.197115,-1.840735,4
43,1.944444,1.222222,1,0.648677,-1.933239,5
88,0.777777,3.666667,21.666666,0.403687,-1.625587,1
140,1,1.111111,0.222222,0.973765,-2.267462,3
245,1.666667,2.333333,6.333334,0.597015,2.126063,7
129,2.444444,2.222222,18.222221,0.430239,-2.169368,4
69,2.111111,1.5,22,0.423501,-1.641882,1
181,0.833336,1.444443,133.88889,0.104639,-2.330563,2
201,1.722222,8.555554,41.666668,0.192484,-1.840579,4
45,25.5,27.277779,41.77778,0.358975,-2.360491,3
206,0.555555,0.5,4.666667,0.645891,-2.048717,5
151,2.055556,18.166666,34.555557,0.263846,-2.51749,6
161,0,0,0,0,0,5
23,1.333334,9.166667,38,0.265454,-2.126558,6
63,1.166667,0.944445,137.11111,0.079806,-2.276767,2
140,0.666667,2.666667,1.555556,0.853199,-2.234241,3
86,3.277779,2.222222,53.666668,0.299579,-2.109375,6
23,1.111109,0.611111,60.666668,0.318191,-2.13042,4
222,0,0,0,0,0,5
86,1.111111,1.444444,11.666667,0.463329,1.941465,7
13,3.555556,7.777778,23.555555,0.237113,-1.858264,6
22,1.88889,1.166667,55.77778,0.3097,-2.105073,4
96,0.722223,0.444445,16,0.451546,-2.084893,5
216,0.166667,0.111111,0,0.222222,-2.094395,5
33,1.888889,0.888889,1.666667,0.81358,-2.280603,3
2,2.166667,2.38889,17.333334,0.457681,-1.753726,1
155,0.611112,0.611112,98.44444,0.240108,-2.385213,2
37,0.888889,7.555555,11.666667,0.314507,-3.015081,7
20,0.666667,0.611111,1.111111,0.829233,-2.133095,5
108,0.444444,0.444444,6.888889,0.566138,-0.989308,1
141,1.444444,2.166667,24.222221,0.445652,-1.848523,1
37,0.388889,0.444445,7.444445,0.581349,-0.895807,1
108,2,1.555556,6,0.513395,2.242649,7
80,1.222222,0.944444,21.333334,0.390436,-1.567327,1
208,1.055556,2.444444,10.888889,0.421621,2.392487,7
179,0.444448,0.611109,126.44444,0.141107,-2.328735,2
28,0.833333,1.166667,0.111111,0.984127,-2.222661,3
70,2.166666,1.666666,45,0.305962,-1.942662,6
154,0.444444,0.444445,7.777778,0.569444,-0.820403,1
132,2.111111,1.777778,13.222222,0.433125,2.119546,7
32,0.5,0.277778,7.222222,0.563492,-1.175454,1
81,0.833332,0.888889,112.333336,0.18855,-2.317188,2
226,0.888889,1.055552,74.55556,0.362062,-2.239053,2
252,1,2.055555,13.555555,0.385555,2.141428,7
92,0.444443,0.833333,115.888885,0.176061,-2.326783,2
58,0.555556,0.888891,112.55556,0.180972,-2.365385,2
114,2.722222,4.666667,19.222221,0.371695,2.395778,7
62,2.444445,1.388889,17.88889,0.444353,-2.167262,4
250,0,0,0,0,0,5
206,0.555555,0.5,4.666667,0.645891,-2.048717,5
233,2.111111,2.055555,35.77778,0.317097,-2.076967,4
223,2.111111,0.777778,6,0.640224,-2.191662,5
31,1.611111,0.722222,19.555555,0.403224,-1.48458,1
124,1.000001,1.055553,119.22222,0.165616,-2.271128,2
191,2.055555,10.333333,26.88889,0.311552,-1.877159,4
190,2.722222,6.055555,45.666668,0.266195,-2.028812,6
199,0.333333,0.333333,0.111111,0.740741,-2.094395,5
18,0.722222,0.611111,0.111111,0.981482,-2.16921,3
20,0,0,0,0,0,3
17,1.222221,1.277777,114,0.197105,-2.352184,2
79,0.666669,1.000001,116,0.181012,-2.315792,2
240,1.222224,0.888888,131,0.106102,-2.230725,2
207,3.222222,2.5,18.11111,0.409837,2.471757,7
29,0.388889,0.666667,7.222222,0.529762,-0.944272,1
24,0.888889,1.388889,20,0.434743,-1.685074,1
191,0.444445,1.111109,129,0.118399,-2.262555,2
103,0.944445,0.833333,0.444444,0.923809,-2.237562,3
148,4,4.944445,51.77778,0.299308,-2.034048,6
127,0.5,0.722222,0.111111,0.984127,-2.133095,3
68,0.666667,1.111111,0.111111,0.987654,-2.185466,3
180,2.277778,4.555556,31.333334,0.301166,-2.0752,6
149,1.222222,2.333333,23.11111,0.420973,-1.637777,1
91,1.722222,3.888889,20.555555,0.375321,-1.440963,1
32,1.277778,2.277778,9.777778,0.470675,2.043865,7
161,4.666666,0.166667,2.888889,0.097643,-1.890484,5
71,2.722223,4.555556,49.11111,0.314739,-2.024321,6
118,0.777777,0.888888,113.333336,0.199972,-2.322923,2
95,0.722222,0.722222,0.111111,0.977778,-2.285991,3
189,0,0,0,0,0,5
63,0.666667,1.555556,9.777778,0.419762,2.04457,7
26,1.666667,1.666667,13.777778,0.333856,2.239034,7
152,1.111111,0.833334,15.222222,0.348063,2.129513,7
201,0.833335,0.77778,74.888885,0.35122,-2.242802,2
200,2.277778,1.777778,12.888889,0.43082,2.471197,7
33,1.555556,2.444444,11.222222,0.54148,-2.112503,5
187,0.388889,0.5,4.777778,0.648657,-2.097293,5
140,1.722221,0.777777,45.666668,0.176156,-1.681589,4
30,3.388889,3.277778,2.444444,0.823021,-2.282744,3
23,1.666667,7.38889,27.444445,0.284148,-2.014509,6
231,3.444445,1.833333,1.444444,0.895369,-2.118937,3
113,0.222222,0.388889,0,1,-2.094395,3
178,2.611112,3.111111,44,0.300036,-2.006186,6
189,1.666667,1.111111,38.333336,0.170449,-1.624846,4
151,0.388889,0.5,7.555555,0.60119,-0.796918,1
88,1.666667,4.166667,21.333334,0.397362,-1.619549,1
46,1.5,1.555556,0.666667,0.929574,-2.216544,3
44,0.888888,1.944445,19.555555,0.347032,2.557389,7
42,1.388891,0.999999,59.444443,0.266776,-2.030703,4
13,1.388889,2.277778,17.666668,0.398903,-1.219211,1
22,0.5,1.277778,19.333334,0.430484,-1.650048,1
200,2.277778,1.444444,6.555555,0.56339,2.192935,7
221,1.222222,2.944445,11.666667,0.434488,2.193764,7
243,1.222224,1.277781,127.55556,0.126968,-2.278428,2
162,2.166667,2.222222,25.222221,0.202846,-1.802554,4
34,0.555556,0.388889,10.444445,0.559179,-2.102707,5
238,1.055556,1.611111,16.11111,0.385282,2.416354,7
79,1.055556,1.055559,96.333336,0.238143,-2.375207,2
146,0.5,0.388889,7.444445,0.563492,-1.02473,1
36,2.722222,6.444444,50.444443,0.290668,-2.062724,6
16,2.388889,1.722222,9.555555,0.163351,-1.190561,7
43,1.944444,1.222222,1,0.648677,-1.933239,5
116,2.222223,10.611111,28.777779,0.250721,-2.215464,6
210,1.833333,1.5,6.555555,0.491388,2.201318,7
29,0.388889,0.611111,6.888889,0.564153,-0.897859,1
83,2.333335,1.166666,41.555557,0.339145,-2.111789,4
241,5.666666,6.777779,4.777778,0.762919,-2.266389,3
240,1.055555,1.000001,76.888885,0.351331,-2.239301,2
212,0.72222,0.833332,77.22222,0.347902,-2.187399,2
41,2.055555,1.555555,20.333334,0.437042,-1.737293,1
89,4.055556,2.388889,17.666668,0.462002,-1.563972,1
62,0.777777,0.444444,98.333336,0.248698,-2.38614,2
230,1.111111,1.944444,9.666667,0.486883,2.487917,7
127,1.5,0.888889,0.888889,0.915376,-2.257412,3
59,2.388889,2.166667,7.888889,0.585775,-2.451571,3
239,0.5,0.5,0,1,-2.164094,3
138,0.666667,1.166667,7.777778,0.558201,-1.077659,1
118,0.666667,1.833334,16.11111,0.437078,-2.158805,4
210,1.277778,0.611111,11.444445,0.546207,-2.141659,5
183,2.888888,5.777777,40.666668,0.28574,-2.004988,6
76,2.222222,2.888888,21.777779,0.424819,-1.756712,1
78,1.111112,1.055559,115.333336,0.17933,-2.32084,2
174,2.888889,3.611111,45.444443,0.293991,-1.995072,6
51,2.555556,2.333333,11.111111,0.397985,2.37843,7
187,1.555556,5.666666,35.77778,0.275059,-2.036435,4
191,1.111112,1.111111,39,0.322733,-2.094303,4
177,0.055556,0.222222,0.666667,1,-1.861154,5
223,0.5,2.388889,11.555555,0.445418,1.83885,7
212,0.555555,0.555555,112.22222,0.187362,-2.278604,2
100,1.611111,1.611111,19.777779,0.391701,-1.58144,1
222,0.555556,2.111111,100.44444,0.23576,-2.370002,2
151,0.444444,0.444444,7,0.56746,-0.880521,1
66,0.722223,2.222222,19.666668,0.410267,-1.457591,1
189,1.277777,1.277779,35.88889,0.271474,-1.907502,4
45,7,2.555556,4.888889,0.736431,-2.449839,3
124,3.500001,3.277778,52.88889,0.313611,-2.03548,6
80,1.666667,1.500001,45.666668,0.249679,-1.973615,4
198,1.333335,2.5,45.444443,0.285554,-2.007175,6
72,2.833333,5.277778,12,0.347481,2.586018,7
102,0.666667,1.333333,7.444445,0.591826,1.984785,7
194,0.444445,0.444445,7.555555,0.543871,-1.076198,1
99,2.055556,2.5,16.777779,0.431321,-2.109365,4
205,24.555555,8.333333,19.777779,0.504161,-2.321343,3
205,1.222222,2.5,11.888889,0.458152,-2.102722,5
217,0.888888,1.555557,111.111115,0.190912,-2.292668,2
226,0,0,0,0,0,5
2,1.944445,3.666667,41,0.287983,-2.032929,6
104,0.611111,1.055556,52.22222,0.293681,-2.078463,4
94,1.055552,1.666664,134.88889,0.100091,-2.449265,2
121,1.500001,1.444447,90,0.274795,-2.251012,2
114,1.111111,1.166667,1,0.891218,-2.316112,3
216,0.888891,1.222225,90.888885,0.306737,-2.266452,2
189,0.388889,0.444444,5,0.635938,-2.066953,5
225,0.444445,0.444444,6.777778,0.601852,-1.048222,1
24,1.722223,6.611112,27.333334,0.290796,-2.03822,6
247,3.111111,3.166667,49.444443,0.323021,-2.037351,6
109,0.944444,0.444445,51.555557,0.278963,-2.024061,4
230,0.277778,0.277778,0,1,-2.094395,3
76,2.055556,2.333334,12.222222,0.203249,2.563437,7
14,2.944445,3.333333,2.555556,0.725289,-2.639389,3
182,3.666666,1.777777,43.77778,0.304522,-1.973056,6
190,2.277778,2.833333,2.888889,0.709751,-2.123905,4
116,1.388889,2.222222,11.111111,0.389695,2.395431,7
194,0.777778,2.944444,49.22222,0.303121,-1.991701,6
35,0.777779,1.222223,20.777779,0.423121,-1.620398,1
221,1.444444,2.444445,14.666667,0.416762,2.389747,7
9,0.055556,2.611111,1,0.550926,-2.094395,5
252,0.722221,1.333333,72.77778,0.370097,-2.249475,2
178,2.722221,4.666666,49.666668,0.312366,-2.005196,6
216,0.555555,0.555556,6.444445,0.611111,-0.877707,1
