@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,10,13,20'

@attribute Region-centroid-row numeric
@attribute Intensity-mean numeric
@attribute Rawgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
173,43.592594,38.333336,6
51,19.592592,14.333333,1
115,22.962963,20,5
64,18.88889,14,1
130,1.37037,0.666667,3
64,31,30.333334,3
123,6.740741,4,1
96,3.555556,2,3
184,45.22222,39.444443,6
120,39.333332,34.77778,4
153,3.37037,3.222222,5
144,0.666667,0.444444,5
139,0.444444,0,3
83,19.444445,14.333333,1
57,126.111115,122.111115,2
109,17.777779,13.111111,1
51,126.333336,121.77778,2
78,43.814816,38.444443,4
195,61.592594,53.444443,6
189,58.407406,51.444443,6
191,63,54.333332,6
235,9.185185,12.777778,7
47,107.111115,99.333336,2
13,70.37037,62.333332,4
242,11.740741,15.777778,7
68,56.77778,50.11111,4
117,6.444445,3.777778,1
83,18.222221,14.444445,5
133,0,0,3
45,21.925926,16.444445,1
129,0.518518,0,3
27,138.07408,135.11111,2
188,61.074074,53.444443,6
92,23.444445,17.555555,1
79,41.407406,36.555557,4
192,47.51852,41,6
238,13.62963,19.11111,7
63,6.074074,3.666667,5
137,0.777778,0.111111,3
134,0.518518,0,5
134,1.037037,0,5
161,41.48148,37.333336,6
187,58.666668,50.88889,6
99,93.40741,83.22222,2
234,5.740741,8.777778,7
13,104.111115,95.666664,2
184,14.222222,19.333334,7
34,14.444445,11.555555,5
66,95.111115,85.888885,2
116,1.962963,0.333333,5
79,45.814816,40.666668,4
90,18.11111,13.444445,1
187,54.77778,47.333332,6
103,35.62963,30.88889,4
104,19.777779,16.88889,5
24,49.185184,44,4
119,1.444444,0.111111,3
190,32.962963,28.444445,6
133,5.37037,3.444444,5
116,29.814816,26.666666,5
67,27.148148,20.444445,1
208,16.074074,21.11111,7
220,8.185185,11.555555,7
34,14.444445,11.555555,5
176,13,17.11111,7
196,47.25926,41.444443,6
128,16.481482,13.444445,3
73,20.62963,15.333333,1
194,61.555557,53.666668,6
17,71.18519,62.88889,4
154,19.703703,15.666667,4
62,0,0,5
12,127.44444,123.666664,2
123,1.481481,0.555556,3
24,121.62963,116.333336,2
194,48.62963,42.555557,6
175,15.37037,20.11111,7
137,5.851852,3.333333,1
88,5.259259,4.111111,3
50,65.111115,57.666668,4
121,54.962963,48.444443,4
187,59.37037,51.333332,6
219,14.888889,19.666668,7
29,103.25926,94.666664,2
121,32.37037,27.88889,4
50,107.44444,101.888885,2
142,5.037037,2.777778,1
96,3.777778,2.333334,3
81,12.481482,10.888889,3
135,0.777778,0,5
90,2.814815,1,3
156,16.925926,21.777779,7
12,6.259259,3.555556,5
196,61.592594,54.11111,6
184,17.62963,22.222221,7
73,5.814815,4.444445,3
162,43.22222,39.22222,6
122,6,3.444444,1
25,126.03704,121.55556,2
190,57.333332,51,6
125,6.185185,3.555556,1
194,18.555555,25.333334,7
15,113.74074,109.111115,2
60,22.62963,16.555555,1
115,14.777778,13,3
121,14.962963,11.888889,3
139,18.074074,15.666667,3
108,40,35.77778,4
108,21.925926,16.555555,1
106,0.555556,0,3
112,28.851852,25.777779,5
141,0,0,5
51,122.96296,117.44444,2
204,19,25.555555,7
189,26.444445,22.88889,6
236,13.962963,18.666668,7
247,12.62963,15.888889,7
58,122,117.111115,2
34,125.48148,120.77778,2
92,19.37037,14.555555,1
70,61.11111,52.88889,4
81,90.40741,79.111115,2
83,9.888889,6.666666,5
97,2.111111,0.666667,3
192,45.962963,39.22222,6
67,60.74074,53.333332,4
86,26.481482,20.222221,1
71,122.18519,116.77778,2
147,6.259259,4.555555,4
140,6.333334,3.777778,1
198,59.77778,52.22222,6
173,55.185184,47.444443,6
25,128,123.888885,2
39,127.51852,123.111115,2
115,6.777778,4,1
127,0.62963,0,3
197,12.851851,15.333333,7
195,46.555557,41.22222,6
119,4.37037,4.222222,3
114,6.222222,3.666667,1
235,15.62963,19.222221,7
104,18.703703,13.666667,1
196,15.333333,20.444445,7
191,49.22222,43.11111,6
182,39.851852,35,6
159,35.77778,31.88889,6
125,66.25926,58.555557,4
245,6.407407,7,7
101,134.92592,131.11111,2
31,11.259259,8.888889,5
190,49.48148,43,6
64,24.074074,17.666668,1
154,33,27.333334,4
182,43.592594,37.88889,6
217,11.925926,17,7
29,128.44444,123.22222,2
131,0,0,5
47,97.111115,87.333336,2
111,28.74074,25.777779,5
156,23.703703,28.333334,7
182,58,49.666668,6
116,3,2.111111,3
218,13.703704,17.777779,7
64,108.77778,103.77778,2
145,26.777779,22.777779,4
33,110.59259,106.333336,2
92,9.962963,7.222222,5
185,32.555557,28.777779,6
196,15.703704,19.555555,7
149,5.444445,3.555556,1
118,19.407408,16.11111,5
124,0.666667,0,3
55,124.111115,119.111115,2
216,7.074074,11.111111,7
142,0.111111,0,5
99,51.88889,47.77778,4
240,22.481482,28.11111,7
135,2.888889,1,5
212,12.296296,17.88889,7
117,1.333333,0.222222,3
152,0,0,5
193,41.185184,36.11111,6
110,17.925926,13.444445,1
116,46.814816,41.555557,4
136,6.259259,3.777778,1
61,109.07407,103.77778,2
169,25.962963,32,7
125,58.22222,50.666668,4
127,36.51852,32.666668,4
103,3.851852,3.444444,3
54,108.85185,103.666664,2
32,59.48148,53.333332,4
65,60.148148,52.77778,4
40,124.62963,118.888885,2
80,96.333336,87.22222,2
91,3.259259,1.222222,3
138,5.740741,3.333333,1
54,116.77778,108.77778,2
75,55,52.11111,3
139,1.37037,0,5
167,19.037037,24.666666,7
115,46.74074,41.444443,4
109,4.296296,3,3
120,21.555555,18.444445,5
180,22.333334,27.222221,7
42,58.88889,51.444443,4
99,6.740741,5.222222,3
124,43.51852,37.444443,4
122,6.407407,3.888889,1
59,126.14815,121.44444,2
95,3.518518,2.444444,3
155,7.296296,5.555555,5
82,15.518518,12.444445,5
222,14,17.555555,7
23,124.44444,119.77778,2
216,14.555555,19.11111,7
73,46.666668,37.77778,3
87,17.333334,12.777778,1
123,4.555555,2.333334,1
66,41.62963,38,4
116,5.62963,3.111111,1
102,58.37037,51,4
236,12.518518,17.222223,7
160,43.925926,37.555557,6
201,58.703705,51,6
28,62.407406,54.666668,4
139,48.22222,41.666668,4
138,3.555556,1.666667,5
108,16.925926,13.777778,5
116,2.814815,2.222222,3
102,20.25926,15.444445,1
