@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,11,13,16,19-20'

@attribute Region-centroid-row numeric
@attribute Rawred-mean numeric
@attribute Rawgreen-mean numeric
@attribute Exgreen-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
130,0,0.111111,-2.333333,-2.123254,3
83,23.333334,23,-10.555555,-2.063242,4
182,49.444443,47.22222,-23.11111,-1.980348,6
128,7.888889,3.444444,-7.444445,-0.7213,1
201,54.88889,53.555557,-24.222221,-2.034119,6
117,0,0.111111,-2.888889,-2.132635,3
41,0.555556,0.333333,-1.111111,-1.84512,5
176,46,43.333332,-22,-1.95141,6
72,79.22222,84,-28.333334,-2.22578,2
180,18.333334,27.222221,14.666667,2.453831,7
114,6.111111,2.888889,-7.666666,-1.314533,1
161,12.444445,20.444445,14.111111,2.345133,7
142,6.777778,2.333334,-7,-0.604864,1
125,7.333334,3.555556,-7.888889,-1.121818,1
120,10.555555,13.555555,-16.555555,-2.231261,3
95,6.777778,5.333334,-6.888889,-1.749258,5
169,10.666667,18,15.555555,1.993183,7
38,50,49.666668,-25,-2.078504,4
190,47.333332,46.555557,-21.11111,-2.052546,6
113,18.11111,18.777779,-8.444445,-2.163633,5
146,5.666666,2.888889,-6.666666,-1.258358,1
147,4.111111,2.222222,-7.111111,-1.561754,1
63,6.333334,6.555555,-7.222222,-2.121837,5
31,101.888885,110.44444,-13.555555,-2.384877,2
127,10.888889,11.777778,-13.777778,-2.035808,3
144,0,0,-3,-2.094395,3
187,9.333334,15.888889,12.777778,2.156639,7
36,5,5.111111,-8.444445,-2.107303,5
146,8,8.111112,-7.444445,-2.108911,4
38,58.22222,57.22222,-22.222221,-2.038824,4
204,51.444443,50.22222,-23,-2.038543,6
35,117.44444,122.666664,-14.666667,-2.311049,2
108,20,20.666668,-9.111111,-2.154391,5
197,44.666668,44.11111,-18.666666,-2.071221,6
122,7,3.222222,-7.222222,-0.964797,1
180,53.22222,51.555557,-25.555555,-2.022148,6
121,8,3.777778,-7.888889,-0.914324,1
101,21.222221,15.888889,-16.222221,-1.558599,1
90,22,16.777779,-17.555555,-1.622331,1
117,39.555557,39.666668,-18.666666,-2.09948,4
18,97.22222,108.666664,-10.333333,-2.45498,2
80,24.333334,18.555555,-18.777779,-1.620451,1
147,6.444445,6.777778,-2.777778,-2.064514,3
88,21.333334,16.666668,-16.444445,-1.653787,1
137,0.111111,0,-2.777778,-2.056155,5
57,84,90.22222,-25.11111,-2.264402,2
195,14.444445,20.333334,12.888889,1.94304,7
155,6.666666,6.666666,-6.222222,-2.079296,5
40,15.666667,12.555555,-13.888889,-1.783602,1
80,60.333332,66.44444,-7,-2.434193,3
101,21.222221,15.888889,-16.222221,-1.558599,1
71,115.55556,121.44444,-13.555555,-2.339758,2
120,1.111111,2.888889,-1.888889,-2.433795,3
111,51.333332,50.333332,-22.333334,-2.045165,4
30,112.77778,117.55556,-17.333334,-2.27951,2
115,7.333334,3.666667,-7.888889,-1.175454,1
107,49.444443,48.11111,-17.666666,-2.003607,4
129,2.444444,1.888889,-1.222222,-1.101394,5
137,2.111111,1.888889,-5.444445,-2.058451,5
39,116.333336,122.44444,-13.888889,-2.336025,2
17,40.333336,39.444443,-15.444445,-2.030048,4
118,20.222221,15.777778,-16,-1.620749,1
162,35.666668,38.22222,-9.777778,-2.335371,6
116,11.777778,14.888889,-11.555555,-2.259967,3
160,17.777779,28.555555,15.888889,2.642597,7
71,21.88889,16.777779,-18,-1.66796,1
102,53.444443,51.555557,-20,-1.985584,4
