@relation segment

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Vegde-sd numeric
@attribute Hedge-mean numeric
@attribute Rawred-mean numeric
@attribute Rawblue-mean numeric
@attribute Exblue-mean numeric
@attribute Value-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
228,143,0.344444,0.666667,6.666666,6.222222,2.777778,6.777778,1
125,56,3.644444,2.722222,26.11111,37.666668,27.11111,37.666668,1
2,63,0.562963,1.5,17.222223,23.666666,16.777779,23.666666,1
155,140,0.118519,0.666667,6.555555,5.555555,1.666667,6.666666,1
196,124,0.02963,0.833333,7.555555,7.444445,3.666667,8,1
89,89,2.907407,2.944445,21.333334,27.777779,17.666666,27.777779,1
24,58,0.162963,1.388889,20,27.333334,19.222221,27.333334,1
85,70,0.72963,1.833333,23,30.11111,19.333334,30.11111,1
2,89,1.762962,2.555556,18.777779,23.88889,14.777778,23.88889,1
117,147,0.107407,0.777778,5.444445,11,12.666667,11,1
33,149,0.251852,0.722222,4.111111,8.666667,9.666667,8.666667,1
186,130,0.122222,0.388889,6.888889,6.222222,2.666667,7,1
138,133,0.444444,1.166667,7.777778,7.888889,4.333334,8.222222,1
120,136,0.418519,1,7.777778,7.222222,2.888889,8,1
140,125,0.062963,0.666667,7.333334,7.666666,4.444445,7.777778,1
146,124,0.166667,0.388889,7.444445,7.333334,3.888889,7.666666,1
75,103,1.52963,1.888889,20.222221,22.777779,11.444445,22.777779,1
140,116,0.285185,0.888889,21.333334,28.11111,18,28.11111,1
23,142,0.107407,0.944444,6.555555,5.777778,2.222222,6.555555,1
97,126,0.374074,1,7.666666,8,4.555555,8.333334,1
80,95,1.007408,0.944444,21.333334,26.666666,15.777778,26.666666,1
35,132,0.077778,0.222222,7.111111,6.111111,2.222222,7.111111,1
178,122,0.118518,0.777778,7.333334,6.888889,3.111111,7.444445,1
29,111,0.240741,0.611111,6.888889,6.333334,2.777778,6.888889,1
147,69,2.907408,1.88889,23.444445,34.444447,26.333334,34.444447,1
141,89,1.485185,1.666667,23.11111,30.444445,19.666666,30.444445,1
38,41,1.674074,1.666667,20.777779,29.777779,21.88889,29.777779,1
146,72,0.507407,1.666666,23.777779,35.444447,27.666666,35.444447,1
14,134,0.062963,0.388889,6.777778,6.222222,2.777778,7,1
229,124,0.074074,0.888889,7.111111,7.111111,3.666667,7.555555,1
73,103,0.32963,1.111111,19.222221,22.555555,12.666667,22.555555,1
18,145,0.018518,0.611111,5.555555,4,0.222222,5.555555,1
71,90,2.074072,5.111111,22,29.11111,19.444445,29.11111,1
57,117,0.207407,0.388889,7.666666,7.444445,3.333333,8,1
188,133,0.266667,0.5,8.333334,7.777778,3.333333,8.444445,1
65,54,1.674073,2.722222,22.777779,32.555557,23.88889,32.555557,1
90,101,0.385185,1.722222,20.333334,25,14.777778,25,1
69,59,0.951851,2.055555,22.666666,30.88889,21.11111,30.88889,1
23,88,3.2,2.944445,18.777779,27.333334,20.222221,27.333334,1
217,145,0.162963,0.722222,6.333334,6.555555,3.777778,7,1
145,90,0.577778,2,23.666666,32.22222,22.11111,32.22222,1
14,110,5.351851,2.666667,18.88889,21.444445,10.555555,21.444445,1
104,124,0.151852,0.666667,7.666666,7.333334,3.444444,7.888889,1
122,91,2.029629,2.166666,22,28.777779,18.88889,28.777779,1
127,118,1.529629,3.444444,21.555555,29,18.777779,29,1
140,103,3.411113,1.833333,21.222221,28,18.444445,28,1
16,128,0.077778,0.666667,6.888889,6.666666,3.333333,7.111111,1
138,116,0.151852,0.444445,7.555555,8.222222,5.222222,8.333334,1
98,135,0.151852,1.055556,7.444445,6.444445,2.222222,7.444445,1
108,123,0.240741,0.666667,8.222222,8,3.777778,8.444445,1
64,74,0.577777,1.388889,21,26.88889,17.222221,26.88889,1
121,113,1.52963,2.944444,20,25.444445,15.555555,25.444445,1
147,111,0.151852,0.444445,7,7,4,7.333334,1
65,143,0.133333,0.444445,6.555555,5.888889,2.555556,6.666666,1
22,116,0.107407,0.333333,6.777778,7,4.111111,7.333334,1
23,86,0.651853,1.722222,18.555555,23.555555,14.888889,23.555555,1
148,116,0.477778,1.166667,7.111111,7.666666,4.666666,7.777778,1
120,108,0.640741,0.944444,21,28.222221,18.88889,28.222221,1
150,113,0.255556,0.777778,7.111111,6.666666,3.222222,7.111111,1
29,81,3.751853,2.722222,20.11111,26.11111,16.88889,26.11111,1
108,130,0.596297,1,8.444445,7.222222,1.777778,8.444445,1
17,64,1.362962,1.666666,17.555555,25.11111,18.666666,25.11111,1
12,56,0.207407,1.333334,19.444445,25.444445,16.777779,25.444445,1
75,59,0.774073,2.944445,22.333334,34.333336,27.777779,34.333336,1
96,84,1.277777,1.611111,23.555555,30,18.444445,30,1
28,131,0.074074,0.777778,6.666666,6,2.444444,6.666666,1
23,113,0.996296,2.777778,17.11111,16.88889,6.555555,18.333334,1
66,101,0.329629,2.222222,19.666668,23.555555,13.555555,23.555555,1
70,71,1.807406,2.833333,21.88889,29.666666,20.666666,29.666666,1
107,129,0.562963,0.888889,8.444445,7.555555,2.666667,8.444445,1
104,122,0.02963,0.5,8.111112,7.222222,2.444444,8.111112,1
79,57,1.618517,1.944445,24,36.22222,28.222221,36.22222,1
146,140,0.462963,1,7.888889,7.333334,3,8.222222,1
34,137,0.166667,1.111111,7.777778,6.444445,1.777778,7.777778,1
178,128,0.340741,0.888889,7.888889,6.444445,1.555556,7.888889,1
145,102,0.607408,2.611111,22.11111,29.777779,20.11111,29.777779,1
83,114,1.129629,1.944444,20,24.666666,14.444445,24.666666,1
40,73,1.085185,1.611112,19.777779,26.777779,18.444445,26.777779,1
156,123,0.151852,0.388889,8,6.777778,2,8,1
26,67,0.88889,2.444445,19.555555,25.88889,17.666666,25.88889,1
149,92,0.562964,2.333333,23.11111,30.333334,20,30.333334,1
1,115,2.388889,2.222223,15.666667,21.777779,15.666667,21.88889,1
192,142,0.122222,1.5,6.777778,4.888889,0.666667,6.777778,1
238,118,0.177778,0.777778,6.222222,6.222222,3.666667,6.666666,1
19,55,2.82963,1.277778,20.555555,26.666666,16.88889,26.666666,1
8,79,2.285185,2.111111,17.333334,21,12.555555,21,1
95,57,3.411111,2.111111,24.666666,34.444447,24.444445,34.444447,1
177,129,0.251852,1.111111,8,7.444445,3.111111,8.222222,1
146,124,0.166667,0.388889,7.444445,7.333334,3.888889,7.666666,1
101,72,4.744444,1.777778,23.555555,35.77778,27.88889,35.77778,1
115,130,0.340741,0.833333,8.555555,8.666667,4.111111,9,1
228,114,0.062963,0.833333,7,7.444445,4.666666,7.444445,1
68,117,0.207407,1.611111,20.666668,24.11111,12.666667,24.11111,1
89,68,3.040739,2.388889,17.666668,23,15.888889,23,1
90,111,1.466666,1.333333,19.777779,22.222221,10.777778,22.222221,1
14,138,0.122222,0.5,6.777778,5.444445,1.444444,6.777778,1
97,86,0.833333,3.555556,23.333334,30.222221,19.222221,30.222221,1
