@relation segment

@attribute Region-centroid-row numeric
@attribute Rawgreen-mean numeric
@attribute Exred-mean numeric
@attribute Exblue-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
62,20.666668,-10.777778,30.88889,-1.888408,1
128,3,5.333334,2.666667,-0.837598,1
135,3,4.777778,2.777778,-0.892179,1
101,16.555555,-2.666667,20.333334,-1.674318,1
107,13.444445,2.444444,13.111111,-1.370369,1
108,12.444445,5.666666,8.333333,-1.169517,1
113,15.333333,-0.777778,15.555555,-1.585609,1
102,15.444445,0.222222,14.222222,-1.555097,1
118,15.777778,-2.666667,18.666666,-1.620749,1
61,17.88889,-3.222222,20.777779,-1.700913,1
118,3.222222,4.111111,3.111111,-0.960827,1
122,3,4.333334,3.333333,-0.953435,1
133,3.666667,4,4.333334,-1.077659,1
122,3.333333,4.444445,3.111111,-0.942559,1
106,17.222223,-3.111111,20.555555,-1.695804,1
59,18,-3.555556,21.11111,-1.699326,1
98,13.333333,2.555556,9.888889,-1.360437,1
116,16.88889,-2.333333,18,-1.670314,1
79,12.111111,1.555556,12.555555,-1.453114,1
117,3.888889,4,3.333333,-0.983947,1
64,16.555555,-1.444444,19.222221,-1.625668,1
60,20.333334,-6.222222,25.444445,-1.776113,1
84,18,-0.888889,18.444445,-1.598867,1
114,3.666667,4,3.666667,-1.0108,1
149,3.555556,-4,9.666667,-1.985703,1
62,15.777778,-1.888889,18.11111,-1.650123,1
116,11.555555,2.444444,11.444445,-1.162844,1
78,18.555555,-1.777778,19.88889,-1.610448,1
140,2.888889,4.666666,1.666667,-0.783647,1
117,3.333333,3,4.666666,-1.179692,1
145,2.222222,4.888889,0.222222,-0.57094,1
135,2,4.555555,1.888889,-0.807848,1
108,12.888889,4,10.333333,-1.302133,1
73,15.333333,-2.555556,18.444445,-1.675465,1
121,17.555555,-4.333334,21,-1.740736,1
129,4,5.333334,2.666667,-0.843904,1
111,13.888889,3.444444,10.777778,-1.333792,1
57,20.222221,-8.444445,28.222221,-1.837675,1
63,15.333333,-3.777778,20.555555,-1.72683,1
123,3.444444,3.888889,3.222222,-0.988413,1
140,3.777778,4.666666,3,-0.909267,1
111,1.777778,0.888889,5.222222,-1.43724,1
124,3.333333,4.222222,3.888889,-1.02473,1
92,13.555555,0.222222,15.222222,-1.548296,1
103,13.222222,2.666667,12.666667,-1.397414,1
63,13.333333,-2.555556,16.777779,-1.683847,1
51,14.333333,-2.444444,18.222221,-1.68129,1
86,17.88889,-1.444444,19.222221,-1.60859,1
125,3.555556,3.444444,4.444445,-1.121818,1
116,3.111111,3.444444,4.111111,-1.099624,1
104,16.11111,-2.666667,19.666666,-1.669752,1
113,3,4.555555,3.222222,-0.942558,1
85,15.444445,-1,18,-1.603957,1
56,16.88889,-4.888889,22.444445,-1.759414,1
135,3.222222,5.222222,2.222222,-0.787376,1
114,3.111111,3.888889,2.555556,-0.91061,1
61,14,-0.888889,15.777778,-1.591206,1
53,20.11111,-12.888889,33.77778,-1.937482,1
89,18.11111,-2.333333,19.666666,-1.664008,1
143,2.666667,4.555555,2.555556,-0.907416,1
142,2.444444,5.888889,1.222222,-0.675123,1
103,13.888889,3.777778,11.444445,-1.334127,1
56,22.11111,-7.555555,27.11111,-1.819915,1
50,17.444445,-4.111111,20.88889,-1.741254,1
103,16.333334,-1.888889,18.444445,-1.634396,1
92,14.555555,2.555556,11.888889,-1.408242,1
128,2.777778,5.555555,1.222222,-0.688601,1
134,3.666667,4.111111,3.111111,-0.966318,1
124,2.777778,5.333334,1.666667,-0.752669,1
53,16.333334,-2,17.666666,-1.662177,1
51,19.444445,-9.222222,28.11111,-1.873032,1
54,18.444445,-5.444445,23.88889,-1.760752,1
60,20.333334,-6.222222,25.444445,-1.776113,1
90,18.666668,-3.555556,22.11111,-1.705942,1
71,16.777779,-2.666667,20.666666,-1.66796,1
124,3.444444,3.666667,3.666667,-1.037663,1
57,19.777779,-4.888889,24.444445,-1.739017,1
132,3.555556,5.111111,1.444444,-0.726018,1
84,18,-0.888889,18.444445,-1.598867,1
114,2.888889,2,5.666666,-1.314533,1
130,3.222222,5,2.666667,-0.871495,1
59,18.555555,-8.222222,27.777779,-1.836328,1
83,14.333333,0.333333,15,-1.507007,1
128,3.444444,5.888889,1.555556,-0.7213,1
139,3,3.666667,3.333333,-1.004936,1
133,3.888889,5,3.333333,-0.924817,1
102,17.333334,-2.888889,20.11111,-1.68544,1
140,3.666667,4.333334,2.666667,-0.91962,1
73,13.888889,0.444444,15.111111,-1.524253,1
67,16.333334,0.888889,16.88889,-1.524771,1
92,14.333333,-0.888889,15.111111,-1.570588,1
121,3.777778,4.777778,3.111111,-0.914324,1
143,2,4.777778,2.777778,-0.87829,1
55,17.555555,-5.333334,23,-1.771163,1
107,11.888889,6.222222,8.222222,-1.131973,1
117,14.888889,2.333333,12.666667,-1.420087,1
131,2.888889,4.444445,2.444444,-0.874641,1
134,3.333333,5.333334,2.333333,-0.806042,1
94,15.666667,-1.666667,18.333334,-1.627145,1
126,4.888889,4.444445,2.777778,-0.913675,1
102,17.333334,-2.888889,20.11111,-1.68544,1
112,3.444444,3.555556,3.888889,-1.058277,1
55,17.555555,-5.333334,23,-1.771163,1
116,16.333334,-1.444444,17.555555,-1.632243,1
80,18.555555,-1.444444,20.222221,-1.620451,1
115,3.888889,4.666666,3.666667,-0.965144,1
60,16.555555,-3.888889,22.11111,-1.709389,1
91,14.888889,0.111111,14.444445,-1.55225,1
67,17.555555,-2.555556,21.11111,-1.670171,1
129,3.777778,4.777778,3.111111,-0.912766,1
44,13.666667,-4.222222,19.444445,-1.753726,1
104,16.555555,-4.111111,20.222221,-1.72879,1
86,18,-2.222222,21.11111,-1.650844,1
136,3.333333,4.444445,2.444444,-0.896533,1
135,2.666667,5.666666,1.333333,-0.692028,1
75,15.777778,-0.666667,17.333334,-1.590164,1
101,15.888889,-0.222222,16.444445,-1.558599,1
136,3.777778,4.555555,2.888889,-0.924607,1
123,4,4.444445,3.777778,-0.985729,1
71,16.666668,-1.666667,18.666666,-1.636863,1
81,15.222222,-1.111111,16.88889,-1.566335,1
111,2.888889,3,4.666666,-1.181388,1
64,14,-4,18.666666,-1.755505,1
101,14.888889,0.777778,14.777778,-1.520125,1
117,16.222223,-0.333333,15.333333,-1.574477,1
130,3.333333,4.444445,3.111111,-0.963048,1
106,14.888889,0,15.333333,-1.55762,1
69,19.11111,-6.666666,26.333334,-1.79139,1
55,15.888889,-1.444444,16.88889,-1.634416,1
115,4,3,5.333334,-1.210357,1
85,15.777778,-3,20,-1.659879,1
109,13.111111,4.333334,9.666667,-1.276562,1
83,13.888889,1.111111,13.444445,-1.456819,1
145,3,3.111111,3.777778,-1.068968,1
110,2,0.333333,6.333334,-1.539762,1
123,3.222222,5.222222,2.555556,-0.837598,1
81,14.555555,1.444444,14.444445,-1.472378,1
34,14.888889,-6.333334,22.666666,-1.823148,1
80,19.555555,-6,25.333334,-1.773594,1
122,3.444444,3.666667,4,-1.05144,1
128,3.333333,4.111111,3.777778,-1.005054,1
113,10.111111,7.222222,6.555555,-0.9757,1
124,3.444444,3.666667,3.666667,-1.037663,1
81,17,-1.111111,18.222221,-1.606794,1
137,3.333333,5.777778,1.777778,-0.744272,1
45,16.444445,-4.111111,20.555555,-1.73537,1
40,12.555555,-4.555555,18.444445,-1.783602,1
134,2.888889,4.444445,2.777778,-0.912631,1
131,3,6,0.666667,-0.621222,1
56,17.666668,-4.777778,22.88889,-1.748835,1
69,18.444445,-7,24.666666,-1.811203,1
72,20.11111,-8.777778,27.88889,-1.846158,1
118,17.666668,-3.555556,18.777779,-1.707392,1
145,1.888889,3.777778,2.777778,-0.959485,1
115,3.666667,3.111111,4.777778,-1.175454,1
116,16.333334,-1.444444,17.555555,-1.632243,1
93,15.444445,-4.444445,19.222221,-1.730306,1
132,2.888889,5.222222,2.222222,-0.808383,1
128,3.111111,4,3.333333,-0.985811,1
70,17.88889,-2,19.333334,-1.649603,1
126,3.777778,3.555556,4.555555,-1.118131,1
98,15.777778,0.333333,15,-1.528895,1
109,12.555555,5.888889,8.222222,-1.131204,1
140,3.777778,4.666666,3,-0.909267,1
149,3.555556,-4,9.666667,-1.985703,1
147,3.888889,-4,12.666667,-1.783388,1
74,17.666668,-3.111111,20.88889,-1.66658,1
118,2.555556,3.666667,3.666667,-1.047198,1
128,3.111111,4,3.333333,-0.985811,1
111,3,4,4,-1.041434,1
89,16.555555,-1.666667,17.666666,-1.611365,1
130,4.222222,5.444445,1.777778,-0.764077,1
114,3.222222,3.333333,4.666666,-1.151837,1
146,2.888889,1.666667,5,-1.258358,1
72,19.444445,-7.333334,27.666666,-1.807866,1
130,4.666667,3.777778,4.111111,-1.056659,1
141,3,4.777778,2.444444,-0.843732,1
101,12.555555,4.222222,8.888889,-1.21111,1
143,3,4.111111,2.777778,-0.914813,1
126,2.888889,6.777778,0.777778,-0.612886,1
108,16.555555,-2.777778,18.88889,-1.683529,1
120,18.444445,-4.666666,20.333334,-1.76489,1
117,3.444444,1.666667,5.333334,-1.353896,1
75,18.88889,-2.555556,20.444445,-1.652768,1
64,17.666668,-4.222222,23.444445,-1.724894,1
67,20.444445,-6.111111,26.222221,-1.768356,1
87,12.777778,2.666667,11,-1.318373,1
91,16.666668,-1.444444,18.88889,-1.630409,1
142,2.777778,4.555555,2.222222,-0.829712,1
130,2.888889,4.666666,2.666667,-0.889024,1
111,3,4.444445,2.777778,-0.897859,1
116,3.666667,3.222222,5.222222,-1.19107,1
68,15.888889,-3.444444,20.555555,-1.700324,1
112,3.555556,2.333333,5.666666,-1.273992,1
96,16.666668,-2.888889,18.11111,-1.676921,1
41,16.88889,-5.111111,21.88889,-1.77166,1
138,3.333333,4.777778,2.444444,-0.862108,1
133,3.888889,5,3.333333,-0.924817,1
123,2.333334,4.333334,2.333333,-0.853547,1
116,3.111111,3.444444,4.111111,-1.099624,1
86,20.222221,-6.777778,25.555555,-1.804829,1
56,20,-9.333333,28.666666,-1.863182,1
113,15.333333,-0.777778,15.555555,-1.585609,1
122,3.888889,5.111111,2.444444,-0.83212,1
89,14.222222,-0.555556,14.777778,-1.544214,1
88,15.666667,0.888889,15.555555,-1.512555,1
67,14.555555,-1.333333,17.666666,-1.623202,1
59,15.888889,-3.111111,20.88889,-1.680812,1
129,3.777778,4.666666,3,-0.932783,1
138,3.333333,4.777778,2.444444,-0.862108,1
92,17.11111,-3.333333,20.666666,-1.682651,1
85,13.111111,2.777778,11.777778,-1.386867,1
77,20.222221,-5.555555,24.11111,-1.768872,1
70,19.666668,-4.777778,23.88889,-1.74518,1
108,12.888889,4,10.333333,-1.302133,1
124,3.666667,4,3.666667,-1.011484,1
114,14.888889,0.444444,14.444445,-1.508658,1
147,3.222222,-1.111111,9.555555,-1.50837,1
104,15.444445,0.111111,14.111111,-1.555376,1
74,15.555555,-0.444444,17.222221,-1.554234,1
118,3.222222,3.222222,3.555556,-1.053347,1
124,2.666667,4.666666,2.666667,-0.877707,1
114,10.333334,4.777778,7.777778,-1.179347,1
85,13.111111,2.777778,11.777778,-1.386867,1
124,4.222222,3.444444,5.111111,-1.157082,1
74,16.666668,-2.222222,19.444445,-1.646671,1
102,13.333333,1.888889,11.888889,-1.447037,1
147,1.888889,-0.777778,7.555555,-1.475643,1
125,3.555556,3.444444,4.444445,-1.121818,1
116,3.888889,2.777778,5.444445,-1.233945,1
145,3,3.111111,3.777778,-1.068968,1
86,13.666667,-0.111111,14.888889,-1.541502,1
138,2.666667,5.444445,1.444444,-0.722894,1
