@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,7-8,10,14,20'

@attribute Region-centroid-row numeric
@attribute Vegde-sd numeric
@attribute Hedge-mean numeric
@attribute Intensity-mean numeric
@attribute Exred-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
130,0.250924,0.333333,0.888889,-2.666667,3
83,1.327766,0.944444,26.518518,-9.555555,4
182,2.576964,3.611111,54.925926,-16.444445,6
128,0.340741,0.888889,5.925926,5.888889,1
201,1.734188,2.500001,61.62963,-20.222221,6
117,0.018519,0.111111,1.074074,-3.222222,3
41,0.809664,0.222222,0.703704,-0.444444,5
176,0.688531,2.666667,50.666668,-14,6
72,0.399998,1.166667,93.44444,-42.666668,2
180,0.562963,3,22.333334,-12,7
114,0.062963,0.444444,5.444445,2,1
161,0.327731,0.777778,15.740741,-9.888889,7
142,0.122222,1.5,4.666666,6.333334,1
125,0.062963,0.666667,6.185185,3.444444,1
120,1.986063,1.444444,19.074074,-25.555555,3
95,1.123816,1.333333,7.62963,-2.555556,5
169,0.505525,1.611111,12.814815,-6.444445,7
38,0.272166,1.000001,58,-24,4
190,1.822697,2.611111,53.592594,-18.777779,6
113,0.501849,0.555556,21.592592,-10.444445,5
146,0.122222,0.666667,5.111111,1.666667,1
147,0.133333,0.722222,4.592593,-1.444444,1
63,0.544331,0.388889,8.962963,-7.888889,5
31,0.344266,0.777777,114.96296,-39.22222,2
127,0.975629,1.277778,16.37037,-16.444445,3
144,0.02963,0.333333,1,-3,3
187,0.740741,2.055556,11.62963,-6.888889,7
36,0.272166,0.388889,7.925926,-8.777778,5
146,0.474074,1.111111,10.592592,-7.777778,4
38,11.074329,1.111112,64.62963,-19.222221,4
204,1.204928,2.777777,57.88889,-19.333334,6
35,1.229632,1.444444,127.55556,-30.333334,2
108,5.102286,1.722222,23.703703,-11.111111,5
197,2.993821,4.944445,50.333332,-17,6
122,0.107407,0.555556,5.62963,4.111111,1
180,1.186343,2.222222,60.074074,-20.555555,6
121,0.118518,0.611111,6.407407,4.777778,1
101,1.288888,1.277778,21.296297,-0.222222,1
90,2.074072,5.111111,22.62963,-1.888889,1
117,0.403687,1.277778,45.88889,-19,4
18,0.455422,0.555557,112.111115,-44.666668,2
80,1.851851,3,24.814816,-1.444444,1
147,3.586498,3.555555,7.703704,-3.777778,3
88,0.477778,2.888889,22.148148,-2.444444,1
137,0.074074,0.277778,0.925926,-2.444444,5
57,0.374073,0.77778,98.59259,-43.77778,2
195,0.403687,0.611111,16.037037,-4.777778,7
155,10.551853,5.388889,8.740741,-6.222222,5
40,2.711112,1.111112,17.185184,-4.555555,1
80,530.5518,34.61111,68.77778,-25.333334,3
101,1.288888,1.277778,21.296297,-0.222222,1
71,0.888891,1.499999,125.96296,-31.222221,2
120,0.250924,0.722222,3.518518,-7.222222,3
111,1.088663,1.500001,57.77778,-19.333334,4
30,0.501847,0.833332,123.333336,-31.666666,2
115,0.388889,0.777778,6.296296,3.111111,1
107,0.874075,13.166667,54,-13.666667,4
129,0.544331,3.444445,2.296296,0.444444,5
137,0.151852,0.277778,3.703704,-4.777778,5
39,0.062963,1.222218,127.07407,-32.22222,2
17,4.449303,5,44.592594,-12.777778,4
118,0.385186,2.277778,21.11111,-2.666667,1
162,5.762963,12.944446,41.48148,-17.444445,6
116,0.854184,1.333334,18.74074,-20.88889,3
160,1.29386,1.444444,23.25926,-16.444445,7
71,1.807406,2.833333,22.777779,-2.666667,1
