@relation segment

@attribute Region-centroid-row numeric
@attribute Intensity-mean numeric
@attribute Rawgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
114,17.222221,12.555555,1
111,5.444445,2.888889,1
118,6.074074,3.555556,1
104,21.925926,16.555555,1
149,5.518518,3.666667,1
135,5,2.666667,1
100,20.62963,15.444445,1
149,7.518518,5.111111,1
129,6.666666,4,1
84,23.851852,18,1
139,5.333334,3,1
109,17.25926,12.555555,1
135,5.518518,3,1
111,6.037037,3.444444,1
101,21.296297,15.888889,1
69,25.666666,19.11111,1
122,5.555555,3,1
124,6.037037,3.333333,1
133,6.666666,3.888889,1
113,6.148148,3.444444,1
135,4.148148,2,1
86,23.814816,17.88889,1
85,17.962963,13.111111,1
92,22.88889,17.11111,1
56,26.444445,20,1
106,19.11111,14.111111,1
143,4.518518,2,1
139,6.111111,3.555556,1
133,6.444445,3.666667,1
78,24.592592,18.555555,1
128,5.037037,2.777778,1
110,4.222222,2,1
111,5.703704,3.222222,1
63,18.074074,13.333333,1
114,14.518518,10.333334,1
91,19.74074,14.888889,1
118,22.74074,17.666668,1
126,5.407407,2.888889,1
108,17.666666,12.888889,1
60,23.777779,17.88889,1
90,24.851852,18.666668,1
103,18.333334,13.222222,1
138,5.444445,3,1
70,23.666666,17.88889,1
124,6.222222,3.666667,1
114,5.444445,2.888889,1
138,4.962963,2.666667,1
80,24.814816,18.555555,1
124,5.111111,2.777778,1
85,17.962963,13.111111,1
56,28.62963,22.11111,1
106,23.037037,17.222223,1
59,25.074074,18.555555,1
89,18.962963,14.222222,1
73,19.074074,13.888889,1
143,5.037037,2.666667,1
58,20.925926,15.444445,1
96,21.88889,16.222223,1
140,6.333334,3.777778,1
149,5.444445,3.555556,1
107,16.703703,11.888889,1
143,5.296296,3,1
84,23.851852,18,1
64,23.62963,17.88889,1
74,22.407408,16.666668,1
65,20.814816,15.555555,1
57,26.814816,20.222221,1
145,4.074074,1.888889,1
113,20.25926,15.333333,1
112,5.925926,3.444444,1
102,23.074074,17.333334,1
60,19.333334,14.333333,1
122,5.62963,3.222222,1
133,6.444445,3.666667,1
116,22.11111,16.88889,1
85,21.11111,15.444445,1
95,21.407408,16.222223,1
122,5.851852,3.333333,1
51,25.74074,19.444445,1
132,5.740741,3.555556,1
126,6.481482,3.777778,1
117,6.333334,3.888889,1
124,5.888889,3.444444,1
130,5.333334,2.888889,1
113,5.481482,3,1
115,22.037037,16.777779,1
147,4.592593,2.222222,1
113,5.592593,3,1
81,20.481482,15.222222,1
70,26.037037,19.666668,1
144,4.814815,2.666667,1
55,23.444445,17.555555,1
88,21.148148,15.666667,1
139,6.111111,3.555556,1
77,24.481482,18.444445,1
75,24.851852,18.88889,1
114,19.851852,14.888889,1
89,23.88889,18.11111,1
108,17.666666,12.888889,1
116,5.62963,3.111111,1
53,21.555555,16.333334,1
140,5,2.888889,1
56,23.703703,17.666668,1
66,28.407408,21.666666,1
124,7.074074,4.222222,1
115,19.925926,15.111111,1
134,4.740741,2.555556,1
63,20.925926,15.333333,1
124,5.111111,2.666667,1
60,26.74074,20.333334,1
147,4.148148,1.888889,1
128,5.925926,3.444444,1
75,25.962963,19.777779,1
147,6.777778,3.888889,1
66,18.666666,13.444445,1
126,5.777778,3.111111,1
101,20.074074,14.888889,1
129,6.333334,3.777778,1
53,27.074074,20.11111,1
57,26.296297,19.777779,1
56,19.851852,14.666667,1
114,5.259259,3.111111,1
136,6.259259,3.777778,1
74,23.592592,17.666668,1
132,5.37037,2.888889,1
124,5.888889,3.444444,1
111,6.037037,3.444444,1
91,22.481482,16.666668,1
85,21.444445,15.777778,1
123,6.962963,4.555555,1
134,5.296296,2.888889,1
40,17.185184,12.555555,1
86,24.296297,18,1
145,3.925926,2.222222,1
88,22.148148,16.666668,1
102,23.074074,17.333334,1
96,21.74074,16.666668,1
128,5.666666,3,1
71,22.777779,16.777779,1
143,5.444445,2.777778,1
115,16.555555,12.222222,1
115,6.296296,3.666667,1
136,5.62963,3.333333,1
131,5.962963,3.666667,1
116,21.703703,16.333334,1
67,20,14.555555,1
98,20.88889,15.777778,1
75,22.74074,16.88889,1
145,5.296296,3,1
81,22.703703,17,1
77,26.407408,20.222221,1
118,5,2.555556,1
101,21.296297,15.888889,1
72,26.481482,20.11111,1
95,21.11111,16,1
118,5.62963,3.222222,1
131,5.185185,2.888889,1
86,18.592592,13.666667,1
44,18.74074,13.666667,1
123,6.111111,3.555556,1
145,3.925926,2.222222,1
117,5.888889,3.333333,1
92,23.666666,17.555555,1
103,21.851852,16.333334,1
131,5.333334,3,1
116,6.481482,3.666667,1
106,20,14.888889,1
118,6.444445,3.666667,1
68,27.185184,20.444445,1
129,6.333334,3.777778,1
116,6.111111,3.555556,1
113,14.703704,10.111111,1
68,21.592592,15.888889,1
88,20.592592,15.666667,1
140,6,3.666667,1
92,18.703703,13.555555,1
107,18.62963,13.444445,1
67,22.25926,16.333334,1
77,25.185184,19.11111,1
57,26.296297,19.777779,1
110,17.925926,13.444445,1
107,17.185184,12.555555,1
126,7.296296,4.888889,1
113,20.25926,15.333333,1
55,21.037037,15.888889,1
67,23.74074,17.555555,1
120,23.666666,18.444445,1
60,19.925926,14.666667,1
124,6.185185,3.555556,1
142,4.592593,2.333334,1
134,6.074074,3.666667,1
115,6.666666,3.888889,1
141,5.407407,3,1
120,5.962963,3.333333,1
111,5.925926,3.222222,1
138,5.740741,3.333333,1
62,21.222221,15.666667,1
93,20.37037,15.444445,1
90,22.62963,16.777779,1
63,22.37037,17.11111,1
101,22.444445,16.555555,1
145,5.296296,3,1
117,19.88889,14.888889,1
130,6.62963,4.222222,1
60,26.74074,20.333334,1
117,5.777778,3.444444,1
83,18.74074,13.888889,1
142,4.814815,2.444444,1
114,5.888889,3.222222,1
89,21.88889,16.555555,1
61,21.74074,16.11111,1
66,22.62963,16.777779,1
61,23.74074,17.88889,1
130,5.777778,3.222222,1
79,16.814816,12.111111,1
64,22.481482,16.555555,1
54,24.592592,18.444445,1
113,5.518518,3,1
59,21.814816,15.888889,1
50,23.037037,17.444445,1
111,5.407407,3,1
81,19.851852,14.555555,1
116,6.481482,3.666667,1
102,17.925926,13.333333,1
41,22.481482,16.88889,1
104,20.185184,15.444445,1
124,6.037037,3.333333,1
111,3.814815,1.777778,1
134,5.888889,3.333333,1
123,5.814815,3.444444,1
107,18.88889,13.888889,1
131,5.222222,3,1
95,21.407408,16.222223,1
111,18.62963,13.888889,1
80,26,19.555555,1
125,6.185185,3.555556,1
112,6.222222,3.555556,1
101,19.037037,13.888889,1
108,17.11111,12.444445,1
118,5.481482,3.222222,1
135,5.703704,3.222222,1
142,4.666666,2.333334,1
67,20,14.555555,1
121,23.11111,17.555555,1
100,22.222221,16.444445,1
146,5.111111,2.888889,1
111,5.407407,3,1
100,21.074074,15.555555,1
34,20.333334,14.888889,1
147,6.037037,3.222222,1
121,6.407407,3.777778,1
94,21.222221,15.666667,1
136,6.814815,4.111111,1
103,16.148148,11.666667,1
98,17.481482,13.333333,1
137,5.851852,3.333333,1
116,21.703703,16.333334,1
124,6,3.333333,1
44,18.74074,13.666667,1
89,22.333334,16.88889,1
62,27.37037,20.666668,1
55,23.444445,17.555555,1
56,22.74074,16.88889,1
128,5.962963,3.333333,1
116,16.185184,11.555555,1
116,5.407407,2.888889,1
118,21.11111,15.777778,1
117,21.222221,16.222223,1
111,5.666666,3,1
74,21.148148,15.555555,1
116,6.62963,3.888889,1
71,22.333334,16.666668,1
118,6.259259,3.555556,1
133,6.666666,3.888889,1
123,5.814815,3.222222,1
130,5.851852,3.333333,1
128,5.555555,3.111111,1
72,26.222221,19.444445,1
104,21.777779,16.11111,1
62,21.185184,15.777778,1
92,19.074074,14.333333,1
129,6.407407,3.777778,1
130,7.296296,4.666667,1
143,5.666666,3,1
59,23.851852,18,1
69,24.333334,18.444445,1
119,21.592592,16.11111,1
111,19.925926,15.111111,1
103,18.962963,13.888889,1
101,16.925926,12.555555,1
126,4.925926,2.555556,1
125,5.851852,3.444444,1
42,22.592592,16.666668,1
68,17.703703,12.444445,1
128,5.555555,3.111111,1
75,21.333334,15.777778,1
61,18.962963,14,1
58,109.07407,104.44444,2
47,126.37037,121.44444,2
66,122.55556,116.888885,2
64,92.81481,82.55556,2
75,116.703705,111.22222,2
15,132.22223,128.33334,2
18,137.88889,134.33334,2
90,113.48148,106,2
50,107.44444,101.888885,2
15,140.2963,137.44444,2
27,137.51852,133.44444,2
22,137.62962,132.88889,2
57,98.59259,90.22222,2
20,111.703705,107.111115,2
60,123.666664,118.666664,2
35,136.48148,132,2
40,125.14815,119.55556,2
62,125.333336,120.77778,2
58,92.703705,82.66667,2
19,129.92592,126.111115,2
48,122.37037,116.77778,2
109,102.48148,95.77778,2
67,122.888885,117.888885,2
71,125.96296,121.44444,2
82,106.51852,100.77778,2
13,130.40741,126.111115,2
15,129.25926,125.44444,2
57,124.25926,119.44444,2
57,92.92593,83,2
76,90.07407,79.111115,2
89,106.07407,99.666664,2
71,125.96296,121.44444,2
70,112.51852,105.77778,2
35,125.18519,120.44444,2
79,107.74074,102.77778,2
71,89.14815,79.111115,2
29,112.07407,107.111115,2
51,108.74074,104,2
44,99,90.55556,2
65,125.666664,120,2
39,113.37037,105.55556,2
93,86.296295,76.111115,2
58,122.25926,117.55556,2
56,126,121.44444,2
25,102.48148,93.77778,2
62,123.48148,118.77778,2
16,112.96296,108.333336,2
83,90.62963,80.44444,2
33,111.333336,104.22222,2
42,108.92593,104.888885,2
51,123.18519,118.888885,2
13,141.59259,140,2
66,114.22222,107,2
28,112.96296,108.333336,2
68,105.77778,97.333336,2
30,112.96296,108.44444,2
15,140.77777,137.88889,2
25,116.25926,111.333336,2
96,90.81481,80.77778,2
19,114.25926,109.44444,2
107,133.66667,130,2
22,137.96297,133.88889,2
18,112.111115,108.666664,2
67,108.85185,101.55556,2
44,122.59259,118.888885,2
36,114.03704,108.888885,2
54,109.96296,104.888885,2
90,113.48148,106,2
68,125.77778,120.666664,2
52,111.62963,104.666664,2
81,112.92593,104.22222,2
14,112.74074,108.55556,2
31,114.96296,110.44444,2
