@relation segment

@attribute Region-centroid-row numeric
@attribute Region-pixel-count numeric
@attribute Rawred-mean numeric
@attribute Exgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
114,9,6.111111,-7.666666,1
101,9,21.222221,-16.222221,1
61,9,22.666666,-17.555555,1
91,9,22,-17.444445,1
116,9,6.777778,-7.555555,1
115,9,15.666667,-13,1
106,9,20,-15.333333,1
59,9,22.666666,-17.555555,1
131,9,7.222222,-6.666666,1
123,9,8,-7.666666,1
124,9,6.666666,-7.333334,1
104,9,20.555555,-16.11111,1
111,9,19.777779,-14.222222,1
57,9,24.666666,-19.555555,1
123,9,7.888889,-7.222222,1
125,9,7.222222,-7.222222,1
124,9,7.444445,-8.111111,1
128,9,6.888889,-6.777778,1
85,9,18.88889,-14.555555,1
143,9,7.555555,-8,1
86,9,23.555555,-18.88889,1
114,9,7.555555,-7.666666,1
85,9,20.777779,-17,1
73,9,19.222221,-15.555555,1
139,9,6.555555,-7,1
113,9,6.888889,-7.555555,1
92,9,23.11111,-18.333334,1
144,9,6,-6.444445,1
133,9,8.333334,-8.333333,1
121,9,8,-7.888889,1
114,9,7,-8,1
62,9,20.777779,-16.666666,1
115,9,7.333334,-7.888889,1
92,9,18.777779,-15.444445,1
139,9,7.555555,-7.666666,1
98,9,21,-15.333333,1
138,9,6.777778,-6.888889,1
136,9,7.777778,-7.444445,1
51,9,22.666666,-18.88889,1
67,9,19.555555,-16.333334,1
136,9,8.333334,-8.111111,1
51,9,18.777779,-15.777778,1
56,9,21.11111,-17.555555,1
100,9,21.777779,-17.333334,1
95,9,21.333334,-15.555555,1
149,9,5.555555,-7.222222,1
57,9,24.666666,-19.555555,1
67,9,22.555555,-17.777779,1
124,9,8.222222,-8.555555,1
118,9,6.222222,-7.333334,1
111,9,6.888889,-7.222222,1
143,9,6.666666,-6.888889,1
92,9,18.777779,-14.222222,1
55,9,21.666666,-17.666666,1
117,9,7.333334,-8,1
77,9,23.444445,-18.11111,1
53,9,20.88889,-15.666667,1
89,9,18.777779,-14.222222,1
115,9,21.333334,-15.777778,1
130,9,8.444445,-7.222222,1
101,9,19.666668,-15.444445,1
140,9,7.888889,-7.666666,1
116,9,21.222221,-16.11111,1
66,9,25.333334,-20.222221,1
95,9,21.11111,-15.333333,1
60,9,18.88889,-15,1
71,9,21.777779,-17,1
139,9,7.555555,-7.666666,1
111,9,6.444445,-7.666666,1
75,9,21.11111,-16.666666,1
68,9,24.222221,-20.222221,1
89,9,21.333334,-16,1
109,9,19.222221,-14,1
116,9,6.777778,-7.555555,1
118,9,7.555555,-8.333333,1
116,9,7.555555,-8.444445,1
104,9,20.222221,-14.222222,1
120,9,7.777778,-7.888889,1
41,9,20.777779,-16.777779,1
118,9,20.222221,-16,1
111,9,19.777779,-14.444445,1
114,9,19,-14,1
124,9,7.111111,-7.333334,1
92,9,22.777779,-17.666666,1
92,9,20.222221,-14.444445,1
111,9,7.666666,-8.111111,1
107,9,19.88889,-15,1
84,9,23.555555,-17.555555,1
108,9,19,-14.333333,1
142,9,6.777778,-7.111111,1
108,9,19,-14,1
124,9,7.111111,-7.333334,1
125,9,7.333334,-7.888889,1
135,9,7.444445,-7.444445,1
131,9,7.555555,-6.888889,1
64,9,17.555555,-14.666667,1
122,9,7.222222,-7.666666,1
102,9,22.11111,-17.222221,1
138,9,7,-7.333334,1
102,9,18.555555,-13.777778,1
75,9,24,-17.88889,1
115,9,20.555555,-14.444445,1
111,9,6.888889,-7.222222,1
72,9,23.555555,-19.11111,1
136,9,7.111111,-6.888889,1
111,9,7,-8,1
60,9,21.333334,-18.222221,1
54,9,22.777779,-18.444445,1
138,9,7.333334,-7.222222,1
135,9,7.111111,-7.555555,1
73,9,19.777779,-15.888889,1
59,9,20.777779,-17.777779,1
134,9,7.666666,-7.666666,1
129,9,8.444445,-8,1
146,9,5.666666,-6.666666,1
137,9,7.777778,-7.555555,1
143,9,6.111111,-7.555555,1
89,9,21.666666,-16.333334,1
145,9,5.333334,-6.555555,1
125,9,7.333334,-7.888889,1
84,9,23.555555,-17.555555,1
133,9,8.333334,-8.333333,1
126,9,7.666666,-7.555555,1
132,9,7.444445,-6.555555,1
90,9,18.777779,-14,1
106,9,19.555555,-15,1
110,9,4.333334,-6.666666,1
74,9,21,-16.777779,1
115,9,7.777778,-8.333333,1
65,9,20.11111,-15.777778,1
124,9,7.666666,-7.888889,1
140,9,6.555555,-6.333334,1
96,9,20.777779,-15.222222,1
90,9,22,-17.555555,1
124,9,6.888889,-7,1
122,9,7,-7.222222,1
101,9,20.333334,-15.555555,1
42,9,20,-17.777779,1
77,9,24.11111,-18.222221,1
118,9,7.555555,-8.111111,1
104,9,19.222221,-15.111111,1
123,9,6,-6.666666,1
130,9,7.333334,-7.555555,1
64,9,21.777779,-17.222221,1
45,9,20.555555,-16.444445,1
86,9,24.222221,-18.777779,1
81,9,22.333334,-17.11111,1
100,9,20.88889,-15.555555,1
114,9,6.555555,-6.444445,1
88,9,21.444445,-16.444445,1
116,9,21.222221,-16.11111,1
121,9,21.666666,-16.666666,1
74,9,22.555555,-17.777779,1
124,9,7.444445,-8.111111,1
62,9,23.777779,-20.11111,1
126,9,7.666666,-8.111111,1
58,9,20,-16.444445,1
70,9,24.444445,-19.11111,1
103,9,19.222221,-15.333333,1
116,9,7.111111,-7.666666,1
100,9,21.666666,-16.555555,1
130,9,8.555555,-7.888889,1
111,9,4.111111,-6.111111,1
138,9,7.333334,-7.222222,1
129,9,7.888889,-7.666666,1
61,9,20.333334,-16.88889,1
133,9,7.777778,-8.333333,1
118,9,21.555555,-15.222222,1
95,9,21.333334,-15.555555,1
50,9,21.666666,-16.777779,1
113,9,7.111111,-7.777778,1
134,9,7.444445,-7.222222,1
136,9,7.777778,-7.444445,1
135,9,5.666666,-6.444445,1
60,9,24.666666,-19.222221,1
128,9,7.444445,-8,1
81,9,20.333334,-15.888889,1
111,9,6.888889,-7.444445,1
107,9,18.777779,-14.444445,1
116,9,17,-13.888889,1
66,9,18.555555,-15.666667,1
113,9,20,-14.777778,1
107,9,19.444445,-15.555555,1
53,9,22.777779,-20.88889,1
119,9,21.333334,-16.444445,1
61,9,18.666668,-14.888889,1
123,9,7.555555,-7.777778,1
101,9,21.555555,-17.666666,1
116,9,21.333334,-15.666667,1
78,9,24,-18.11111,1
149,9,4.111111,-5.666666,1
80,9,24.333334,-18.777779,1
88,9,18.777779,-14.777778,1
143,9,6.777778,-8,1
59,9,22.333334,-19.555555,1
74,9,21.666666,-17.222221,1
56,9,19.444445,-15.555555,1
69,9,22,-17.666666,1
66,9,21.222221,-17.555555,1
109,9,19.222221,-14.111111,1
116,9,6.555555,-7.555555,1
80,9,24,-19.333334,1
63,9,17.222223,-14.222222,1
133,9,7.777778,-8.333333,1
117,9,6.333334,-7,1
131,9,6.888889,-7,1
40,9,15.666667,-13.888889,1
75,9,22,-17.555555,1
143,9,6.555555,-7.111111,1
60,9,19.333334,-15.777778,1
103,9,21.222221,-16.555555,1
115,9,8.222222,-8.333333,1
124,9,7.444445,-8,1
142,9,6.222222,-6.777778,1
113,9,17.11111,-13.777778,1
44,9,17.333334,-15.222222,1
81,9,20.11111,-15.777778,1
85,9,18.88889,-14.555555,1
103,9,17.666668,-13.444445,1
67,9,25.11111,-20.11111,1
111,9,7,-7.777778,1
128,9,6.888889,-7.333334,1
142,9,6.555555,-6.777778,1
67,9,19.555555,-16.333334,1
131,9,6.666666,-6.888889,1
75,9,23.333334,-18.555555,1
67,9,22.88889,-18.555555,1
108,9,19,-14.333333,1
132,9,7.111111,-7.444445,1
101,9,18.333334,-13.111111,1
123,9,7.111111,-7.111111,1
102,9,20.333334,-14.444445,1
134,9,6.777778,-7.222222,1
34,9,18.222221,-16.333334,1
56,9,23.333334,-19.333334,1
113,9,7.222222,-8.111111,1
117,9,7.666666,-7.333334,1
126,9,6.444445,-7.111111,1
137,9,7.777778,-7.555555,1
118,9,6.555555,-6.777778,1
113,9,20,-14.777778,1
90,9,23.666666,-18.555555,1
93,9,18.88889,-14.777778,1
116,9,7.555555,-8.222222,1
104,9,20.88889,-17,1
55,9,20.555555,-15.444445,1
68,9,17.666668,-15.777778,1
142,9,6.777778,-7,1
140,9,7.888889,-7.666666,1
147,9,5.666666,-8.444445,1
124,9,7.555555,-7.666666,1
110,9,18.88889,-13.444445,1
86,9,18.555555,-14.777778,1
145,9,5.555555,-5.111111,1
