@relation segment

@attribute Region-centroid-row numeric
@attribute Short-line-density-5 numeric
@attribute Short-line-density-2 numeric
@attribute Vegde-sd numeric
@attribute Intensity-mean numeric
@attribute Rawred-mean numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
147,0,0,0.42963,6.037037,5.666666,-1.111111,-8.444445,1
96,0.111111,0,1.007407,21.74074,20.777779,-2.888889,-15.222222,1
62,0,0,2.118518,27.37037,23.777779,-10.777778,-20.11111,1
120,0,0,0.02963,5.962963,7.777778,5.444445,-7.888889,1
123,0,0,0.151852,6.111111,8,5.666666,-7.666666,1
98,0,0,0.666667,17.481482,18.333334,2.555556,-12.444445,1
113,0,0,1.52963,20.25926,20,-0.777778,-14.777778,1
144,0,0,0.062963,4.814815,6,3.555556,-6.444445,1
63,0,0,0.562963,18.074074,17.222223,-2.555556,-14.222222,1
73,0.111111,0,1.085185,20.62963,19.777779,-2.555556,-15.888889,1
60,0,0,0.3,19.925926,19.333334,-1.777778,-15.777778,1
112,0,0,0.418518,5.925926,7.111111,3.555556,-7.444445,1
125,0,0,0.062963,6.185185,7.333334,3.444444,-7.888889,1
123,0,0,0.118518,4.555555,6,4.333334,-6.666666,1
101,0.111111,0,0.385185,20.074074,20.333334,0.777778,-15.555555,1
103,0.111111,0,1.52963,18.962963,20.222221,3.777778,-15.222222,1
103,0.111111,0,3.411113,21.851852,21.222221,-1.888889,-16.555555,1
124,0,0,0.062963,7.074074,8.222222,3.444444,-8.555555,1
111,0,0,0.151852,5.666666,7,4,-8,1
112,0,0,0.385185,6.222222,7,2.333333,-8,1
69,0,0,2.907408,25.666666,23.444445,-6.666666,-19.666666,1
67,0.111111,0,0.88889,20,19.555555,-1.333333,-16.333334,1
125,0,0,0.062963,5.851852,7.222222,4.111111,-7.222222,1
114,0,0,1.129629,19.851852,20,0.444444,-14.888889,1
85,0.111111,0,0.518519,21.11111,20.777779,-1,-17,1
109,0.111111,0,0.240741,17.777779,19.222221,4.333334,-14,1
95,0,0,3.733334,21.11111,21.11111,0,-15.333333,1
69,0,0,1.144444,24.333334,22,-7,-17.666666,1
74,0.111111,0,1.555556,22.407408,21.666666,-2.222222,-17.222221,1
122,0,0,0.107407,5.62963,7,4.111111,-7.222222,1
122,0,0,0.02963,6.407407,8.111112,5.111111,-7.555555,1
128,0,0,0.077778,5.555555,6.888889,4,-7.333334,1
92,0,0,0.562964,23.666666,23.11111,-1.666667,-18.333334,1
64,0,0,2.118519,22.481482,22,-1.444444,-17.777779,1
139,0,0,0.107407,6.111111,7.555555,4.333334,-7.666666,1
75,0,0,0.32963,21.333334,21.11111,-0.666667,-16.666666,1
56,0,0,0.951851,22.74074,21.11111,-4.888889,-17.555555,1
117,0,0,0.122222,6.444445,7.333334,2.666667,-8,1
104,0,0,3.629631,18.703703,19.222221,1.555556,-15.111111,1
62,0,0,0.518519,21.222221,20.777779,-1.333333,-16.666666,1
149,0,0,0.251852,5.444445,4.111111,-4,-5.666666,1
138,0,0,0.074074,5.444445,7,4.666666,-7.333334,1
111,0,0,0.240741,5.407407,6.888889,4.444445,-7.222222,1
118,0,0,0.151852,6.074074,7.666666,4.777778,-7.555555,1
117,0,0,0.207407,19.88889,20.666668,2.333333,-15,1
60,0,0,2.329629,26.74074,24.666666,-6.222222,-19.222221,1
113,0,0,0.240741,5.481482,7.111111,4.888889,-7.444445,1
149,0,0,0.251852,5.444445,4.111111,-4,-5.666666,1
125,0,0,0.062963,6.185185,7.333334,3.444444,-7.888889,1
116,0,0,1.633333,21.703703,21.222221,-1.444444,-16.11111,1
77,0,0,3.940742,24.481482,23.444445,-3.111111,-18.11111,1
143,0,0,0.044444,4.518518,6.111111,4.777778,-7.555555,1
124,0,0,0.074074,5.888889,7.111111,3.666667,-7.333334,1
102,0,0,1.851851,17.925926,18.555555,1.888889,-13.777778,1
91,0.111111,0,2.177777,19.74074,19.777779,0.111111,-14.555555,1
136,0,0,0.122222,6.814815,8.333334,4.555555,-8.111111,1
145,0,0,0.162963,5.296296,6.333334,3.111111,-6.888889,1
77,0,0.111111,1.851852,25.185184,24.11111,-3.222222,-18.222221,1
81,0.111111,0,1.674073,22.703703,22.333334,-1.111111,-17.11111,1
86,0.111111,0,0.833333,23.814816,23.333334,-1.444444,-17.777779,1
109,0,0,0.488889,17.25926,19.222221,5.888889,-14.111111,1
115,0.111111,0,1.440742,19.925926,20.555555,1.888889,-14.444445,1
86,0,0,1.218519,24.296297,23.555555,-2.222222,-18.88889,1
118,0,0,0.385186,21.11111,20.222221,-2.666667,-16,1
137,0,0,0.166667,5.851852,7.777778,5.777778,-7.555555,1
142,0,0,0.107407,5.037037,6.555555,4.555555,-6.777778,1
68,0,0,1.485186,21.592592,20.444445,-3.444444,-17.11111,1
146,0,0,0.122222,5.111111,5.666666,1.666667,-6.666666,1
44,0,0,2.388888,18.74074,17.333334,-4.222222,-15.222222,1
142,0.111111,0,0.122222,4.666666,6.777778,6.333334,-7,1
61,0,0,1.574074,21.74074,20.333334,-4.222222,-16.88889,1
116,0,0,0.151852,16.185184,17,2.444444,-13.888889,1
126,0,0,0.062963,5.777778,7.444445,5,-8,1
90,0,0,0.577778,24.851852,23.666666,-3.555556,-18.555555,1
108,0,0,0.8,17.666666,19,4,-14.333333,1
131,0,0,0.088889,5.222222,7.222222,6,-6.666666,1
128,0,0,0.077778,5.555555,6.888889,4,-7.333334,1
147,0,0,0.133333,4.592593,4.111111,-1.444444,-7.111111,1
124,0,0,0.162963,5.111111,6.666666,4.666666,-7.333334,1
135,0,0,0.118519,5,6.888889,5.666666,-7,1
101,0,0,1.288888,21.296297,21.222221,-0.222222,-16.222221,1
