@relation segment

@attribute Region-centroid-row numeric
@attribute Intensity-mean numeric
@attribute Exred-mean numeric
@attribute Exblue-mean numeric
@attribute Exgreen-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
50,23.037037,-4.111111,20.88889,-16.777779,-1.741254,1
147,4.592593,-1.444444,8.555555,-7.111111,-1.561754,1
81,19.851852,1.444444,14.444445,-15.888889,-1.472378,1
119,21.592592,-0.777778,17.222221,-16.444445,-1.57896,1
66,22.62963,-4.222222,21.777779,-17.555555,-1.733544,1
53,21.555555,-2,17.666666,-15.666667,-1.662177,1
115,6.777778,3,5.333334,-8.333333,-1.210357,1
140,5,4.666666,1.666667,-6.333334,-0.783647,1
68,27.185184,-8.888889,29.11111,-20.222221,-1.848523,1
117,5.777778,1.666667,5.333334,-7,-1.353896,1
126,4.925926,4.555555,2.555556,-7.111111,-0.877707,1
60,23.777779,-4,21.666666,-17.666666,-1.713134,1
69,25.666666,-6.666666,26.333334,-19.666666,-1.79139,1
112,6.222222,2.333333,5.666666,-8,-1.273992,1
75,24.851852,-2.555556,20.444445,-17.88889,-1.652768,1
56,26.444445,-9.333333,28.666666,-19.333334,-1.863182,1
93,20.37037,-4.444445,19.222221,-14.777778,-1.730306,1
64,24.074074,-4.222222,23.444445,-19.222221,-1.724894,1
133,6.666666,5,3.333333,-8.333333,-0.924817,1
111,18.62963,3.444444,10.777778,-14.222222,-1.333792,1
116,5.62963,3.444444,4.111111,-7.555555,-1.099624,1
40,17.185184,-4.555555,18.444445,-13.888889,-1.783602,1
90,22.62963,-1.888889,19.444445,-17.555555,-1.622331,1
102,17.925926,1.888889,11.888889,-13.777778,-1.447037,1
146,5.111111,1.666667,5,-6.666666,-1.258358,1
98,20.88889,0.333333,15,-15.333333,-1.528895,1
118,6.259259,3.888889,4.222222,-8.111111,-1.076198,1
118,5.481482,3.222222,3.555556,-6.777778,-1.053347,1
58,20.925926,-2.777778,19.222221,-16.444445,-1.685074,1
134,6.074074,4.111111,3.111111,-7.222222,-0.966318,1
103,16.148148,4.555555,8.888889,-13.444445,-1.219211,1
124,6.037037,4.222222,3.888889,-8.111111,-1.02473,1
103,18.333334,2.666667,12.666667,-15.333333,-1.397414,1
