@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R7,11-12,15-16,18,20'

@attribute Vegde-sd numeric
@attribute Rawred-mean numeric
@attribute Rawblue-mean numeric
@attribute Exblue-mean numeric
@attribute Exgreen-mean numeric
@attribute Saturatoin-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
0.772202,111.888885,139.77779,50.22222,-16.777779,0.199347,2
0.136083,0,0.111111,0.222222,-0.111111,0.111111,5
1.451691,56.22222,77.77778,43.666668,-22.666666,0.285333,6
3.155556,2.222222,11.444445,15.777778,-3.888889,0.833935,3
0.136083,0,0.111111,0.222222,-0.111111,0.111111,3
0.942809,6,14.555555,17.11111,-8.555555,0.607768,5
1.470701,48.555557,67.22222,39.11111,-22.222221,0.30405,6
0.928958,11.222222,25.777779,26.777779,-9.888889,0.562158,3
0,0,0,0,0,0,5
0.518518,0,3.777778,7.111111,-2.888889,1,3
0.54433,95.666664,126.22222,51.88889,-12.111111,0.241934,2
2.812669,17.88889,29.555555,22.777779,-10.555555,0.395663,5
12.795401,41.77778,61.11111,33.88889,-9.777778,0.358975,3
10.22995,30.777779,41.666668,22,-11.333333,0.293949,4
1.149879,4.111111,13.222222,15.666667,-4,0.695088,3
3.124574,50.77778,72.77778,44.77778,-23.555555,0.312834,6
7.885187,2.444444,9.555555,12.777778,-4.222222,0.804724,3
0.928958,33.555557,49.77778,32.22222,-15.777778,0.335026,4
2.105549,42.444443,61.555557,38,-18.666666,0.315228,4
0.862963,6.333334,11.888889,11.777778,-6.888889,0.520578,4
0.586892,103.888885,133.33334,49.666668,-11,0.220748,2
8.141569,27.555555,41.11111,27.222221,-13.777778,0.338407,4
2.977778,21.777779,29.777779,20.666666,-17.333334,0.422223,1
0.374074,7,7.666666,4.888889,-7.777778,0.562919,1
0.311111,0.222222,3.222222,6.111111,-3.222222,0.977778,5
0.118519,0.111111,6,11.222222,-4.777778,0.986111,3
3.085188,19.11111,34.88889,30.555555,-13.777778,0.449747,4
0.207407,134.33334,149.11111,26.555555,-8.777778,0.09906,2
1.069786,50.22222,71.55556,42.666668,-21.333334,0.302514,6
1.718519,1.222222,9.222222,13.666667,-3.333333,0.89084,3
0.062963,1,5.444445,9,-4.666666,0.878395,5
3.944446,57.88889,78.77778,42.333332,-22,0.27569,4
1.763834,49.77778,69.22222,40,-21.666666,0.29685,6
3.188889,6,5.888889,-6.666666,13,0.563467,7
0.936897,114.666664,141.77779,47.666668,-14,0.191215,2
0.266666,17.333334,34.444447,32.77778,-14.222222,0.496719,5
0.298142,4.111111,11.444445,15,-8,0.67037,5
0.544331,0.222222,0.444444,0.444444,-0.222222,0.111111,5
0.062964,115.44444,140.55556,45.11111,-14.888889,0.178636,2
0.444447,63.22222,83.111115,41.333332,-23,0.257599,4
991.7184,19.222221,29.333334,16.555555,-2.777778,0.508994,3
45.84074,2.333334,10.444445,14.777778,-5.222222,0.872146,3
0.296297,12.111111,23.88889,23.11111,-10.888889,0.492526,5
1.455554,11.222222,13.555555,-3.444444,13.888889,0.423483,7
0.779364,13.444445,18,2.666667,8.333333,0.324965,7
0.64693,48.666668,67.111115,37.77778,-20.222221,0.289793,6
0.862963,46.88889,60.666668,29,-16.666666,0.248092,4
0.251852,7.444445,6.888889,2.666667,-7,0.513889,1
0.107407,6.444445,5.222222,1.444444,-6.555555,0.603704,1
1.585185,0.444444,1.555556,2.444444,-1.555556,0.288889,5
0.688531,13.333333,14,-5.222222,12.444445,0.342408,7
0.340741,11.111111,11.888889,-5.111111,12.555555,0.376253,7
2.162963,6.222222,6,-1.222222,1.777778,0.191049,7
0.82776,41.555557,45.88889,11.333333,-9.666667,0.152009,4
13.277781,2.111111,9.777778,13.666667,-4.333334,0.824784,3
81.485176,45,59.555557,31.222221,-18.777779,0.278726,4
0.760117,116.22222,143.11111,47.444443,-14.222222,0.187853,2
2.083444,37.555557,41.666668,11.111111,-9.888889,0.167908,4
2.685185,11.333333,12.333333,-3.666667,10.333333,0.327918,7
5.722223,4.888889,4.666667,-6,11.333333,0.59315,7
0.151852,0,2.888889,5.777778,-2.888889,1,3
222.70003,8.777778,19.88889,19.444445,-5.555555,0.630945,3
0.118518,1,4.666667,7.666666,-4.333334,0.874074,5
0.207408,110.22222,138.11111,50,-16.333334,0.201898,2
0.278887,0.222222,0.777778,1.111111,-0.555556,0.240741,5
2.118519,22,28.88889,19.222221,-17.777779,0.426923,1
0.666667,10.888889,9.222222,-11.111111,17.222221,0.508139,7
0.172133,0,0.222222,0.444444,-0.222222,0.222222,5
4.033196,17.88889,25.11111,15.666667,-9.666667,0.402492,3
0.596296,37.444443,54.666668,31.777779,-11.888889,0.301508,6
0.477778,0.777778,4.111111,6.888889,-3.777778,0.896296,5
1.241266,0.777778,1.111111,1.111111,-1.222222,0.231481,5
0.136083,0,1.111111,2.222222,-1.111111,1,5
0.907406,117.666664,141.66667,42.11111,-12.222222,0.169397,2
0.833333,5.333334,5,-4.888889,8.777778,0.5039,7
0.42963,5.777778,5.888889,-5.444445,11.222222,0.51532,7
1.618517,24,36.22222,28.222221,-19.777779,0.440509,1
41.288895,4.333334,14.555555,18.222221,-5.777778,0.742819,3
0.421636,2.666667,5,5.333334,-3.666667,0.656085,5
0.918519,6.222222,5.555555,-6.666666,11.333333,0.543201,7
0.807373,0.222222,1.777778,3.111111,-1.555556,0.407407,3
1.851851,9.888889,12.111111,-3.666667,14,0.452229,7
0.151853,131.55556,146.44444,26,-7.333334,0.101515,2
0.622222,99.44444,125.55556,50.11111,-21.88889,0.207702,2
1.90516,53.11111,75.111115,45,-24,0.308465,6
2.607407,8.555555,7.666666,-5,7.333334,0.373693,7
1.306678,13,24.555555,22.666666,-10.666667,0.477489,5
0.044444,4.111111,4,-6,11.666667,0.617059,7
0.8,20.666668,27.333334,18.333334,-16.666666,0.427811,1
0.551852,6.666666,7,-2.222222,5.444445,0.383372,7
0.860663,42.77778,62.88889,39.666668,-19,0.319474,4
1.555557,3.666667,10.666667,13.444445,-5.888889,0.657744,5
1.496909,51.77778,72.55556,41.22222,-20.11111,0.286791,6
0.779363,10.444445,9.444445,-10.333333,17.666666,0.497095,7
1.041723,96.44444,125.44444,49,-11,0.231166,2
6.829628,13.111111,16.666668,1.777778,7.111111,0.292729,7
0.522222,5.111111,10.111111,10.444445,-5.888889,0.541667,4
1.854924,45.555557,64.22222,37.666668,-19.333334,0.299707,6
0.607409,114.111115,139.77779,47.77778,-18.555555,0.18354,2
1.440741,2.777778,11.555555,16.444445,-6.555555,0.773815,3
1.223232,16.88889,28.444445,22.777779,-10.888889,0.414807,5
0.32963,28.444445,37.11111,17.777779,-9.555555,0.232343,6
0,0,0,0,0,0,5
7.662959,29.222221,39.666668,21.333334,-11.333333,0.27036,6
0.118518,73.55556,115.333336,77.666664,-30,0.362172,2
0.922221,28.333334,40.333336,24.666666,-13.333333,0.315363,6
0.711111,37.77778,47.666668,21.444445,-13.222222,0.24473,4
1.932183,44.22222,62.444443,37,-19.333334,0.300667,6
0.774077,115.888885,141.22223,45.444443,-14.888889,0.179353,2
0.611111,0.222222,2.666667,4.555555,-1.777778,0.953704,3
1.096294,53.333332,70.333336,35.11111,-19.222221,0.259048,4
2.237722,51.333332,72.44444,42.11111,-20.88889,0.295523,6
0.399999,100.77778,126.333336,48.88889,-21.11111,0.202279,2
1.971086,41,60.666668,39.88889,-20.777779,0.33466,4
2.257497,49.88889,69.88889,40.88889,-21.777779,0.302283,6
0.607407,120.77778,143.22223,39.22222,-11.111111,0.15668,2
0.433334,1,5.555555,8.222222,-2.777778,0.836773,3
1.773257,50.444443,72.111115,43.444443,-21.88889,0.30568,6
0.340741,131.44444,146.66667,28.88889,-12.111111,0.104539,2
1.94074,16.222223,29.222221,25.444445,-11.888889,0.441573,4
0.712325,0.333333,1.666667,2.888889,-1.777778,0.861111,5
0.507407,23.777779,35.444447,27.666666,-20.333334,0.450926,1
0.418518,1,7.444445,11.888889,-4.444445,0.881217,3
0.255556,21.11111,26.333334,15.333333,-15,0.382629,1
0,0,0,0,0,0,5
0.074074,5.111111,4.444445,-7.444445,12.888889,0.603704,7
4.374074,0.888889,8.111112,12.666667,-3.666667,0.911448,3
3.284081,39.666668,55.555557,31.444445,-15.222222,0.292957,6
0.3,7.333334,7.222222,3.777778,-7.888889,0.563713,1
4.918518,19.11111,23.222221,13.444445,-14.555555,0.399927,1
1.115547,54.77778,78.77778,48.22222,-24.444445,0.310288,6
1.511111,2.666667,11.888889,16.777779,-5.888889,0.778863,3
0.433333,7.888889,7.333334,3,-7.666666,0.540123,1
0.207407,0,2.111111,4.111111,-1.888889,0.888889,3
1.646545,8.777778,8.111112,-9.444445,16.88889,0.538945,7
1.129629,102.55556,132,55.88889,-23.444445,0.222954,2
1.022222,22.11111,27.333334,16.333334,-17,0.406451,1
0.02963,0,0.777778,1.555556,-0.777778,0.555556,5
1.858913,44,58.88889,32,-19.333334,0.290427,6
0.151852,7.666666,7,2.777778,-7.555555,0.537698,1
1.773259,16,22.555555,13.444445,-7.222222,0.386612,3
0.455419,112.333336,138.22223,44.333332,-11,0.187217,2
6.433995,51.88889,72.333336,42,-22.666666,0.299654,6
2.462965,20.222221,37,31.666666,-13,0.454232,5
0.182574,0.111111,3.888889,6.333334,-1.333333,0.977778,3
0.296296,0,0.666667,1.222222,-0.444444,0.333333,3
0.936898,12.666667,12.444445,-8.777778,16.88889,0.420244,7
0.952579,41.333336,56.555557,31.333334,-17,0.286663,6
5.096296,11.444445,13.333333,-3.666667,13,0.39534,7
2.810035,44.11111,57.333332,28.11111,-16.555555,0.259189,6
0.459466,109.22222,139,51.88889,-14.444445,0.214204,2
1.051852,53.333332,69.55556,34.11111,-19.555555,0.257014,4
0.133333,0,3.777778,7.222222,-3.111111,1,3
0.760118,115.44444,142.44444,47.333332,-13.666667,0.189527,2
2.360949,42.11111,58.22222,33.11111,-17.88889,0.292469,6
0.788889,14.444445,19.777779,2.333333,11.333333,0.363717,7
2.429628,13,16,-2.555556,14.111111,0.396909,7
0.222222,1.555556,7.777778,11.555555,-4.444445,0.853199,3
0.207407,20.666668,24.11111,12.666667,-15,0.381277,1
1.95978,14,14.888889,-9,20.666666,0.439718,7
0.327731,95.111115,128.88889,57.555557,-13.777778,0.262046,2
0.418518,7.111111,7.222222,3.888889,-7.444445,0.544092,1
0.107407,107.44444,132.44444,50,-25,0.197114,2
2.666666,31.11111,43.444443,25.444445,-13.888889,0.303377,6
0.077778,6.888889,6.666666,3.333333,-7.333334,0.561508,1
0.862963,10.888889,13,-3.444444,13.222222,0.421621,7
2.118519,28.777779,38,18.88889,-10.111111,0.250721,6
0.477777,18.666668,36.555557,33.666668,-13.666667,0.502569,5
0.607408,22.11111,29.777779,20.11111,-17.222221,0.417763,1
4.951616,48.22222,59.22222,24.444445,-15.888889,0.224617,4
0.433333,7,6.222222,2.444444,-7.222222,0.574074,1
0.255559,133,147,27.11111,-12.222222,0.095184,2
0.928958,35.666668,49.77778,28.777779,-15.222222,0.297096,4
1.52963,20.222221,22.777779,11.444445,-15.222222,0.388385,1
1.809441,46.88889,65,37.333332,-20.333334,0.297059,6
0.018519,7.555555,20.666668,25.555555,-11.777778,0.634464,5
1.485185,23.11111,30.444445,19.666666,-17.333334,0.405022,1
28.907421,33.11111,47.444443,28.666666,-14.333333,0.320613,4
3.028874,46.555557,63.666668,35.666668,-20,0.290148,6
0.3,4.666667,11.222222,12.777778,-5.888889,0.587234,5
2.703222,48.555557,72.77778,49.22222,-25.777779,0.344409,4
0.722648,40.333336,45.666668,13.666667,-11.333333,0.181732,4
22.507414,5.111111,14.111111,16.333334,-5.666666,0.705482,3
2.149936,47.333332,65.66667,37,-19,0.293586,6
0.611111,16.444445,27.333334,21.666666,-10.666667,0.405936,4
1.822696,12,14.777778,-1,10.333333,0.35402,7
17.3628,37.444443,49.444443,25.222221,-14.444445,0.280578,4
1.162691,13.555555,14.333333,-6.111111,14.555555,0.384903,7
0.477778,4,10.444445,12.666667,-6,0.617593,5
3.644444,26.11111,37.666668,27.11111,-19.555555,0.41394,1
0.162964,129.77779,146.33334,30.11111,-10.555555,0.113055,2
0.118519,6.888889,5.444445,1.333333,-7,0.613757,1
0.474073,114.22222,139.66667,44.88889,-13.444445,0.182073,2
1.574073,19.666668,27.777779,20.555555,-16.777779,0.44725,1
2.907408,23.444445,34.444447,26.333334,-19.666666,0.44486,1
0.952579,11.666667,12.555555,-5.666666,14,0.388863,7
2.551854,21.444445,41.555557,37.444443,-14.555555,0.483771,4
1.129629,20,24.666666,14.444445,-14.888889,0.394964,1
0.182575,13.222222,24.666666,22.555555,-10.777778,0.46348,5
1.973905,55.333332,79.22222,48.444443,-25.222221,0.311587,6
3.001851,41.22222,61.444443,39.666668,-18.666666,0.327632,4
1.485185,10.666667,12.444445,-4.888889,15.111111,0.446012,7
0.666667,18.333334,20.777779,9.888889,-12.444445,0.356724,1
1.669998,45.444443,64.333336,39.11111,-21.555555,0.317566,6
3.442652,29.11111,44.444443,31,-16,0.353548,4
0.429629,22.11111,31.333334,22.88889,-18.11111,0.43596,1
0.062963,0,3.333333,6.555555,-3.111111,1,3
0.240741,7.444445,6.666666,2.666667,-7.666666,0.575397,1
0.327731,99,129.33334,51.666668,-12.333333,0.234493,2
0.418515,121,142.66667,38.22222,-11.444445,0.151812,2
0.975628,59.444443,79.44444,41.22222,-22.444445,0.266776,4
0.785185,4.111111,8.777778,9.777778,-5.555555,0.588163,1
0.088889,0.111111,4.444445,8.333333,-3.666667,0.977778,3
0.118518,7.333334,6.888889,3.111111,-7.555555,0.549603,1
9.633328,28.444445,40.333336,23.666666,-11.666667,0.296365,6
0.443051,111.77778,138.88889,47.11111,-12.888889,0.1952,2
1.633334,7,12.222222,11.333333,-7,0.503086,4
0.02963,0,0.444444,0.888889,-0.444444,0.333333,5
0.151852,6.888889,7.444445,4.666666,-7.666666,0.553571,1
0.490653,53.444443,76.22222,45.555557,-22.777779,0.303179,4
2.559658,15.444445,17.777779,-7.444445,21.88889,0.441516,7
0.918519,6.222222,5.555555,-6.666666,11.333333,0.543201,7
