@relation segment

@attribute Region-centroid-row numeric
@attribute Rawred-mean numeric
@attribute Rawgreen-mean numeric
@attribute Exgreen-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
128,6.888889,3.111111,-7.333334,-0.985811,1
111,19.777779,15.111111,-14.444445,-1.58144,1
61,20.333334,16.11111,-16.88889,-1.737293,1
51,18.777779,14.333333,-15.777778,-1.68129,1
119,21.333334,16.11111,-16.444445,-1.57896,1
142,6.777778,2.444444,-7.111111,-0.675123,1
75,21.11111,15.777778,-16.666666,-1.590164,1
60,18.88889,14.333333,-15,-1.623392,1
117,7.333334,3.777778,-8,-1.233256,1
107,19.444445,13.444445,-15.555555,-1.370369,1
85,18.88889,13.111111,-14.555555,-1.386867,1
56,23.333334,20,-19.333334,-1.863182,1
124,7.444445,3.333333,-8.111111,-1.02473,1
113,17.11111,10.111111,-13.777778,-0.9757,1
143,6.111111,2,-7.555555,-0.87829,1
139,6.555555,3,-7,-1.004936,1
135,7.111111,3,-7.555555,-0.892179,1
118,6.222222,2.555556,-7.333334,-1.047198,1
85,20.444445,15.777778,-17,-1.659879,1
95,21.11111,16,-15.333333,-1.555549,1
81,20.11111,15.222222,-15.777778,-1.566335,1
104,20.555555,16.555555,-16.11111,-1.72879,1
116,6.777778,3.111111,-7.555555,-1.099624,1
65,20.11111,15.555555,-15.777778,-1.665853,1
135,5.666666,2,-6.444445,-0.807848,1
116,7.111111,3.555556,-7.666666,-1.163245,1
100,21.666666,15.555555,-16.555555,-1.477019,1
83,19.11111,13.888889,-14.555555,-1.456819,1
89,23.11111,18.11111,-17.333334,-1.664008,1
101,21.555555,16.555555,-17.666666,-1.674318,1
124,7.444445,3.333333,-8.111111,-1.02473,1
130,7.333334,3.333333,-7.555555,-0.963048,1
110,18.88889,13.444445,-13.444445,-1.345096,1
107,18.333334,12.555555,-13.888889,-1.312499,1
73,19.777779,15.333333,-15.888889,-1.675465,1
143,6.666666,3,-6.888889,-0.914813,1
133,7.777778,3.666667,-8.333333,-1.077659,1
111,6.888889,3,-7.222222,-0.897859,1
103,19.222221,13.222222,-15.333333,-1.397414,1
57,24,20.222221,-19.777779,-1.837675,1
122,7.222222,3.444444,-7.666666,-1.05144,1
131,7.222222,3,-6.666666,-0.621222,1
124,7.666666,3.555556,-7.888889,-0.95784,1
117,6.888889,3.333333,-7.666666,-1.179692,1
108,21,16.555555,-16.11111,-1.683529,1
68,20.444445,15.888889,-17.11111,-1.700324,1
92,20.222221,14.555555,-14.444445,-1.408242,1
118,7,3.222222,-7.222222,-0.960827,1
149,5.555555,5.111111,-7.222222,-2.018631,1
56,26.11111,22.11111,-19.555555,-1.819915,1
133,7.777778,3.666667,-8.333333,-1.077659,1
114,7,3.222222,-8,-1.151837,1
115,21.333334,16.777779,-15.777778,-1.619549,1
54,22.777779,18.444445,-18.444445,-1.760752,1
131,6.666666,2.888889,-6.888889,-0.874641,1
132,7.111111,2.888889,-7.444445,-0.808383,1
86,24.222221,20.222221,-18.777779,-1.804829,1
98,18.333334,13.333333,-12.444445,-1.360437,1
90,23.666666,18.666668,-18.555555,-1.705942,1
123,8,3.555556,-7.666666,-0.761648,1
