@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,15-17,19-20'

@attribute Region-centroid-row numeric
@attribute Exblue-mean numeric
@attribute Exgreen-mean numeric
@attribute Value-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
229,0.444444,10.444445,21.222221,2.651605,7
120,6.888889,-2.111111,3.888889,-2.315721,3
62,50.77778,-22.222221,127.111115,-2.178149,2
146,24.88889,-11.111111,29.666666,-2.164971,4
92,25.444445,-11.888889,20.555555,-2.137851,5
136,29.444445,-9.888889,25.333334,-2.307511,3
13,39,-10,144.77777,-2.386251,2
138,1.444444,-6.888889,6.777778,-0.722894,1
75,82,-32.333332,115.888885,-2.232,2
68,57.333332,-25.333334,124.888885,-2.169999,2
100,4.666666,-1.333333,2.777778,-2.337096,3
75,26.444445,-18.555555,34.77778,-1.8356,1
173,44.333332,-23.666666,71.55556,-2.048199,6
155,18.777779,-8.222222,17.555555,-2.140531,5
184,35.22222,-21.11111,62.333332,-1.96448,6
13,51.333332,-15,135.77779,-2.351897,2
233,-2.111111,13.222222,17,2.49158,7
196,33.11111,-16.222221,57.11111,-2.105677,6
140,2.555556,-1.777778,1.888889,-1.838877,5
181,-5.222222,12.777778,23.88889,2.189135,7
187,-7.333334,19.333334,25.11111,2.254303,7
236,-4.888889,9.777778,14.333333,2.083229,7
186,34.88889,-20.777779,60.444443,-1.968511,6
75,31.333334,-8.666667,65.44444,-2.356754,3
111,4.888889,-7.777778,7.888889,-1.175773,1
81,40.88889,-14.444445,55.555557,-2.274461,3
108,29.555555,-16.444445,55.444443,-2.015554,4
147,38,-20,62.444443,-2.056377,4
66,21.777779,-17.555555,29.88889,-1.733544,1
57,59.22222,-28.11111,90.111115,-2.128801,4
54,52.444443,-15.222222,127.44444,-2.351182,2
131,6.333334,-4.333334,3.666667,-1.871048,5
94,25.666666,-13,28.777779,-2.084893,5
190,39,-19.666666,71.111115,-2.102898,6
85,73.333336,-30.333334,118,-2.208414,2
161,11.222222,-6.444445,10.888889,-1.996307,4
223,-6,11.333333,10.444445,2.046588,7
105,20.555555,-9.777778,29.555555,-2.125548,5
52,43.333332,-12.666667,140.22223,-2.348494,2
118,18.777779,-15.222222,29,-1.707392,1
201,-2.888889,16.777779,26.88889,2.467938,7
203,-5.555555,17.777779,25.444445,2.320382,7
134,2.777778,-7.222222,7,-0.912631,1
71,44.77778,-13.555555,140.88889,-2.339758,2
148,2.777778,9.111111,19.444445,2.91248,7
89,46.555557,-22.777779,74.44444,-2.108757,4
158,11.333333,-7,12.222222,-1.943449,4
58,53.22222,-15.111111,128.11111,-2.357271,2
193,33.77778,-18.222221,63,-2.080174,6
65,41.77778,-20.88889,74.55556,-2.091037,4
140,15.555555,-3.777778,15.111111,-2.417818,3
44,19.444445,-15.222222,25.222221,-1.753726,1
160,39.555557,-17.777779,58.333332,-2.162999,6
152,2.888889,-1.777778,2.333334,-2.007351,5
139,3.333333,-7.666666,7.555555,-0.965946,1
116,5.222222,-8.444445,8.333334,-1.19107,1
122,27.444445,-9.555555,25.333334,-2.247266,3
86,19.222221,-17.777779,30.222221,-1.60859,1
89,23.333334,-11.333333,25.777779,-2.113032,5
116,26.666666,-13.333333,38.333336,-2.090781,4
249,-4.888889,14.111111,27.555555,2.28263,7
80,24.11111,-5.222222,31.666666,-2.431513,3
168,-6.333334,19,31.444445,2.302124,7
135,41.88889,-23.11111,83.888885,-2.024945,4
133,3.111111,-1.888889,1.777778,-1.999063,5
152,0,0,0,0,5
61,20.777779,-17.555555,30.666666,-1.700913,1
120,27.88889,-18.444445,69.333336,-1.892977,4
44,67.333336,-25.333334,121.44444,-2.254541,2
30,53.333332,-12.666667,129,-2.405295,2
110,23.11111,-9.888889,39.333336,-2.187242,5
76,79.44444,-32.88889,116.55556,-2.208019,2
88,11,-4,6.444445,-2.269545,3
222,-11.444445,16.88889,16.11111,1.870487,7
148,0,0,0,0,5
31,27.11111,-10.222222,145.44444,-2.251504,2
91,14.444445,-14.555555,24.555555,-1.55225,1
233,-5.111111,19.88889,33.444447,2.38935,7
136,26.11111,-9.555555,20.88889,-2.268991,3
36,55.22222,-15.444445,132.44444,-2.362237,2
119,15.111111,-6.888889,13.666667,-2.142708,5
194,46,-24,76.111115,-2.060549,6
77,35.333332,-19.333334,71.333336,-2.030875,4
133,1.777778,-0.888889,0.888889,-2.094395,5
127,22.444445,-14.222222,48.22222,-1.908348,4
30,50.555557,-13.111111,130.11111,-2.385308,2
62,40.11111,-12.888889,138.77779,-2.315962,2
98,15,-15.333333,25.88889,-1.528895,1
93,25.444445,-11.888889,22.88889,-2.137493,5
192,46.88889,-24.777779,76.44444,-2.055457,6
159,28.777779,-12.888889,46.22222,-2.316872,6
124,6.444445,-3.222222,3.222222,-2.094395,3
62,41.555557,-14.777778,140.33334,-2.275425,2
210,-2.888889,13.444445,17.444445,2.42875,7
130,4.666666,-2.333333,2.333334,-2.094395,3
124,3.888889,-8.111111,7.666666,-1.02473,1
65,48,-17,141.66667,-2.273744,2
93,13,-4,9.333334,-2.329423,3
226,-6.666666,18.666666,24.222221,2.27303,7
98,73.666664,-28.666666,116.888885,-2.238522,2
195,34,-17.333334,59.666668,-2.081095,6
127,36.22222,-18.777779,57.333332,-2.061036,4
111,4.666666,-7.666666,7.222222,-1.181388,1
54,23.88889,-18.444445,32.555557,-1.760752,1
131,0,0,0,0,3
181,-2.555556,14.111111,24,2.458471,7
90,43.77778,-21.222221,79.77778,-2.108813,4
98,21.11111,-12.222222,41,-1.96031,4
248,-5.333334,16.333334,32.333336,2.285098,7
137,9.666667,-5,6.333334,-2.075071,5
220,-5.222222,10.111111,11.555555,2.09315,7
218,-3.444444,12.555555,19.11111,2.362146,7
190,35.666668,-19,62.333332,-2.048697,6
113,15.555555,-14.777778,25.444445,-1.585609,1
21,25.777779,-14.888889,49.333332,-1.990806,4
95,28.444445,-16.555555,56.333332,-1.970802,4
131,2.333333,-7,7.222222,-0.850783,1
126,37.88889,-21.444445,70.44444,-2.006029,4
186,25.777779,-13.555555,43.88889,-2.060122,6
187,34.11111,-20.88889,59.88889,-1.947472,6
115,15.666667,-13,21.88889,-1.54801,1
110,9.222222,-4.111111,4.888889,-2.152507,3
110,7.444445,0.111111,6.444445,-2.618651,3
58,49.555557,-14.111111,138.77779,-2.357271,2
159,28.777779,-12.888889,46.22222,-2.316872,6
68,1.777778,-1.222222,2.888889,-1.861154,5
95,48.11111,-23.555555,71.66667,-2.107858,4
215,-4.555555,12.777778,21.444445,2.266094,7
196,42.22222,-22.444445,75.66667,-2.048736,6
111,12.666667,-4.666666,9.111111,-2.216473,3
142,1.222222,-7.111111,6.777778,-0.675123,1
45,32.11111,-17.222221,63.77778,-2.045905,4
183,-2.333333,14.666667,23,2.483198,7
132,1.444444,-6.555555,7.555555,-0.726018,1
80,24.11111,-5.222222,31.666666,-2.431513,3
233,-2.111111,12.222222,15.777778,2.476615,7
62,30.88889,-20.11111,37.666668,-1.888408,1
102,34.333332,-20,69.66667,-1.985584,4
208,-7.666666,15.666667,20,2.112617,7
124,4.888889,-1.777778,2.777778,-2.18129,3
138,39.22222,-22.444445,82.55556,-1.999045,4
123,6.888889,-3.444444,3.444444,-2.094395,3
46,50.333332,-23,79.111115,-2.152304,4
76,10.888889,-7.444445,33.444447,-1.903624,4
92,25.555555,-12.444445,25.777779,-2.11184,5
140,11.666667,-6,9.444445,-2.072268,5
32,48,-14.666667,142.22223,-2.333746,2
78,34.333332,-13.666667,147,-2.225537,2
175,44.666668,-23.333334,72.66667,-2.063776,6
134,10.333333,-5.333334,6.111111,-2.071242,5
111,10.777778,-14.222222,22.222221,-1.333792,1
74,17.222221,-16.777779,26.88889,-1.554234,1
195,33.555557,-17.777779,58.88889,-2.052705,6
144,12.111111,-4.888889,6.555555,-2.212162,3
87,34.666668,-8.666667,79,-2.422127,3
154,5.444445,-3.222222,3.555556,-1.988202,5
126,6.111111,-2.888889,3.555556,-2.107303,3
126,7.333334,-0.666667,5.222222,-2.536514,3
32,30.11111,-10.555555,146.33334,-2.280755,2
57,16.555555,-4.444445,20.88889,-2.370613,5
137,18.777779,-5.222222,13.888889,-2.360782,3
248,-7.222222,8.777778,18.222221,1.783512,7
81,27.666666,-5.666666,30.555555,-2.438409,3
