@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R7,12,19-20'

@attribute Vegde-sd numeric
@attribute Rawblue-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
1.781593,52.88889,-1.998857,6
1.999999,25.666666,-1.68129,1
0.534027,29.444445,-2.14867,5
1.362962,25.11111,-1.755505,1
0.45542,3.333333,-2.239029,3
12.948471,38,-2.593825,3
0.240741,8,-0.985729,1
2.962964,7.777778,-2.244482,3
0.910841,54.444443,-1.930196,6
4.077776,47.77778,-2.046753,4
5.539421,3.888889,-2.221716,5
0.860663,1,-1.90427,5
0.077778,1.333333,-2.094395,3
0.340741,24.444445,-1.507007,1
0.740742,140.44444,-2.362514,2
0.240741,21,-1.276562,1
1.099995,140.22223,-2.306687,2
0.177777,51.88889,-1.886072,4
1.206464,76.66667,-2.037116,6
2.237722,72.44444,-2.101326,6
3.031317,79.55556,-2.062286,6
1.06284,8,2.310758,7
0.32963,128.77779,-2.271072,2
0.172131,88.111115,-2.154989,4
0.829629,10.777778,2.386597,7
2.21111,68.22222,-1.984308,4
0.122222,8.222222,-1.233256,1
0.250924,26.88889,-2.178321,5
0,0,0,3
3.174073,28.777779,-1.73537,1
0.077778,1.555556,-2.094395,3
0.462964,146.55556,-2.264532,2
2.011082,76,-2.079095,6
0.429631,30,-1.653926,1
2.329629,49.666668,-1.984583,4
2.008316,59.22222,-2.020234,6
1.135292,10.666667,2.046683,7
0.327731,10.555555,-2.04457,5
0.389682,2.222222,-2.123254,3
0.02963,1.555556,-2.094395,5
0.182574,3.111111,-2.094395,5
1.807405,51.11111,-2.316506,6
1.849924,72.55556,-2.013524,6
0.474074,118,-2.207756,2
0.3,4.444445,2.193568,7
0.207408,128.44444,-2.28708,2
0.344265,11,1.937892,7
1.730981,21,-2.162383,5
1.440741,118.77778,-2.235701,2
0.296296,4.888889,-2.018925,5
0.074074,53.88889,-1.918888,4
0.596296,22.11111,-1.425885,1
1.600925,68,-2.009615,6
0.574134,45.22222,-2.102607,4
0.547722,26.11111,-2.150638,5
1.108888,61.22222,-2.186797,4
0.088889,4.222222,-2.11372,3
6.977775,41.11111,-2.020042,6
1.007407,9,-2.048,5
0.344265,37.11111,-2.177507,5
1.396297,35.88889,-1.768356,1
2.166666,14.444445,2.310932,7
15.262959,6.444445,2.09315,7
1.730981,21,-2.162383,5
0.151852,11.777778,2.340618,7
1.333334,58.555557,-2.074616,6
1.75647,25.88889,-2.3163,3
1.085185,26.777779,-1.675465,1
2.594153,76.22222,-2.042718,6
1.088662,87.333336,-2.075161,4
3.051848,28.555555,-2.142529,4
0,0,0,5
0.518519,143.11111,-2.402917,2
0.996296,3.666667,-2.16176,3
0.966665,137.77779,-2.307914,2
1.951259,60.333332,-2.071876,6
0.62361,13.555555,2.242196,7
0.166667,6.444445,-0.744272,1
0.607407,10.111111,-2.396657,3
0.960323,80.333336,-2.107785,4
1.254621,68.66667,-2.126943,4
1.515354,74.111115,-2.03348,6
3.529631,13.555555,2.358696,7
0.60741,126.333336,-2.257217,2
1.834849,40.555557,-2.024268,4
0.760115,125.77778,-2.337296,2
0.107407,5.777778,-0.829712,1
3.6,8,-2.268209,3
8.740745,18.88889,-2.388561,3
0.02963,2.333334,-2.094395,5
0.374074,6.888889,-2.164323,3
0.490653,15.555555,2.363581,7
0.272165,11.333333,-2.057978,5
0.869228,75.66667,-2.048736,6
