@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,5,10,16,19-20'

@attribute Region-centroid-row numeric
@attribute Short-line-density-2 numeric
@attribute Intensity-mean numeric
@attribute Exgreen-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
178,0,59.62963,-25.222221,-2.040554,6
111,0,5.407407,-7.222222,-0.897859,1
81,0,21.333334,-5.666666,-2.438409,3
115,0,1.222222,-2.666667,-2.065536,5
246,0,17.518518,16.11111,2.232849,7
249,0,14.740741,10.111111,2.743555,7
60,0,26.74074,-19.222221,-1.776113,1
101,0,20.074074,-15.555555,-1.520125,1
224,0,15.185185,16.11111,2.298255,7
90,0,65.18519,-21.222221,-2.108813,4
120,0,1.925926,-2.444444,-2.298085,3
140,0,8.333333,-3.333333,-2.442323,3
81,0,112.92593,-26.11111,-2.033487,2
196,0,47.25926,-17.444445,-2.074616,6
87,0,43.333332,-18.333334,-2.050388,4
107,0,16.74074,-12.222222,-2.159464,5
28,0,110.48148,-24.11111,-2.238865,2
131,0,5.185185,-6.888889,-0.874641,1
19,0,127.51852,-13.888889,-2.344188,2
188,0,61.25926,-24.777779,-1.997746,6
87,0,64.03704,-24.11111,-2.105073,4
53,0,134.77777,-13.333333,-2.217488,2
216,0,14.555555,13.666667,2.447547,7
94,0,15.62963,-12.555555,-2.159466,5
205,0,56.074074,-22.222221,-2.038263,6
143,0,0.407407,-1.222222,-2.094395,3
95,0,9.518518,-3.555556,-2.445012,3
78,0,36.11111,-15.333333,-2.053834,4
40,0,0,0,0,5
193,0,41.703705,-15.444445,-1.992997,6
175,0,23.74074,15.111111,2.630157,7
107,0.111111,7.962963,-4.888889,-2.291762,3
115,0,2.703704,-2.444444,-2.358386,3
94,0,9.111111,-8.666667,-2.12934,5
43,0,125.25926,-16.11111,-2.270653,2
181,0,19.925926,15.555555,2.420823,7
187,0,49.48148,-19.777779,-1.990627,6
130,0,13.037037,-8.111111,-2.137371,4
133,0,9.851851,-9.555555,-2.138743,5
116,0,6.111111,-7.666666,-1.163245,1
34,0,105.48148,-22.777779,-2.286636,2
104,0,18.518518,-6.888889,-2.113918,5
218,0,13.703704,12.222222,2.382684,7
145,0.111111,13.444445,-9.333333,-2.06232,3
181,0,41.25926,-14.444445,-1.998368,6
40,0,125.14815,-16.777779,-2.2949,2
49,0,126.18519,-17.222221,-2.263738,2
14,0,113.81481,-13.777778,-2.391113,2
115,0,26.037037,-16.11111,-2.090649,3
91,0,22.481482,-17.444445,-1.630409,1
59,0,21.814816,-17.777779,-1.680812,1
196,0.111111,52.48148,-20.777779,-2.022599,6
219,0,13.222222,17.666666,2.0861,7
170,0,19.555555,15.333333,2.504391,7
45,0,101.22222,-26,-2.247816,2
128,0,49.925926,-21.11111,-2.102441,4
190,0,51.074074,-17.88889,-2.11269,6
115,0,29.481482,-12.777778,-2.218655,5
140,0,27.666666,-9.333333,-2.05389,4
16,0,112.96296,-13.888889,-2.385001,2
111,0,5.666666,-8,-1.041434,1
62,0,66.77778,-25.666666,-2.124459,4
158,0,8.37037,-6.444445,-1.904651,4
120,0,1.333333,-2.333333,-2.178769,3
175,0,33,-12,-2.091209,6
93,0,0,0,0,5
240,0.111111,20.444445,20.666666,2.420791,7
137,0,1.148148,-1.777778,-2.200588,3
106,0,23.037037,-17.444445,-1.695804,1
126,0,6.481482,-8.111111,-1.118131,1
137,0,0.666667,-2,-2.094395,3
20,0,65.18519,-23.222221,-2.133031,4
161,0,41.814816,-10.777778,-2.338974,6
244,0,12.259259,14.555555,1.987902,7
188,0,29.962963,-10.222222,-2.083566,6
160,0,22.851852,-12.222222,-2.138726,4
98,0,1.518519,-0.555556,-2.4238,3
195,0,47.666668,-17.666666,-2.051671,6
147,0,0,0,0,5
18,0,114.14815,-19.444445,-2.278452,2
100,0,22.222221,-17.333334,-1.623301,1
59,0,23.851852,-17.555555,-1.699326,1
91,0,2.62963,-4.222222,-2.225735,3
123,0,5.814815,-7.111111,-0.988413,1
70,0,112.51852,-20.222221,-2.17166,2
160,0,22.851852,-12.222222,-2.138726,4
130,0,21.37037,-14.777778,-2.134924,4
91,0,24.074074,-13.555555,-2.202425,5
118,0,5.481482,-6.777778,-1.053347,1
113,0,5.481482,-7.444445,-0.851202,1
136,0,2.074074,-4.222222,-2.094395,5
87,0,11.148149,-11.777778,-2.138617,5
83,0,17.074074,-10.888889,-2.143761,5
91,0,104.888885,-18.666666,-2.300486,2
77,0,107.62963,-11.555555,-2.42468,2
160,0,28.037037,15.888889,2.827106,7
70,0,18.592592,-1.111111,-2.589111,3
124,0,5.888889,-7.333334,-1.037663,1
97,0,2.62963,-3.555556,-2.269023,3
18,0,113.77778,-14.666667,-2.340839,2
152,0,1.407407,-1.888889,-2.000272,5
83,0,66.25926,-22.11111,-2.027771,4
80,0,40.51852,-13.222222,-1.942698,4
76,0,2.444444,-2,-2.340801,3
144,0,0,0,0,5
123,0,59.333332,-21,-2.111941,4
150,0,0,0,0,5
187,0,58,-24,-1.966671,6
135,0,1.407407,-3.888889,-1.880724,5
136,0,0,0,0,3
31,0,126.81481,-14.111111,-2.310766,2
190,0,29.62963,-11.222222,-2.160658,6
100,0,8.148149,-5.111111,-2.289874,3
233,0,12.481482,18.88889,1.903686,7
115,0,2.740741,-3.222222,-2.321865,3
75,0,38.037037,-13.111111,-2.284187,3
187,0,59.37037,-24.11111,-2.03348,6
143,0,5.296296,-6.888889,-0.914813,1
191,0.111111,60.25926,-24.444445,-2.077651,6
