@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,10,14-16,19-20'

@attribute Region-centroid-row numeric
@attribute Intensity-mean numeric
@attribute Exred-mean numeric
@attribute Exblue-mean numeric
@attribute Exgreen-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
153,0.37037,-1.111111,2.222222,-1.111111,-2.094395,5
145,0.555556,-0.666667,2,-1.333333,-1.920944,5
142,1.814815,-2.777778,5.555555,-2.777778,-2.094395,5
173,19.222221,-8.333333,-8.333333,16.666666,2.099557,7
122,5.555555,4.333334,3.333333,-7.666666,-0.953435,1
145,3.407408,-3.222222,7.111111,-3.888889,-2.036506,5
249,10.518518,-8.888889,-7.222222,16.11111,2.156779,7
199,55.666668,-19.666666,42.333332,-22.666666,-2.045431,6
103,61.25926,-15.777778,36.555557,-20.777779,-2.00292,4
41,137.14815,-19.444445,30.222221,-10.777778,-2.268529,2
123,1.185185,-3.555556,6.444445,-2.888889,-2.142674,3
188,55.77778,-18.333334,40,-21.666666,-2.039667,6
250,9.222222,-8,-5.666666,13.666667,2.192935,7
134,26.703703,-19.11111,32.22222,-13.111111,-2.21646,5
111,18.037037,-25.11111,36.22222,-11.111111,-2.333318,3
211,17.962963,-10.555555,-4.888889,15.444445,2.327545,7
200,61.037037,-20.777779,46.22222,-25.444445,-2.026586,6
135,32.703705,-12.444445,24.88889,-12.444445,-2.093203,4
102,51.703705,-16.444445,37.88889,-21.444445,-2.009854,4
184,11.851851,-6.222222,-5.888889,12.111111,2.128646,7
61,7,-7.666666,16,-8.333333,-2.068204,5
94,1.185185,-2.888889,6.111111,-3.222222,-2.071242,5
174,19.074074,-11.888889,-3.888889,15.777778,2.395018,7
85,101.03704,-36.77778,64.55556,-27.777779,-2.186342,2
116,21.703703,-1.444444,17.555555,-16.11111,-1.632243,1
189,34.11111,-12,26,-14,-2.044277,6
86,12.333333,-13.666667,26.333334,-12.666667,-2.120153,5
60,123.666664,-29,44,-15,-2.293386,2
162,42.185184,-17.222221,27.444445,-10.222222,-2.327482,6
141,0.037037,-0.111111,0.222222,-0.111111,-2.094395,5
136,2.555556,-4.666666,9.666667,-5,-2.071242,5
155,8.259259,-7.111111,13.222222,-6.111111,-2.147622,5
73,46.296295,-1.888889,14.444445,-12.555555,-1.681589,4
176,53.666668,-19.666666,42,-22.333334,-2.052258,6
83,49.851852,-11.555555,29.11111,-17.555555,-1.958524,4
133,5.37037,-5.111111,10.888889,-5.777778,-2.048,5
77,135.92592,-22.11111,34.22222,-12.111111,-2.277146,2
184,19.444445,-12.666667,-3.666667,16.333334,2.419445,7
215,23.037037,-17.777779,-1.444444,19.222221,2.561049,7
44,47.814816,-14.777778,30.555555,-15.777778,-2.070466,4
193,49.11111,-17.333334,36.333332,-19,-2.065421,6
42,137.07408,-19.88889,31.11111,-11.222222,-2.26361,2
210,17.481482,-11.111111,-4.444445,15.555555,2.386452,7
141,0,0,0,0,0,5
188,33.333332,-11,24,-13,-2.04072,6
169,19.592592,-13.444445,-2.777778,16.222221,2.467752,7
149,7.518518,-5.888889,13.111111,-7.222222,-2.018631,1
113,14.703704,7.222222,6.555555,-13.777778,-0.9757,1
