@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,14,17,20'

@attribute Region-centroid-row numeric
@attribute Region-pixel-count numeric
@attribute Hedge-mean numeric
@attribute Exred-mean numeric
@attribute Value-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
153,9,0.111111,-1.111111,1.111111,5
145,9,0.222222,-0.666667,1.222222,5
142,9,2,-2.777778,3.666667,5
173,9,1.444445,-8.333333,24.777779,7
122,9,0.333333,4.333334,7.222222,1
145,9,1.777778,-3.222222,5.777778,5
249,9,2.777778,-8.888889,15.888889,7
199,9,5.611111,-19.666666,69.77778,6
103,9,1.777778,-15.777778,73.44444,4
41,9,1.111115,-19.444445,147.22223,2
123,9,0.5,-3.555556,3.333333,3
188,9,2.333333,-18.333334,69.111115,6
250,9,1.444444,-8,13.777778,7
134,9,1.111112,-19.11111,37.444443,5
111,9,1.944444,-25.11111,30.11111,3
211,9,2.166666,-10.555555,23.11111,7
200,9,3.777779,-20.777779,76.44444,6
135,9,1.11111,-12.444445,41,4
102,9,1.777779,-16.444445,64.333336,4
184,9,0.777778,-6.222222,15.888889,7
61,9,0.722222,-7.666666,12.333333,5
94,9,0.222222,-2.888889,3.222222,5
174,9,2.888889,-11.888889,24.333334,7
85,9,0.888887,-36.77778,122.55556,2
116,9,1.555556,-1.444444,27.555555,1
189,9,2.666667,-12,42.77778,6
86,9,0.277778,-13.666667,21.11111,5
60,9,1.055556,-29,138.33334,2
162,9,13.388888,-17.222221,51.333332,6
141,9,0.055556,-0.111111,0.111111,5
136,9,0.222222,-4.666666,5.777778,5
155,9,7.722223,-7.111111,12.666667,5
73,9,0.777777,-1.888889,51.11111,4
176,9,3.444444,-19.666666,67.66667,6
83,9,1.666666,-11.555555,59.555557,4
133,9,0.5,-5.111111,9,5
77,9,1.277776,-22.11111,147.33334,2
184,9,1.333333,-12.666667,24.88889,7
215,9,4.722222,-17.777779,29.444445,7
44,9,1.611109,-14.777778,58,4
193,9,4.055555,-17.333334,61.22222,6
42,9,1.166669,-19.88889,147.44444,2
210,9,1.222222,-11.111111,22.666666,7
141,9,0,0,0,5
188,9,3.111112,-11,41.333336,6
169,9,1.833333,-13.444445,25,7
149,9,1.055556,-5.888889,11.888889,1
113,9,2.777778,7.222222,18.333334,1
186,9,2,-13.222222,61.11111,6
120,9,0.5,-4.333334,4,3
195,9,3.944445,-17.333334,70.111115,6
