@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2-3,12,18,20'

@attribute Region-centroid-row numeric
@attribute Region-pixel-count numeric
@attribute Rawblue-mean numeric
@attribute Saturatoin-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
130,9,2.555556,1,3
83,9,33.22222,0.307415,4
182,9,68.111115,0.306722,6
128,9,6.444445,0.563713,1
201,9,76.44444,0.299213,6
117,9,3.111111,1,3
41,9,1.222222,0.537037,5
176,9,62.666668,0.308573,6
72,9,117.111115,0.323421,2
180,9,21.444445,0.327383,7
114,9,7.333334,0.603175,1
161,9,14.333333,0.390957,7
142,9,4.888889,0.662037,1
125,9,7.666666,0.545635,1
120,9,33.11111,0.681266,3
95,9,10.777778,0.512566,5
169,9,9.777778,0.463569,7
38,9,74.333336,0.336015,4
190,9,66.88889,0.303602,6
113,9,27.88889,0.350082,5
146,9,6.777778,0.571429,1
147,9,7.444445,0.698445,1
63,9,14,0.5477,5
31,9,132.55556,0.23132,2
127,9,26.444445,0.601444,3
144,9,3,1,3
187,9,9.666667,0.428363,7
36,9,13.666667,0.634921,5
146,9,15.666667,0.487864,4
38,9,78.44444,0.271659,4
204,9,72,0.302525,6
35,9,142.55556,0.176083,2
108,9,30.444445,0.365332,5
197,9,62.22222,0.296328,6
122,9,6.666666,0.551587,1
180,9,75.44444,0.31801,6
121,9,7.444445,0.528219,1
101,9,26.777779,0.404792,1
90,9,29.11111,0.420486,1
117,9,58.444443,0.330477,4
18,9,130.44444,0.254668,2
80,9,31.555555,0.412094,1
147,9,9.888889,0.349471,3
88,9,28.444445,0.413308,1
137,9,2.666667,1,5
57,9,121.55556,0.308813,2
195,9,13.333333,0.342307,7
155,9,12.888889,0.392385,5
40,9,23.333334,0.46306,1
80,9,79.55556,0.289624,3
101,9,26.777779,0.404792,1
71,9,140.88889,0.179672,2
120,9,6.555555,0.839947,3
111,9,71.66667,0.298892,4
30,9,139.66667,0.19251,2
115,9,7.888889,0.541887,1
107,9,64.44444,0.252669,4
129,9,2.555556,0.096561,5
137,9,7.111111,0.731922,5
39,9,142.44444,0.183242,2
17,9,54,0.268186,4
118,9,27.333334,0.416884,1
162,9,50.555557,0.291106,6
116,9,29.555555,0.596104,3
160,9,23.444445,0.378216,7
71,9,29.666666,0.43357,1
102,9,69.66667,0.25976,4
122,9,11.333333,0.809331,3
186,9,10.777778,0.428864,7
71,9,40.22222,0.395671,3
83,9,116.888885,0.362062,2
158,9,29,0.41916,4
187,9,12.777778,0.355526,7
49,9,140.44444,0.194622,2
176,9,19.777779,0.316041,7
76,9,61.555557,0.250705,4
118,9,0.111111,0.111111,3
56,9,140.66667,0.176061,2
161,9,52.22222,0.308416,6
209,9,20.88889,0.390338,7
118,9,2.555556,1,3
124,9,5.888889,0.895369,3
200,9,69.66667,0.296836,6
94,9,28.666666,0.457772,5
124,9,6.111111,0.973765,3
182,9,42.22222,0.293208,6
64,9,10.333334,0.69798,5
109,9,53.666668,0.334962,4
90,9,128.33334,0.181789,2
73,9,53,0.274334,4
70,9,34,0.421281,1
116,9,31.444445,0.392149,5
191,9,14.888889,0.35037,7
54,9,145.55556,0.124312,2
104,9,24.88889,0.380367,1
196,9,62.22222,0.297963,6
134,9,3.888889,0.833333,5
183,9,19,0.449942,7
110,9,60.444443,0.249253,4
160,9,51.77778,0.339618,6
15,9,144,0.17818,2
64,9,78.111115,0.31426,4
131,9,6.666666,0.515873,1
98,9,64.66667,0.28511,4
156,9,25.444445,0.389034,7
111,9,42.22222,0.290355,4
190,9,58.666668,0.295621,6
95,9,9.222222,0.907099,3
162,9,17.333334,0.34003,7
165,9,42.88889,0.273647,6
88,9,21.11111,0.641775,5
30,9,13.111111,0.518586,5
152,9,2.333334,0.537037,5
120,9,7.666666,0.893054,3
66,9,117.333336,0.325711,2
247,9,25.11111,0.215788,7
239,9,14.555555,0.344304,7
141,9,7.666666,0.953086,3
102,9,52.666668,0.397892,3
161,9,17,0.395599,7
194,9,71.55556,0.273444,6
161,9,51.22222,0.282125,6
221,9,8.111112,0.54918,7
44,9,138.11111,0.178428,2
121,9,66.88889,0.300672,4
202,9,71,0.284515,6
186,9,61.11111,0.303448,6
118,9,66.333336,0.265558,4
111,9,7,0.566138,1
18,9,147.88889,0.111218,2
147,9,11,0.643678,1
80,9,15.111111,0.597765,3
200,9,67.333336,0.313032,6
74,9,123.22222,0.276784,2
164,9,19.11111,0.330345,7
163,9,51.333332,0.297547,6
206,9,14.555555,0.32736,7
249,9,7.555555,0.309022,7
181,9,9.777778,0.445979,7
33,9,128.66667,0.247776,2
90,9,128.55556,0.179697,2
211,9,7.666666,0.524328,7
144,9,0,0,5
152,9,37.666668,0.46343,4
110,9,39.333336,0.307444,5
178,9,18.11111,0.298962,7
123,9,8.444445,0.475,1
89,9,22.11111,0.548825,5
89,9,25.11111,0.43138,5
90,9,12.111111,0.641018,5
121,9,6,0.843518,3
176,9,71.44444,0.315862,6
102,9,77.111115,0.26938,4
104,9,76.55556,0.267219,4
87,9,23.444445,0.652043,3
57,9,139,0.192488,2
186,9,67.88889,0.296251,6
114,9,47.22222,0.629245,3
15,9,86.888885,0.316905,4
65,9,140,0.202365,2
198,9,61,0.309645,6
116,9,28.11111,0.398448,1
184,9,38.77778,0.28045,6
120,9,3,1,3
145,9,4,0.600529,1
178,9,21.11111,0.329212,7
85,9,26.88889,0.459024,5
149,9,0,0,5
27,9,138.66667,0.195416,2
86,9,23.555555,0.417916,1
126,9,20,0.739265,3
98,9,4.111111,1,3
148,9,0,0,5
29,9,142.77777,0.166484,2
246,9,13.111111,0.393839,7
134,9,0.111111,0.111111,3
153,9,0,0,5
197,9,61.444443,0.294656,6
34,9,89.111115,0.279176,4
107,9,36,0.638541,3
241,9,14,0.399901,7
152,9,1.666667,0.705556,5
32,9,70.88889,0.249001,4
58,9,118.77778,0.348863,2
59,9,34.333336,0.459427,1
147,9,38.666668,0.457405,4
93,9,7.222222,0.93567,3
130,9,6.222222,0.587963,1
141,9,1.777778,0.888889,5
226,9,6.555555,0.526881,7
163,9,48.555557,0.268978,6
126,9,43,0.258409,4
202,9,14,0.409932,7
242,9,15.666667,0.353161,7
78,9,125.666664,0.258182,2
103,9,28,0.416239,1
76,9,54.11111,0.334876,4
113,9,3.444444,0.981482,3
45,9,126.888885,0.244289,2
157,9,24.222221,0.350043,7
243,9,4.888889,0.525437,7
18,9,147.55556,0.096352,2
145,9,76.77778,0.31714,4
78,9,31.222221,0.401965,1
135,9,4.444445,0.927778,5
195,9,60.666668,0.300363,6
157,9,30,0.438882,4
80,9,12.444445,0.775282,3
14,9,134.11111,0.222856,2
132,9,49.22222,0.325768,4
114,9,34.666668,0.393927,5
237,9,5.111111,0.557235,7
124,9,6,0.608466,1
201,9,67.22222,0.308859,6
41,9,145.88889,0.119532,2
40,9,129,0.254051,2
122,9,5.222222,0.960317,3
88,9,27.333334,0.424904,1
197,9,68,0.298704,6
152,9,5.777778,0.599735,5
137,9,1.777778,0.75,5
118,9,2,1,3
182,9,52.88889,0.286863,6
182,9,73.333336,0.308825,6
50,9,30,0.418746,1
139,9,23.666666,0.482725,4
140,9,3.333333,0.068883,5
35,9,47.444443,0.319714,4
90,9,128.55556,0.179697,2
11,9,150.88889,0.092773,2
182,9,69.111115,0.300643,6
