@relation segment

@attribute Region-centroid-row numeric
@attribute Hedge-mean numeric
@attribute Intensity-mean numeric
@attribute Exred-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
64,2.888888,23.62963,-5.555555,-1.756712,1
113,2.944444,20.25926,-0.777778,-1.585609,1
80,2.5,26,-6,-1.773594,1
143,0.666667,5.296296,4.111111,-0.914813,1
98,1.055555,17.481482,2.555556,-1.360437,1
117,0.555556,5.777778,1.666667,-1.353896,1
124,0.444444,5.111111,4.666666,-0.877707,1
56,1.333334,19.851852,-1.222222,-1.622211,1
114,0.666667,5.259259,3.888889,-0.91061,1
123,0.388889,5.814815,3.888889,-0.988413,1
116,0.888889,22.11111,-2.333333,-1.670314,1
110,2.666667,17.925926,2.888889,-1.345096,1
102,2.611111,23.074074,-2.888889,-1.68544,1
111,0.444445,5.666666,4,-1.041434,1
61,1.555555,21.74074,-4.222222,-1.737293,1
68,1.777778,21.592592,-3.444444,-1.700324,1
73,1.611112,20.62963,-2.555556,-1.675465,1
89,2.944445,21.88889,-1.666667,-1.611365,1
122,0.555556,5.62963,4.111111,-0.964797,1
95,0.944444,21.407408,-0.222222,-1.567327,1
78,2,24.592592,-1.777778,-1.610448,1
75,1.5,22.74074,-2.222222,-1.641882,1
128,0.388889,5.037037,5.555555,-0.688601,1
122,0.333333,5.555555,4.333334,-0.953435,1
111,1.333333,18.62963,3.444444,-1.333792,1
142,0.944444,5.037037,4.555555,-0.829712,1
92,2.5,19.074074,-0.888889,-1.570588,1
124,0.888889,5.888889,3.666667,-1.037663,1
111,0.611111,5.407407,4.444445,-0.897859,1
100,1.388889,22.222221,-1.333333,-1.623301,1
118,0.444445,6.259259,3.888889,-1.076198,1
128,0.666667,5.555555,4,-0.985811,1
110,2.666667,17.925926,2.888889,-1.345096,1
118,0.666667,6.444445,3.333333,-1.134543,1
126,0.555556,4.925926,4.555555,-0.877707,1
101,1.777778,16.925926,4.222222,-1.21111,1
146,0.666667,5.111111,1.666667,-1.258358,1
64,1.666666,18.88889,-4,-1.755505,1
145,0.611111,3.925926,4.888889,-0.57094,1
126,0.666667,7.296296,4.444445,-0.913675,1
60,1.055555,19.333334,-1.333333,-1.623392,1
86,1.222222,26.481482,-6.777778,-1.804829,1
118,3.444444,22.74074,-3.555556,-1.707392,1
91,2.555556,19.74074,0.111111,-1.55225,1
131,0.333333,5.222222,6,-0.621222,1
92,2.166667,18.703703,0.222222,-1.548296,1
