@relation segment

@attribute Region-centroid-row numeric
@attribute Region-pixel-count numeric
@attribute Hedge-mean numeric
@attribute Exred-mean numeric
@attribute Value-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
85,9,1.777778,2.777778,21.88889,1
55,9,1.777777,-5.333334,31.11111,1
59,9,2.055555,-3.111111,28.777779,1
90,9,1.333334,2,22.11111,1
109,9,1.944444,5.888889,20.444445,1
88,9,2.944445,-5.444445,27.333334,1
124,9,0.444444,4.666666,6.777778,1
61,9,0.833333,-3.222222,30.666666,1
135,9,0.833333,5.666666,6.888889,1
111,9,1.055556,3.555556,7.333334,1
89,9,1.666667,-2.333333,30.444445,1
104,9,2.666666,-2.666667,28.333334,1
117,9,1,2.666667,8.222222,1
102,9,1.333333,0.222222,25,1
103,9,1.111111,2.666667,22.555555,1
143,9,0.666667,4.777778,6.111111,1
104,9,4,-4.111111,28.666666,1
128,9,0.666667,4,7.111111,1
66,9,2.944444,-9.222222,38.22222,1
58,9,1.388889,-2.777778,27.333334,1
44,9,2.38889,-4.222222,25.222221,1
137,9,1.111111,5.777778,7.777778,1
140,9,0.666667,4.666666,6.666666,1
134,9,0.777778,4.111111,7.777778,1
147,9,0.777778,-4,11,1
73,9,1.611112,-2.555556,26.777779,1
100,9,2.666667,0.777778,25.555555,1
133,9,0.5,5,8.444445,1
68,9,2.388889,-0.111111,23,1
123,9,0.5,5.222222,7.555555,1
118,9,0.722222,4.777778,7.666666,1
122,9,0.5,3.666667,7.666666,1
140,9,1,4.666666,8.222222,1
118,9,0.666667,3.333333,8.444445,1
125,9,0.666667,3.444444,7.777778,1
75,9,2.222222,-7.888889,34.77778,1
74,9,2.166667,-3.111111,30.555555,1
114,9,0.833333,3.333333,7.444445,1
108,9,0.944444,-2.777778,28.222221,1
130,9,1,5.444445,8.444445,1
139,9,0.833333,4.333334,7.555555,1
116,9,4.777777,2.444444,21.222221,1
116,9,0.888889,-2.333333,28.11111,1
56,9,1.5,-4.777778,31.333334,1
125,9,0.666667,3.444444,7.777778,1
101,9,1.777778,4.222222,20.222221,1
138,9,0.833333,4.777778,7.333334,1
140,9,1,4.666666,8.222222,1
116,9,1.555556,-1.444444,27.555555,1
118,9,3.444444,-3.555556,29,1
40,9,1.111112,-4.555555,23.333334,1
145,9,0.611111,4.888889,5.555555,1
51,9,1.611111,-2.444444,25.666666,1
72,9,1.666666,-7.333334,35.444447,1
116,9,1.166667,3,7.777778,1
104,9,1.5,1.555556,23.222221,1
133,9,0.5,5,8.444445,1
132,9,0.944444,5.111111,7.555555,1
113,9,0.444444,4.111111,6.888889,1
91,9,2.555556,0.111111,24.555555,1
44,9,2.38889,-4.222222,25.222221,1
92,9,2,2.555556,23.333334,1
77,9,2.444445,-3.111111,31.555555,1
120,9,3.222222,-4.666666,30.444445,1
135,9,0.888889,4.777778,7.444445,1
45,9,3.277778,-4.111111,28.777779,1
142,9,1.5,6.333334,6.777778,1
136,9,1,4.555555,8,1
118,9,0.555556,3.222222,7.111111,1
56,9,2.722222,-7.555555,37.666668,1
84,9,1.611111,-0.888889,30,1
123,9,0.888889,2.777778,8.444445,1
56,9,1.333334,-1.222222,25.444445,1
123,9,0.444444,4.333334,6,1
128,9,0.666667,4,7.111111,1
68,9,1.777778,-3.444444,28.444445,1
130,9,1.055556,4.444445,7.666666,1
111,9,0.888889,2.888889,7.888889,1
104,9,3.055556,0.111111,24.88889,1
78,9,2,-1.777778,31.222221,1
63,9,1.5,-2.555556,23.666666,1
143,9,0.5,5.666666,7.555555,1
60,9,1.055555,-1.333333,24.777779,1
125,9,0.666667,4.111111,7.333334,1
55,9,1.777777,-5.333334,31.11111,1
60,9,2.166666,-4,31,1
57,9,1.944445,-8.444445,36.22222,1
86,9,1.666667,-2.222222,31.333334,1
114,9,0.444444,2,7.333334,1
115,9,3.888889,1.888889,24.11111,1
140,9,0.5,4.333334,7.555555,1
88,9,1.722222,0.888889,26.333334,1
95,9,0.944444,-0.222222,26.666666,1
117,9,0.5,3,7.444445,1
124,9,0.388889,4.222222,7.666666,1
124,9,0.666667,4.444445,7.888889,1
101,9,1.611111,-2.666667,29.222221,1
113,9,2.944444,-0.777778,25.444445,1
108,9,1.611111,5.666666,20,1
139,9,0.833333,4.333334,7.555555,1
126,9,0.444445,5,7.444445,1
143,9,0.666667,4.111111,6.777778,1
85,9,1.777778,2.777778,21.88889,1
77,9,4.444445,-3.222222,32.333336,1
126,9,0.611111,6.777778,7.666666,1
101,9,1.722222,0.777778,25,1
62,9,1.833333,-1.888889,27.222221,1
64,9,1.388889,-4.222222,31.88889,1
115,9,0.777778,3.111111,8,1
144,9,0.722222,3.555556,6.222222,1
126,9,0.555556,4.555555,6.555555,1
147,9,0.5,-0.777778,7,1
117,9,0.388889,4,8,1
142,9,1.277778,4.888889,6.333334,1
86,9,3.555556,-1.444444,30.222221,1
57,9,2.111111,-4.888889,34.444447,1
64,9,2.388889,-1.444444,28.88889,1
116,9,0.555555,2.777778,8.555555,1
103,9,1.888889,3.777778,22.777779,1
116,9,0.333333,3.444444,7.333334,1
135,9,0.666667,4.555555,5.666666,1
131,9,0.777778,4.444445,6.666666,1
71,9,2.833333,-2.666667,29.666666,1
69,9,1.611111,-7,32.555557,1
98,9,1.055555,2.555556,20.777779,1
54,9,2.722222,-5.444445,32.555557,1
81,9,2.722222,-1.111111,26.11111,1
128,9,0.333333,4.111111,7.666666,1
143,9,0.444444,4,7,1
126,9,0.666667,4.444445,8.888889,1
74,9,1.388889,-0.444444,26.88889,1
131,9,0.333333,6,7.222222,1
64,9,1.666666,-4,25.11111,1
89,9,2.555556,-0.555556,23.88889,1
86,9,1.222222,-6.777778,35,1
107,9,1.777778,6.222222,19.777779,1
116,9,0.333333,3.444444,7.333334,1
110,9,2.666667,2.888889,21.444445,1
83,9,2.444445,0.333333,24.444445,1
130,9,0.388889,4.666666,7,1
116,9,0.222222,3.444444,6.888889,1
110,9,1.944444,0.333333,6.333334,1
75,9,0.722222,-0.666667,27.11111,1
64,9,2.888888,-5.555555,31.222221,1
56,9,1.333333,-4.888889,30.222221,1
108,9,1.388889,4,21.11111,1
138,9,0.444444,4.666666,7,1
106,9,1.611111,-3.111111,29.88889,1
107,9,3.333333,2.444444,23.11111,1
77,9,3.055556,-5.555555,34.444447,1
